time,open,high,low,close,volume,ticker
2011-10-06,4570,4570,4570,4570,0,TDS
2011-10-07,4570,4570,4570,4570,0,TDS
2011-10-10,4570,4570,4570,4570,0,TDS
2011-10-11,4570,4570,4570,4570,0,TDS
2011-10-12,4570,4570,4570,4570,0,TDS
2011-10-13,4570,4570,4570,4570,0,TDS
2011-10-14,4570,4570,4570,4570,0,TDS
2011-10-17,4570,4570,4570,4570,0,TDS
2011-10-18,4570,4570,4570,4570,0,TDS
2011-10-19,4570,4570,4570,4570,0,TDS
2011-10-20,4570,4570,4570,4570,0,TDS
2011-10-21,4570,4570,4570,4570,0,TDS
2011-10-24,4570,4570,4570,4570,0,TDS
2011-10-25,4570,4570,4570,4570,0,TDS
2011-10-26,4570,4570,4570,4570,0,TDS
2011-10-27,4570,4570,4570,4570,0,TDS
2011-10-28,4570,4570,4570,4570,0,TDS
2011-10-31,4570,4570,4570,4570,0,TDS
2011-11-01,4570,4570,4570,4570,0,TDS
2011-11-02,4570,4570,4570,4570,0,TDS
2011-11-03,2894,2894,2894,2894,200,TDS
2011-11-04,2894,2894,2894,2894,0,TDS
2011-11-07,2894,2894,2894,2894,0,TDS
2011-11-08,2894,2894,2894,2894,0,TDS
2011-11-09,2894,2894,2894,2894,0,TDS
2011-11-10,2894,2894,2894,2894,0,TDS
2011-11-11,2894,2894,2894,2894,0,TDS
2011-11-14,2894,2894,2894,2894,0,TDS
2011-11-15,2894,2894,2894,2894,0,TDS
2011-11-16,2894,2894,2894,2894,0,TDS
2011-11-17,2894,2894,2894,2894,0,TDS
2011-11-18,2894,2894,2894,2894,0,TDS
2011-11-21,2894,2894,2894,2894,0,TDS
2011-11-22,2894,2894,2894,2894,0,TDS
2011-11-23,2894,2894,2894,2894,0,TDS
2011-11-24,2894,2894,2894,2894,0,TDS
2011-11-25,2894,2894,2894,2894,0,TDS
2011-11-28,2894,2894,2894,2894,0,TDS
2011-11-29,2894,2894,2894,2894,0,TDS
2011-11-30,2894,2894,2894,2894,0,TDS
2011-12-01,2620,2620,2620,2620,200,TDS
2011-12-02,2620,2620,2620,2620,0,TDS
2011-12-05,2620,2620,2620,2620,0,TDS
2011-12-06,2620,2620,2620,2620,0,TDS
2011-12-07,2620,2620,2620,2620,0,TDS
2011-12-08,2620,2620,2620,2620,0,TDS
2011-12-09,2376,2376,2376,2376,500,TDS
2011-12-12,2376,2376,2376,2376,0,TDS
2011-12-13,2376,2376,2376,2376,0,TDS
2011-12-14,2376,2437,2437,2437,400,TDS
2011-12-15,2681,2681,2681,2681,4800,TDS
2011-12-16,2681,2681,2681,2681,0,TDS
2011-12-19,2681,2681,2681,2681,0,TDS
2011-12-20,2681,2681,2681,2681,0,TDS
2011-12-21,2681,2681,2681,2681,0,TDS
2011-12-22,2681,2681,2681,2681,0,TDS
2011-12-23,2681,2681,2681,2681,0,TDS
2011-12-26,2681,2681,2681,2681,0,TDS
2011-12-27,2681,2681,2681,2681,0,TDS
2011-12-28,2681,2681,2681,2681,0,TDS
2011-12-29,2681,2681,2681,2681,0,TDS
2011-12-30,2681,2681,2681,2681,0,TDS
2012-01-03,2681,2681,2681,2681,0,TDS
2012-01-04,2681,2681,2681,2681,0,TDS
2012-01-05,2681,2681,2681,2681,0,TDS
2012-01-06,2681,2681,2681,2681,0,TDS
2012-01-09,2681,2681,2681,2681,0,TDS
2012-01-10,2681,2681,2681,2681,0,TDS
2012-01-11,2681,2681,2681,2681,0,TDS
2012-01-12,2681,2681,2681,2681,0,TDS
2012-01-13,2681,2681,2681,2681,0,TDS
2012-01-16,2681,2681,2681,2681,0,TDS
2012-01-17,2681,2681,2681,2681,0,TDS
2012-01-18,2681,2681,2681,2681,0,TDS
2012-01-19,2681,2681,2681,2681,0,TDS
2012-01-20,2681,2681,2681,2681,0,TDS
2012-01-30,2437,2437,2437,2437,500,TDS
2012-01-31,2437,2437,2437,2437,0,TDS
2012-02-01,2437,2437,2437,2437,0,TDS
2012-02-02,2437,2437,2437,2437,0,TDS
2012-02-03,2437,2437,2437,2437,0,TDS
2012-02-06,2437,2437,2437,2437,0,TDS
2012-02-07,2681,2681,2681,2681,600,TDS
2012-02-08,2681,2681,2681,2681,0,TDS
2012-02-09,2681,2681,2681,2681,0,TDS
2012-02-10,2681,2681,2681,2681,0,TDS
2012-02-13,2681,2681,2681,2681,0,TDS
2012-02-14,2681,2681,2681,2681,0,TDS
2012-02-15,2681,2681,2681,2681,0,TDS
2012-02-16,2681,2681,2681,2681,0,TDS
2012-02-17,2681,2681,2681,2681,0,TDS
2012-02-20,2681,2681,2681,2681,0,TDS
2012-02-21,2681,2681,2681,2681,0,TDS
2012-02-22,2681,2681,2681,2681,0,TDS
2012-02-23,2925,2925,2437,2437,3100,TDS
2012-02-24,2803,2803,2803,2803,0,TDS
2012-02-27,2528,2528,2528,2528,300,TDS
2012-02-28,2528,2528,2528,2528,0,TDS
2012-02-29,2528,2528,2528,2528,0,TDS
2012-03-01,2528,2528,2528,2528,0,TDS
2012-03-02,2528,2528,2528,2528,0,TDS
2012-03-05,2772,2772,2772,2772,100,TDS
2012-03-06,2772,2772,2772,2772,0,TDS
2012-03-07,2772,2772,2772,2772,0,TDS
2012-03-08,2772,2772,2772,2772,0,TDS
2012-03-09,2772,2772,2772,2772,0,TDS
2012-03-12,2772,2772,2772,2772,0,TDS
2012-03-13,2772,2772,2772,2772,0,TDS
