time,open,high,low,close,volume,ticker
2018-07-18,5535,5719,5313,5535,138400,TDT
2018-07-19,5498,5498,5313,5313,23300,TDT
2018-07-20,5313,5313,5018,5313,47500,TDT
2018-07-23,5276,5276,4907,5018,65600,TDT
2018-07-24,5092,5092,4797,4797,25100,TDT
2018-07-25,4797,4797,4723,4797,70000,TDT
2018-07-26,4870,4944,4797,4944,48300,TDT
2018-07-27,4981,5092,4981,5018,21100,TDT
2018-07-30,5092,5092,4981,5055,18100,TDT
2018-07-31,5129,5129,5018,5092,29100,TDT
2018-08-01,5092,5129,4981,4981,45882,TDT
2018-08-02,5018,5018,4944,4981,7800,TDT
2018-08-03,5018,5018,4907,4981,18100,TDT
2018-08-06,4944,4944,4797,4907,26400,TDT
2018-08-07,4907,4907,4797,4797,12682,TDT
2018-08-08,4797,4797,4686,4797,22700,TDT
2018-08-09,4797,4870,4797,4834,31800,TDT
2018-08-10,4834,4870,4649,4870,54600,TDT
2018-08-13,4834,4907,4797,4870,37600,TDT
2018-08-14,4870,4907,4797,4870,18600,TDT
2018-08-15,4870,4952,4870,4870,9200,TDT
2018-08-16,4830,4952,4830,4870,89600,TDT
2018-08-17,4870,4992,4870,4952,100200,TDT
2018-08-20,4911,4952,4708,4870,116000,TDT
2018-08-21,4789,4830,4667,4749,77000,TDT
2018-08-22,4749,4870,4546,4749,95100,TDT
2018-08-23,4708,4830,4546,4627,76200,TDT
2018-08-24,4586,4627,4546,4546,25400,TDT
2018-08-27,4546,4627,4546,4546,41400,TDT
2018-08-28,4546,4586,4505,4586,49500,TDT
2018-08-29,4546,4586,4505,4546,31500,TDT
2018-08-30,4546,4546,4505,4546,25100,TDT
2018-08-31,4505,4627,4505,4586,51400,TDT
2018-09-04,4546,4667,4546,4586,72700,TDT
2018-09-05,4546,4789,4546,4627,78600,TDT
2018-09-06,4627,4749,4546,4586,58200,TDT
2018-09-07,4586,4830,4586,4830,123900,TDT
2018-09-10,4830,4911,4749,4789,47100,TDT
2018-09-11,4789,4870,4667,4789,60800,TDT
2018-09-12,4789,4789,4708,4749,46900,TDT
2018-09-13,4749,4830,4667,4749,42600,TDT
2018-09-14,4708,4789,4667,4667,60300,TDT
2018-09-17,4708,4749,4667,4667,73000,TDT
2018-09-18,4667,5033,4627,4952,145800,TDT
2018-09-19,4952,4952,4870,4952,102500,TDT
2018-09-20,4911,5439,4830,5276,139600,TDT
2018-09-21,5236,5276,4992,5114,71300,TDT
2018-09-24,4870,5114,4870,5033,93700,TDT
2018-09-25,4992,5195,4870,5195,177000,TDT
2018-09-26,5155,5236,4952,5155,130600,TDT
2018-09-27,5114,5155,4992,5073,58800,TDT
2018-09-28,5033,5114,4952,5073,101400,TDT
2018-10-01,5033,5114,4952,4992,62500,TDT
2018-10-02,4992,4992,4911,4952,79600,TDT
2018-10-03,4911,4952,4830,4870,51100,TDT
2018-10-04,4992,5033,4830,5033,101900,TDT
2018-10-05,4952,5073,4870,4870,78900,TDT
2018-10-08,4870,4911,4789,4830,78000,TDT
2018-10-09,4870,4911,4789,4911,65400,TDT
2018-10-10,4870,4911,4789,4911,96900,TDT
2018-10-11,4789,4789,4586,4708,119100,TDT
2018-10-12,4667,4992,4627,4911,110500,TDT
2018-10-15,4830,4911,4789,4870,65400,TDT
2018-10-16,4830,4870,4789,4870,50100,TDT
2018-10-17,4870,5073,4870,5073,142700,TDT
2018-10-18,5114,5195,4992,5073,103800,TDT
2018-10-19,5033,5073,4952,4952,70600,TDT
2018-10-22,5155,5439,5073,5276,266600,TDT
2018-10-23,5358,5398,5073,5155,66300,TDT
2018-10-24,5114,5155,5033,5073,51900,TDT
2018-10-25,4992,5114,4789,5073,65600,TDT
2018-10-26,5155,5236,4870,5073,83900,TDT
2018-10-29,5073,5073,4870,4870,65500,TDT
2018-10-30,4870,5033,4789,4789,80000,TDT
2018-10-31,4952,5073,4830,5073,87400,TDT
2018-11-01,5073,5073,4870,4952,96700,TDT
2018-11-02,4992,5155,4952,5155,187200,TDT
2018-11-05,5114,5236,5114,5195,106700,TDT
2018-11-06,5195,5236,5114,5195,169600,TDT
2018-11-07,5155,5236,5114,5236,260400,TDT
2018-11-08,5236,5682,5236,5520,457400,TDT
2018-11-09,5520,5560,5398,5520,174200,TDT
2018-11-12,5520,5560,5358,5520,158600,TDT
2018-11-13,5439,5763,5236,5682,435000,TDT
2018-11-14,5682,5845,5560,5601,330000,TDT
