time,open,high,low,close,volume,ticker
2010-04-28,26420,26420,15372,17053,4100,TET
2010-04-29,17293,17293,15083,15083,17700,TET
2010-05-04,16429,16429,16429,16429,2500,TET
2010-05-05,16429,16429,16429,16429,0,TET
2010-05-06,17533,17533,17533,17533,11000,TET
2010-05-07,18734,18734,16380,17774,11400,TET
2010-05-10,16621,18014,16621,16621,2800,TET
2010-05-11,15516,15516,15516,15516,10000,TET
2010-05-12,14459,14459,14459,14459,14100,TET
2010-05-13,15468,15468,14411,14411,3600,TET
2010-05-14,13546,15564,13546,15564,1600,TET
2010-05-17,12778,12778,12778,12778,7700,TET
2010-05-18,11913,11913,11913,11913,500,TET
2010-05-19,11096,11096,11096,11096,1600,TET
2010-05-20,11096,11865,11096,11865,5000,TET
2010-05-21,12201,12201,12201,12201,4000,TET
2010-05-24,13018,13018,13018,13018,700,TET
2010-05-25,13882,13882,13882,13882,300,TET
2010-05-26,14843,14843,13882,13882,1100,TET
2010-05-27,14747,14747,14747,14747,0,TET
2010-05-28,15756,15756,13931,14411,23800,TET
2010-05-31,14651,14651,14411,14411,11700,TET
2010-06-01,14171,14171,14171,14171,4900,TET
2010-06-02,14651,14651,14171,14171,8400,TET
2010-06-03,14219,14891,13258,14891,20000,TET
2010-06-04,12682,14267,12682,14267,13000,TET
2010-06-07,14363,14363,14363,14363,100,TET
2010-06-08,13690,13690,13690,13690,500,TET
2010-06-09,14507,14507,12970,13931,12500,TET
2010-06-10,13931,14411,13931,14411,12000,TET
2010-06-11,14363,14603,13690,14507,32100,TET
2010-06-14,14411,15468,14411,15468,39200,TET
2010-06-15,16236,16236,14891,15612,4100,TET
2010-06-16,15420,15852,15420,15852,4800,TET
2010-06-17,14651,15852,14651,15372,9400,TET
2010-06-18,14891,16092,14891,15996,10100,TET
2010-06-21,15852,16092,15852,16092,19500,TET
2010-06-22,16332,16332,15372,15612,3000,TET
2010-06-23,14891,16140,14891,16140,1900,TET
2010-06-24,15372,15852,15180,15180,7500,TET
2010-06-25,15372,15372,14363,14363,8500,TET
2010-06-28,14891,14891,14891,14891,0,TET
2010-06-29,14891,15372,13931,14171,10900,TET
2010-06-30,13786,13786,13786,13786,5000,TET
2010-07-01,13931,14747,13931,14459,15100,TET
2010-07-02,13690,14555,13690,14555,2600,TET
2010-07-05,14171,14171,14171,14171,100,TET
2010-07-06,13450,14987,13450,14987,11000,TET
2010-07-07,13258,14651,13258,14651,6500,TET
2010-07-08,14411,14411,14411,14411,1500,TET
2010-07-09,13498,14507,13498,14507,2300,TET
2010-07-12,13498,13498,13498,13498,500,TET
2010-07-13,14171,14171,14171,14171,200,TET
2010-07-14,15131,15131,14411,14411,1100,TET
2010-07-15,14411,15756,14411,15756,200,TET
2010-07-16,14075,16092,14075,15852,4500,TET
2010-07-19,14075,15852,14075,15612,10100,TET
2010-07-20,15852,15852,14555,15852,13200,TET
2010-07-21,14459,16092,14459,14699,21900,TET
2010-07-22,15372,16140,15372,16140,34500,TET
2010-07-23,14891,15612,14891,15612,12500,TET
2010-07-26,15324,15324,15324,15324,0,TET
2010-07-27,14363,14363,14363,14363,2000,TET
2010-07-28,14411,15324,14411,15324,5000,TET
2010-07-29,14651,14651,14651,14651,0,TET
2010-07-30,13642,13642,13642,13642,2000,TET
2010-08-02,14459,14555,14459,14555,600,TET
2010-08-03,14555,14555,14555,14555,0,TET
2010-08-04,15372,15564,14891,15372,7100,TET
2010-08-05,16380,16380,15131,16380,18800,TET
2010-08-06,15131,15131,15131,15131,300,TET
2010-08-09,14939,15372,14939,15372,2500,TET
2010-08-10,14411,15131,14411,14987,15000,TET
2010-08-11,14603,14603,14603,14603,0,TET
2010-08-12,14939,15372,14699,14795,23800,TET
2010-08-13,14651,14891,14651,14891,19000,TET
2010-08-16,14891,15372,14699,14699,15200,TET
2010-08-17,14939,16092,14939,16092,36600,TET
2010-08-18,14987,16429,14987,15372,43200,TET
2010-08-19,15083,15083,14939,14939,5200,TET
2010-08-20,15372,15372,15372,15372,1200,TET
2010-08-23,16429,16429,15228,15228,1700,TET
2010-08-24,14219,15372,14219,15372,19300,TET
2010-08-25,15468,15612,15468,15468,15600,TET
2010-08-26,14459,15516,14459,15516,12500,TET
2010-08-27,15468,15468,13642,13642,20600,TET
2010-08-30,14363,14363,14363,14363,0,TET
2010-08-31,13450,15324,13450,15324,200,TET
2010-09-01,15372,15372,15276,15276,1000,TET
2010-09-06,15612,16332,15612,16332,65200,TET
2010-09-07,15852,16813,15852,16813,53600,TET
2010-09-08,16573,16573,15420,15420,4100,TET
2010-09-09,15468,15468,15468,15468,0,TET
2010-09-10,15612,15852,15420,15852,5100,TET
2010-09-13,15804,15804,15804,15804,0,TET
2010-09-14,15804,15804,15804,15804,0,TET
2010-09-15,15708,15708,15564,15564,3000,TET
2010-09-16,15612,15612,15612,15612,600,TET
2010-09-17,15852,15852,15852,15852,4900,TET
2010-09-20,15852,15852,15852,15852,400,TET
2010-09-21,15852,15852,15852,15852,1000,TET
2010-09-22,15852,15852,15852,15852,1000,TET
2010-09-23,15852,15852,15852,15852,0,TET
2010-09-24,15852,15852,15852,15852,1100,TET
2010-09-27,15852,15852,15852,15852,0,TET
2010-09-28,15852,15852,15852,15852,0,TET
2010-09-29,15852,15852,15852,15852,400,TET
2010-09-30,15852,15852,15852,15852,0,TET
2010-10-01,15852,15852,15852,15852,2600,TET
2010-10-04,15852,15852,15852,15852,2800,TET
2010-10-05,15372,15852,15372,15852,7600,TET
2010-10-06,15708,15708,15708,15708,0,TET
2010-10-07,15708,15708,15708,15708,5000,TET
2010-10-08,15372,15372,15372,15372,8000,TET
2010-10-11,15372,15372,15372,15372,0,TET
2010-10-12,15372,15372,15372,15372,0,TET
2010-10-13,15131,15131,15131,15131,100,TET
2010-10-14,15131,15131,15131,15131,2200,TET
2010-10-15,15131,15131,15131,15131,11300,TET
2010-10-18,14411,14891,14411,14891,2400,TET
2010-10-19,14699,14699,14699,14699,700,TET
2010-10-20,14699,14699,14699,14699,0,TET
2010-10-21,14699,14699,14699,14699,0,TET
2010-10-22,14699,14699,14699,14699,0,TET
2010-10-25,14699,14699,14699,14699,0,TET
2010-10-26,14411,14651,14411,14651,500,TET
2010-10-27,14651,14651,14651,14651,200,TET
2010-10-28,14891,15131,14891,15131,30700,TET
2010-10-29,14411,14411,14411,14411,300,TET
2010-11-01,14411,14411,14411,14411,0,TET
2010-11-02,14411,14411,14411,14411,100,TET
2010-11-03,14411,14411,14411,14411,3200,TET
2010-11-04,14411,14411,14411,14411,0,TET
2010-11-05,14411,14411,14411,14411,0,TET
2010-11-08,14411,14411,14411,14411,1000,TET
2010-11-09,14411,14411,14411,14411,0,TET
2010-11-10,14411,14411,14411,14411,1000,TET
2010-11-11,14411,14411,14411,14411,0,TET
2010-11-12,14411,14411,14411,14411,0,TET
2010-11-15,14411,14411,14411,14411,0,TET
2010-11-16,14411,14411,14411,14411,0,TET
2010-11-17,14411,14891,14411,14891,60000,TET
2010-11-18,14843,14843,14411,14411,50200,TET
2010-11-19,14651,15852,14651,14891,66300,TET
2010-11-22,14555,14555,14555,14555,500,TET
2010-11-23,14555,14555,14555,14555,0,TET
2010-11-24,14555,14555,14555,14555,0,TET
2010-11-25,14555,14555,14555,14555,0,TET
2010-11-26,15564,15564,15131,15372,51000,TET
2010-11-29,15852,15852,15804,15804,47000,TET
2010-11-30,15852,15852,15852,15852,0,TET
2010-12-01,15612,15852,15612,15852,21500,TET
2010-12-02,15852,15852,15852,15852,0,TET
2010-12-03,14891,16092,14891,15852,9900,TET
2010-12-06,14891,14891,14891,14891,600,TET
2010-12-07,15852,15852,15852,15852,20000,TET
2010-12-08,15852,15852,15852,15852,43000,TET
2010-12-09,15852,15852,15852,15852,0,TET
2010-12-10,15852,15852,15852,15852,0,TET
2010-12-13,15612,15852,15612,15852,3100,TET
2010-12-14,14891,15852,14891,15852,7200,TET
2010-12-15,14939,14939,14939,14939,100,TET
2010-12-16,15804,15948,15372,15468,10600,TET
2010-12-17,14939,14939,14939,14939,200,TET
2010-12-20,14939,14939,14939,14939,0,TET
2010-12-21,14939,14939,14939,14939,0,TET
2010-12-22,14939,14939,14939,14939,0,TET
2010-12-23,15612,15612,15612,15612,500,TET
2010-12-24,15612,15612,15612,15612,1000,TET
2010-12-27,15612,15612,15612,15612,0,TET
2010-12-28,15612,15612,15612,15612,21300,TET
2010-12-29,15612,15612,15612,15612,0,TET
2010-12-30,14891,14891,14891,14891,100,TET
2010-12-31,14891,14891,14891,14891,0,TET
2011-01-04,15852,15900,15852,15900,6000,TET
2011-01-05,15900,15900,15900,15900,0,TET
2011-01-06,15900,15900,15900,15900,0,TET
2011-01-07,15900,15900,15900,15900,0,TET
2011-01-10,15900,15900,15900,15900,0,TET
2011-01-11,14891,14891,14891,14891,200,TET
2011-01-12,14891,15900,14411,15900,17200,TET
2011-01-13,15852,15900,15852,15900,17000,TET
2011-01-14,15900,15900,15900,15900,0,TET
2011-01-17,15900,15900,15900,15900,0,TET
2011-01-18,15900,15900,15900,15900,0,TET
2011-01-19,15372,15372,15372,15372,1000,TET
2011-01-20,16092,16092,16092,16092,1000,TET
2011-01-21,15372,15372,15372,15372,1000,TET
2011-01-24,15372,15372,15372,15372,0,TET
2011-01-25,14891,15852,14891,15852,17000,TET
2011-01-26,15852,15852,15852,15852,5000,TET
2011-01-27,15852,15852,15852,15852,1200,TET
2011-01-28,15852,15852,15852,15852,1000,TET
2011-02-08,15852,15852,15852,15852,1000,TET
2011-02-09,15852,15852,15852,15852,1000,TET
2011-02-10,15372,15372,15372,15372,1000,TET
2011-02-11,15372,15372,15372,15372,2000,TET
2011-02-14,15372,15372,15372,15372,2000,TET
2011-02-15,15372,15372,15372,15372,2000,TET
2011-02-16,15372,15372,15372,15372,2200,TET
2011-02-17,15372,15372,15372,15372,1000,TET
2011-02-18,15612,16092,15372,15372,13000,TET
2011-02-21,15372,15372,15372,15372,1000,TET
2011-02-22,15372,15372,15372,15372,4000,TET
2011-02-23,14315,15852,14315,15852,10000,TET
2011-02-24,14891,15372,14891,14891,4300,TET
2011-02-25,15372,15372,14219,14219,2000,TET
2011-02-28,15804,15804,15612,15612,3100,TET
2011-03-01,15852,15852,15852,15852,5000,TET
2011-03-02,15852,15852,15852,15852,1000,TET
2011-03-03,15756,15756,15756,15756,1500,TET
2011-03-04,14699,15612,14699,15612,3000,TET
2011-03-07,14267,15612,14267,15612,2500,TET
2011-03-08,14267,15612,14267,15612,10500,TET
2011-03-09,15612,15612,15612,15612,20000,TET
2011-03-10,15612,15612,15612,15612,31000,TET
2011-03-11,15612,15612,15372,15372,10100,TET
2011-03-14,14555,15612,14555,14891,23400,TET
2011-03-15,15612,15612,15612,15612,200,TET
2011-03-16,14555,14555,14555,14555,2000,TET
2011-03-17,14555,14555,14555,14555,0,TET
2011-03-18,13546,15131,13546,15131,2600,TET
2011-03-21,12970,14891,12970,14891,1000,TET
2011-03-22,12970,14891,12970,14891,2000,TET
2011-03-23,14651,14891,14651,14891,500,TET
2011-03-24,14891,15372,14891,15372,6000,TET
2011-03-25,15324,15324,15324,15324,0,TET
2011-03-28,14411,14411,14411,14411,500,TET
