time,open,high,low,close,volume,ticker
2015-12-03,17499,19499,17499,18049,231200,TFC
2015-12-04,17999,17999,16999,17149,60700,TFC
2015-12-07,17149,17149,16549,16999,117000,TFC
2015-12-08,16999,17049,16499,16999,123500,TFC
2015-12-09,17049,17049,16649,16799,102700,TFC
2015-12-10,16799,17049,16799,16999,107700,TFC
2015-12-11,16999,17199,16999,17099,94100,TFC
2015-12-14,17099,17149,16799,17149,105600,TFC
2015-12-15,17199,17199,16899,17099,111800,TFC
2015-12-16,17099,17199,16999,17099,104800,TFC
2015-12-17,17149,17249,17099,17099,8600,TFC
2015-12-18,16999,17099,16899,17099,25400,TFC
2015-12-21,17049,17049,16799,16949,14800,TFC
2015-12-22,16749,16799,16599,16599,16400,TFC
2015-12-23,16749,16799,16499,16499,33600,TFC
2015-12-24,16549,16649,15249,16499,40500,TFC
2015-12-25,16499,16499,15249,15249,26600,TFC
2015-12-28,16249,16449,15499,15499,22100,TFC
2015-12-29,16449,16449,15849,15849,22600,TFC
2015-12-30,16249,16299,15849,16049,20600,TFC
2015-12-31,16249,16249,15999,16049,114100,TFC
2016-01-04,16049,16099,15599,15699,132900,TFC
2016-01-05,15899,15899,15349,15549,129200,TFC
2016-01-06,15599,15699,15499,15549,108800,TFC
2016-01-07,15349,15499,15199,15199,93400,TFC
2016-01-08,15199,15299,14749,14999,48400,TFC
2016-01-11,14749,14949,13799,14499,29100,TFC
2016-01-12,13999,14499,13999,14499,7500,TFC
2016-01-13,14649,14649,14399,14499,13000,TFC
2016-01-14,14499,14499,14449,14449,300,TFC
2016-01-15,13999,14399,13999,14399,13300,TFC
2016-01-18,14049,14249,13999,14249,7300,TFC
2016-01-19,13999,13999,13999,13999,100,TFC
2016-01-20,14449,14449,13999,14199,2000,TFC
2016-01-21,13149,13999,13149,13999,2100,TFC
2016-01-22,13999,13999,13249,13249,19900,TFC
2016-01-25,13249,13499,12999,13449,19500,TFC
2016-01-26,12849,13449,12699,13249,12800,TFC
2016-01-27,13449,13999,13249,13999,7900,TFC
2016-01-28,13249,13299,13249,13299,600,TFC
2016-01-29,13249,13399,13249,13399,2100,TFC
2016-02-01,13249,13249,13249,13249,700,TFC
2016-02-02,13999,13999,13299,13299,2800,TFC
2016-02-03,13849,13849,13849,13849,100,TFC
2016-02-04,13849,13849,13849,13849,0,TFC
2016-02-05,13949,13949,13949,13949,100,TFC
2016-02-15,12649,13899,12649,13249,300,TFC
2016-02-16,13699,13699,13699,13699,100,TFC
2016-02-17,13499,13499,13449,13499,5500,TFC
2016-02-18,13249,13249,13249,13249,3500,TFC
2016-02-19,13249,13249,13249,13249,0,TFC
2016-02-22,13249,13249,13249,13249,300,TFC
2016-02-23,13449,13599,13299,13299,8200,TFC
2016-02-24,12899,13399,12899,13399,700,TFC
2016-02-25,13549,13549,13349,13549,2300,TFC
2016-02-26,12249,13549,12199,13549,32100,TFC
2016-02-29,12399,13449,12399,13299,5100,TFC
2016-03-01,13349,13399,13299,13399,13900,TFC
2016-03-02,12249,13349,12249,13349,17100,TFC
2016-03-03,12799,13249,12749,13249,10100,TFC
2016-03-04,12999,13199,12999,13199,10500,TFC
2016-03-07,13199,13199,13199,13199,100,TFC
2016-03-08,13199,13199,13199,13199,0,TFC
2016-03-09,13199,13199,13199,13199,0,TFC
2016-03-10,13099,13449,13099,13449,7300,TFC
2016-03-11,13449,14499,12499,14099,22851,TFC
2016-03-14,15199,15449,13999,13999,9549,TFC
2016-03-15,13999,14849,13999,14799,9800,TFC
2016-03-16,14499,14499,13799,13799,320,TFC
2016-03-17,12999,14199,12999,13999,1435,TFC
2016-03-18,13999,13999,13949,13949,2473,TFC
2016-03-21,13749,13849,13649,13849,14149,TFC
2016-03-22,13499,13849,13499,13849,400,TFC
2016-03-23,13749,13749,13599,13599,5200,TFC
2016-03-24,13799,13799,13799,13799,100,TFC
2016-03-25,13799,13799,13799,13799,0,TFC
2016-03-28,13799,13799,13799,13799,0,TFC
2016-03-29,13049,13749,13049,13699,8800,TFC
2016-03-30,13549,13649,12999,12999,4100,TFC
2016-03-31,14249,14249,13049,13049,12600,TFC
2016-04-01,12999,13949,12899,12899,2400,TFC
2016-04-04,13449,13449,12499,12499,28300,TFC
2016-04-05,12399,13349,11249,12499,30300,TFC
2016-04-06,12499,12499,12499,12499,2000,TFC
2016-04-07,12099,12749,12099,12749,1901,TFC
2016-04-08,12949,12999,12949,12999,4800,TFC
2016-04-11,12799,12849,12249,12849,10300,TFC
2016-04-12,12499,12499,12499,12499,8000,TFC
2016-04-13,12499,12499,12499,12499,4100,TFC
2016-04-14,12149,12349,12149,12349,2700,TFC
2016-04-15,12499,12499,12499,12499,13700,TFC
2016-04-19,12249,12499,11999,12499,1102,TFC
2016-04-20,12399,12499,11749,12499,22200,TFC
2016-04-21,12749,12749,11999,11999,1200,TFC
2016-04-22,11999,12199,11749,12199,4600,TFC
2016-04-25,11149,11849,10999,10999,48400,TFC
2016-04-26,10999,11249,10999,11249,3000,TFC
2016-04-27,10249,10249,10149,10149,20100,TFC
