time,open,high,low,close,volume,ticker
2011-07-28,2330,2330,2330,2330,30,THG
2011-07-29,2213,2213,2213,2213,10,THG
2011-08-01,2109,2109,2109,2109,10,THG
2011-08-02,2004,2004,2004,2004,10,THG
2011-08-03,1911,1911,1911,1911,10,THG
2011-08-04,1817,1817,1817,1817,2990,THG
2011-08-05,1736,1736,1736,1736,10,THG
2011-08-08,1654,1654,1654,1654,1200,THG
2011-08-09,1573,1573,1573,1573,60,THG
2011-08-10,1503,1503,1503,1503,50,THG
2011-08-11,1433,1433,1433,1433,110,THG
2011-08-12,1363,1375,1363,1363,820,THG
2011-08-15,1305,1421,1305,1305,3550,THG
2011-08-16,1246,1305,1246,1246,14710,THG
2011-08-17,1188,1188,1188,1188,15970,THG
2011-08-18,1139,1139,1139,1139,6930,THG
2011-08-19,1188,1188,1089,1089,35040,THG
2011-08-22,1077,1139,1077,1114,55030,THG
2011-08-23,1163,1163,1114,1114,33840,THG
2011-08-24,1064,1163,1064,1114,1680,THG
2011-08-25,1163,1163,1114,1114,10040,THG
2011-08-26,1163,1163,1126,1139,12660,THG
2011-08-29,1188,1188,1188,1188,10500,THG
2011-08-30,1238,1238,1238,1238,10,THG
2011-08-31,1299,1299,1299,1299,2020,THG
2011-09-01,1361,1361,1361,1361,130,THG
2011-09-05,1423,1423,1361,1411,870,THG
2011-09-06,1361,1361,1349,1349,870,THG
2011-09-07,1287,1411,1287,1299,7270,THG
2011-09-08,1361,1361,1361,1361,12020,THG
2011-09-09,1423,1423,1361,1361,5590,THG
2011-09-12,1361,1361,1361,1361,10670,THG
2011-09-13,1374,1374,1337,1337,8860,THG
2011-09-14,1337,1386,1287,1386,20410,THG
2011-09-15,1324,1361,1324,1361,7670,THG
2011-09-16,1361,1361,1299,1299,19040,THG
2011-09-19,1299,1299,1299,1299,8630,THG
2011-09-20,1299,1299,1250,1250,10760,THG
2011-09-21,1299,1312,1275,1275,6510,THG
2011-09-22,1275,1312,1275,1312,2310,THG
2011-09-23,1299,1349,1262,1262,13020,THG
2011-09-26,1262,1312,1262,1312,840,THG
2011-09-27,1299,1299,1299,1299,50,THG
2011-09-28,1250,1250,1250,1250,1010,THG
