time,open,high,low,close,volume,ticker
2010-10-08,10845,12472,10845,11620,561200,TIG
2010-10-11,11232,12356,11232,11891,253700,TIG
2010-10-12,11697,11775,11155,11155,362200,TIG
2010-10-13,10613,11232,10497,11039,130200,TIG
2010-10-14,11194,11194,10458,10651,147800,TIG
2010-10-15,10961,10961,10187,10264,105100,TIG
2010-10-18,10264,10458,9761,9761,217300,TIG
2010-10-19,10070,10225,9257,9257,297700,TIG
2010-10-20,8831,9722,8831,9644,65700,TIG
2010-10-21,9257,9954,9257,9567,48500,TIG
2010-10-22,9528,9528,9102,9489,33300,TIG
2010-10-25,9567,9761,9528,9761,72100,TIG
2010-10-26,10070,10303,9915,10303,86300,TIG
2010-10-27,9877,10380,9683,9683,71900,TIG
2010-10-28,9993,10032,9412,9412,35000,TIG
2010-10-29,9489,9683,9334,9412,49500,TIG
2010-11-01,9877,9877,9025,9025,49600,TIG
2010-11-02,9373,9451,8908,8908,67500,TIG
2010-11-03,9257,9257,8637,8637,74300,TIG
2010-11-04,9025,9063,8637,9025,151700,TIG
2010-11-05,9296,9296,8908,8947,162100,TIG
2010-11-08,9141,9296,8715,8908,87600,TIG
2010-11-09,9025,9063,8444,8444,112500,TIG
2010-11-10,8753,8753,8134,8134,73000,TIG
2010-11-11,8405,8482,7824,7824,94600,TIG
2010-11-12,7863,8018,7591,7746,100600,TIG
2010-11-15,7708,8018,7204,7204,52200,TIG
2010-11-16,7591,7630,7204,7204,49900,TIG
2010-11-17,7165,7398,6778,6778,82100,TIG
2010-11-18,7204,7514,7010,7010,85500,TIG
2010-11-19,7282,7359,6739,6739,43900,TIG
2010-11-22,7049,7049,6701,6701,27100,TIG
2010-11-23,6894,6894,6429,6778,151400,TIG
2010-11-24,6584,6933,6313,6313,160100,TIG
2010-11-25,6817,7010,6778,7010,142700,TIG
2010-11-26,7398,7398,7398,7398,97900,TIG
2010-11-29,7901,7901,7901,7901,95900,TIG
2010-11-30,8444,8444,8444,8444,11000,TIG
2010-12-01,9025,9025,8753,9025,610100,TIG
2010-12-02,9528,9644,9218,9644,911700,TIG
2010-12-03,9683,10303,9683,10303,421800,TIG
2010-12-06,10845,10923,10070,10303,143400,TIG
2010-12-07,9838,9993,9838,9838,607000,TIG
2010-12-08,9180,9606,9180,9180,278900,TIG
2010-12-09,8599,9296,8599,8599,942100,TIG
2010-12-10,9218,9218,9218,9218,547500,TIG
2010-12-13,9838,9838,9257,9683,469900,TIG
2010-12-14,9334,9334,9102,9102,202300,TIG
2010-12-15,8715,9102,8521,8521,447900,TIG
2010-12-16,8134,8172,8095,8095,563300,TIG
2010-12-17,7591,8637,7591,8637,234900,TIG
2010-12-20,8831,8947,7979,8056,189500,TIG
2010-12-21,7746,8134,7669,7785,273500,TIG
