time,open,high,low,close,volume,ticker
2016-06-06,8160,9792,8160,9683,65660,TIP
2016-06-07,9738,9738,9139,9574,13030,TIP
2016-06-08,9574,9574,9574,9574,0,TIP
2016-06-09,8921,8976,8921,8921,10020,TIP
2016-06-10,8758,8976,8323,8377,15970,TIP
2016-06-13,8377,8377,8051,8051,7220,TIP
2016-06-14,7942,8595,7942,8595,6170,TIP
2016-06-15,8921,8921,8595,8595,13040,TIP
2016-06-16,8704,8704,8432,8432,11930,TIP
2016-06-17,8377,8432,8214,8214,1970,TIP
2016-06-20,8377,8486,8377,8432,24920,TIP
2016-06-21,8214,8649,8214,8649,9860,TIP
2016-06-22,8377,8649,8377,8649,400,TIP
2016-06-23,8377,8432,8377,8432,5900,TIP
2016-06-24,8160,8269,8160,8269,9060,TIP
2016-06-27,7942,8269,7942,7942,16490,TIP
2016-06-28,8486,8486,8432,8432,160,TIP
2016-06-29,8432,8432,8432,8432,0,TIP
2016-06-30,8160,8269,8160,8269,44600,TIP
2016-07-01,8323,8377,8323,8323,12480,TIP
2016-07-04,8160,8432,8160,8432,13450,TIP
2016-07-05,8432,8432,8323,8323,2760,TIP
2016-07-06,8323,8323,8214,8214,2370,TIP
2016-07-07,8323,8432,8323,8432,11000,TIP
2016-07-08,8214,8595,8214,8541,17310,TIP
2016-07-11,8541,8541,8541,8541,16880,TIP
2016-07-12,8541,8541,8541,8541,2590,TIP
2016-07-13,8214,8541,8214,8541,10190,TIP
2016-07-14,8541,8541,8541,8541,12000,TIP
2016-07-15,8269,8323,8269,8323,2300,TIP
2016-07-18,8269,8377,8269,8377,3300,TIP
2016-07-19,8432,8486,8432,8486,1300,TIP
2016-07-20,8486,8595,8486,8595,3110,TIP
2016-07-21,8432,8541,8432,8541,28100,TIP
2016-07-22,8541,8595,8486,8595,5130,TIP
2016-07-25,8595,8595,8541,8541,4600,TIP
2016-07-26,8541,9085,8541,9085,15710,TIP
2016-07-27,9683,9683,9520,9683,60980,TIP
2016-07-28,9738,10282,9738,10282,34290,TIP
2016-07-29,10282,10336,10064,10064,33690,TIP
2016-08-01,10010,10064,9520,10064,10740,TIP
2016-08-02,10064,10064,9520,10010,31180,TIP
2016-08-03,9520,9955,9520,9955,33590,TIP
2016-08-04,10064,10064,9683,9683,14430,TIP
2016-08-05,9520,10227,9520,9683,17820,TIP
2016-08-08,9792,9792,9683,9683,12600,TIP
2016-08-09,9792,9955,9683,9955,10950,TIP
2016-08-10,10064,10064,9792,9955,31780,TIP
2016-08-11,9955,10336,9955,10064,5420,TIP
2016-08-12,10064,10064,10064,10064,19650,TIP
2016-08-15,10064,10064,10064,10064,1500,TIP
2016-08-16,10064,10064,9901,9901,10030,TIP
2016-08-17,9683,10064,9683,9792,9540,TIP
2016-08-18,9792,9792,9738,9738,14880,TIP
2016-08-19,9683,10064,9683,9683,6910,TIP
2016-08-22,9846,9846,9683,9738,23010,TIP
2016-08-23,9738,9792,9738,9738,26080,TIP
2016-08-24,9738,9792,9738,9738,15330,TIP
2016-08-25,9738,9901,9738,9792,19830,TIP
2016-08-26,9792,9792,9792,9792,4500,TIP
2016-08-29,9792,10010,9792,9901,14360,TIP
2016-08-30,9901,9901,9792,9846,4650,TIP
2016-08-31,10064,10064,9901,10064,16910,TIP
2016-09-01,9901,10064,9901,10064,22420,TIP
2016-09-05,9846,10554,9846,10554,13210,TIP
2016-09-06,10336,10336,10118,10282,7000,TIP
2016-09-07,10173,10227,10173,10227,3360,TIP
2016-09-08,9738,10499,9683,9901,17720,TIP
2016-09-09,9955,10064,9955,10064,9500,TIP
2016-09-12,9846,9901,9846,9901,6770,TIP
2016-09-13,10282,10282,10282,10282,10,TIP
2016-09-14,10282,10282,9846,10282,220,TIP
2016-09-15,9901,10064,9901,9901,12000,TIP
2016-09-16,9901,10581,9901,10173,2410,TIP
2016-09-19,9928,10118,9928,10064,6270,TIP
2016-09-20,9955,10118,9846,9846,7100,TIP
2016-09-21,9846,9901,9792,9846,28290,TIP
2016-09-22,9901,9901,9248,9901,21110,TIP
2016-09-23,9928,9928,9928,9928,9500,TIP
2016-09-26,9928,9928,9928,9928,5000,TIP
2016-09-27,9928,9928,9738,9901,6510,TIP
2016-09-28,9901,9901,9656,9901,24830,TIP
2016-09-29,9901,9901,9656,9846,19550,TIP
2016-09-30,9629,9846,9629,9846,9920,TIP
2016-10-03,9683,9683,9520,9683,15510,TIP
2016-10-04,9683,9683,9520,9683,25110,TIP
2016-10-05,9683,9792,9574,9738,3210,TIP
2016-10-06,9683,9683,9629,9683,12400,TIP
2016-10-07,9574,9683,9357,9357,12560,TIP
2016-10-10,9520,9792,9465,9792,3460,TIP
2016-10-11,9792,9792,9248,9656,2560,TIP
2016-10-12,9656,9656,9357,9520,570,TIP
2016-10-13,9248,9520,9248,9520,2910,TIP
2016-10-14,9384,9738,9384,9520,47210,TIP
2016-10-17,9792,10173,9792,10173,94430,TIP
2016-10-18,10173,10173,10118,10118,15120,TIP
2016-10-19,10118,10118,9792,9846,22710,TIP
2016-10-20,10118,10118,9901,10010,12830,TIP
2016-10-21,9955,9955,9846,9901,23270,TIP
2016-10-24,9901,9901,9901,9901,25320,TIP
2016-10-25,9901,10010,9901,10010,25050,TIP
2016-10-26,10499,10499,9955,10010,1930,TIP
2016-10-27,10010,10037,9928,10037,11600,TIP
2016-10-28,10010,10064,9982,10064,19000,TIP
2016-10-31,10282,10282,10064,10064,5020,TIP
2016-11-01,10064,10064,9901,9955,57800,TIP
2016-11-02,9955,10010,9955,10010,15920,TIP
2016-11-03,9955,9955,9846,9846,32000,TIP
2016-11-04,10010,10010,9874,10010,10230,TIP
2016-11-07,10118,10118,9846,9901,45480,TIP
2016-11-08,9846,10010,9846,10010,4610,TIP
2016-11-09,9955,9955,9846,9955,19890,TIP
2016-11-10,10064,10064,9792,9955,44150,TIP
2016-11-11,9955,10635,9955,10635,182150,TIP
2016-11-14,11234,11234,10282,10662,29120,TIP
2016-11-15,10771,10771,10336,10662,45190,TIP
2016-11-16,10554,10662,10118,10445,83090,TIP
2016-11-17,10390,10445,10282,10445,15760,TIP
2016-11-18,10445,10880,10445,10717,110450,TIP
2016-11-21,10717,10717,10445,10445,69320,TIP
2016-11-22,10445,10662,10445,10608,32270,TIP
2016-11-23,10662,10662,10445,10499,40840,TIP
2016-11-24,10608,10635,10445,10554,19120,TIP
2016-11-25,10445,10499,10418,10445,32000,TIP
2016-11-28,10499,10499,10336,10363,42620,TIP
2016-11-29,10390,10390,10227,10227,15500,TIP
2016-11-30,10227,10282,10173,10227,15780,TIP
2016-12-01,10282,10282,10173,10282,4610,TIP
2016-12-02,10227,10390,10118,10336,10610,TIP
2016-12-05,10336,10336,10118,10282,6510,TIP
2016-12-06,10118,10309,9955,10227,9970,TIP
2016-12-07,10336,10336,10037,10173,7260,TIP
2016-12-08,10064,10336,10010,10336,10990,TIP
