time,open,high,low,close,volume,ticker
2017-12-08,18347,18347,14624,16574,392800,TLP
2017-12-11,17194,17194,15953,15953,79854,TLP
2017-12-12,16042,16042,15953,15953,300,TLP
2017-12-13,13738,15067,13649,13826,110800,TLP
2017-12-14,13383,14358,13383,14358,9554,TLP
2017-12-15,13826,14624,13826,13915,21210,TLP
2017-12-18,14092,14181,13738,14004,50900,TLP
2017-12-19,13826,14004,13738,14004,31800,TLP
2017-12-20,13915,14004,13915,14004,16100,TLP
2017-12-21,14181,14181,13915,13915,4100,TLP
2017-12-22,13915,13915,13826,13826,500,TLP
2017-12-25,13738,13826,13738,13738,8400,TLP
2017-12-26,13738,13738,13294,13472,46200,TLP
2017-12-27,13738,13738,13206,13383,22700,TLP
2017-12-28,13294,13738,13294,13560,6100,TLP
2017-12-29,15333,15422,13649,15422,90000,TLP
2018-01-02,17106,17106,15067,15333,26700,TLP
2018-01-03,15599,15599,14447,14447,52600,TLP
2018-01-04,14447,14447,14269,14269,1100,TLP
2018-01-05,13738,15953,13738,13738,36700,TLP
2018-01-08,14004,14092,13738,13915,70700,TLP
2018-01-09,14092,14181,14092,14181,400,TLP
2018-01-10,14092,15510,14092,14624,123300,TLP
2018-01-11,14624,15953,14624,15333,200100,TLP
2018-01-12,15953,16219,14978,15067,130900,TLP
2018-01-15,15156,15244,14890,14890,65910,TLP
2018-01-16,14978,14978,14358,14358,68800,TLP
2018-01-17,14358,15067,14092,14978,126100,TLP
2018-01-18,14269,14535,14092,14535,20800,TLP
2018-01-19,14181,14801,14181,14358,19200,TLP
2018-01-22,14181,14713,14181,14535,70700,TLP
2018-01-23,14890,14890,14535,14535,85380,TLP
2018-01-24,14447,14801,14447,14624,51400,TLP
2018-01-25,14713,14713,14358,14447,73300,TLP
2018-01-26,14447,14535,14358,14447,14808,TLP
2018-01-29,14358,14358,14358,14358,6200,TLP
2018-01-30,14447,14447,14004,14004,32000,TLP
2018-01-31,14181,14181,14004,14092,13300,TLP
2018-02-01,14004,14181,14004,14092,18900,TLP
2018-02-02,14181,14181,14004,14092,19800,TLP
2018-02-05,14092,14092,13915,13915,17900,TLP
2018-02-06,12054,13649,12054,13029,8900,TLP
