time,open,high,low,close,volume,ticker
2006-12-08,20727,20727,20727,20727,2800,TLT
2006-12-11,20727,20727,19839,20490,800,TLT
2006-12-12,18536,18536,18536,18536,600,TLT
2006-12-13,18062,18062,18062,18062,1000,TLT
2006-12-14,17470,17470,17470,17470,600,TLT
2006-12-15,17470,17470,17470,17470,0,TLT
2006-12-18,17766,17766,17766,17766,100,TLT
2006-12-19,18358,18358,18358,18358,400,TLT
2006-12-20,18654,18654,18654,18654,100,TLT
2006-12-21,18654,18654,18654,18654,0,TLT
2006-12-22,18654,18654,18654,18654,0,TLT
2006-12-25,16819,16819,16819,16819,7500,TLT
2006-12-26,15693,15693,15693,15693,100,TLT
2006-12-27,17174,17174,17174,17174,200,TLT
2006-12-28,15456,15456,15456,15456,100,TLT
2006-12-29,16996,16996,16878,16878,600,TLT
2007-01-02,18595,18595,18595,18595,6900,TLT
2007-01-03,20431,20431,19898,20313,4000,TLT
2007-01-04,21912,22208,21912,22208,4300,TLT
2007-01-05,22504,22800,22504,22622,3600,TLT
2007-01-08,21319,23688,21319,23274,2900,TLT
2007-01-09,24280,25465,24280,25465,1900,TLT
2007-01-10,25465,25465,23688,23688,5200,TLT
2007-01-11,25465,25465,23629,24577,2800,TLT
2007-01-12,23688,23688,23688,23688,1400,TLT
2007-01-15,23688,25465,23688,25465,8300,TLT
2007-01-16,26649,26709,24873,26709,15500,TLT
2007-01-17,27834,29137,27834,29018,8700,TLT
2007-01-18,29610,30795,29314,29610,5800,TLT
2007-01-19,29196,29196,29018,29018,3600,TLT
2007-01-22,27242,27538,27242,27419,1100,TLT
2007-01-23,27182,28130,27182,27360,1700,TLT
2007-01-24,27834,27834,27419,27834,6100,TLT
2007-01-25,27834,27834,27538,27538,2500,TLT
2007-01-26,27834,28426,27834,28426,1200,TLT
2007-01-29,29610,30203,29610,30203,3700,TLT
2007-01-30,32927,32927,30795,31979,18700,TLT
2007-01-31,33756,34881,32572,34644,18600,TLT
2007-02-01,36125,37013,34644,34644,1900,TLT
2007-02-02,35947,36421,34644,35533,17700,TLT
2007-02-05,39382,39382,34348,34348,10800,TLT
2007-02-06,33756,34940,32690,32868,10300,TLT
2007-02-07,34940,34940,32572,33460,10000,TLT
2007-02-08,34230,34230,33638,33638,5500,TLT
2007-02-09,32690,34348,32690,34348,3800,TLT
2007-02-12,34348,35177,34348,34348,3200,TLT
2007-02-13,34881,35177,34881,35059,11000,TLT
2007-02-14,35533,35533,34348,34348,3500,TLT
2007-02-15,35533,36717,35355,36125,9600,TLT
2007-02-26,39501,39501,37309,38731,51600,TLT
2007-02-27,41810,41810,40270,41810,30700,TLT
2007-02-28,45837,45837,45837,45837,33400,TLT
2007-03-01,50397,50397,47377,49746,28900,TLT
2007-03-02,50930,50930,47377,48265,16700,TLT
2007-03-05,49746,52707,49746,50990,7600,TLT
2007-03-06,52766,54661,51523,53358,17600,TLT
2007-03-07,54484,57445,54484,54484,9800,TLT
2007-03-08,55668,55668,54484,55372,5000,TLT
2007-03-09,53299,54484,49805,53240,8900,TLT
2007-03-12,53240,54484,52115,53299,15000,TLT
2007-03-13,59103,59103,53891,55076,18100,TLT
2007-03-14,54484,55372,51878,51878,19600,TLT
2007-03-15,48917,51226,48917,48917,7000,TLT
2007-03-16,49746,54543,49746,54543,11400,TLT
2007-03-19,59695,59695,59695,59695,16400,TLT
2007-03-20,63959,65617,60406,63367,21200,TLT
2007-03-21,67513,67513,65144,65736,19500,TLT
2007-03-22,68105,68105,62183,63959,17000,TLT
2007-03-23,65203,66920,60998,64551,26400,TLT
2007-03-26,69289,71303,66328,71303,24500,TLT
2007-03-27,76692,77047,68105,69289,12800,TLT
2007-03-28,69289,71066,66150,71066,12800,TLT
2007-03-29,74027,75507,71066,71066,9800,TLT
2007-03-30,76988,78172,71066,71066,11200,TLT
2007-04-02,75804,75804,73435,74027,2600,TLT
2007-04-03,71066,73731,71066,72842,3900,TLT
2007-04-04,65973,71066,65973,71066,5500,TLT
2007-04-05,68105,69467,68105,68105,4700,TLT
2007-04-06,66328,68105,65144,65144,2800,TLT
2007-04-09,65144,65144,63959,64551,7500,TLT
2007-04-10,65144,65144,62775,63367,6900,TLT
2007-04-11,61650,62183,59399,62183,14300,TLT
2007-04-12,60702,60998,59221,60228,10800,TLT
2007-04-13,62183,62183,60406,62183,2200,TLT
2007-04-16,60998,62183,60998,61294,5700,TLT
2007-04-17,61590,61886,57445,60406,7800,TLT
2007-04-18,62790,62790,62050,62124,2000,TLT
2007-04-19,65160,66640,65160,65900,3100,TLT
2007-04-20,65900,66344,59976,59976,3300,TLT
2007-04-23,59088,59088,59088,59088,300,TLT
2007-04-24,55163,55534,55163,55163,1500,TLT
2007-04-25,54793,55460,54793,55163,1700,TLT
2007-05-02,55237,55237,55237,55237,200,TLT
2007-05-03,55237,57755,55237,57755,200,TLT
2007-05-04,55534,56052,55534,56052,1200,TLT
2007-05-07,60643,60643,60643,60643,100,TLT
2007-05-08,61457,62198,61457,61457,500,TLT
2007-05-09,60347,60717,59236,59236,1100,TLT
2007-05-10,55534,55534,55534,55534,400,TLT
2007-05-11,55534,57015,49980,57015,4900,TLT
2007-05-14,56126,56126,54793,54793,700,TLT
2007-05-15,55534,55682,55534,55534,3200,TLT
2007-05-16,55534,55608,55534,55608,600,TLT
2007-05-17,57015,57015,57015,57015,500,TLT
2007-05-18,58495,58495,55534,57015,5100,TLT
2007-05-21,60717,63012,59236,63012,6000,TLT
2007-05-22,65160,67455,65160,67455,16800,TLT
2007-05-23,73675,73675,65160,67381,14800,TLT
2007-05-24,65900,65900,61457,63160,3300,TLT
2007-05-25,62938,63308,61457,62938,6200,TLT
2007-05-28,66492,68788,66492,66492,10700,TLT
2007-05-29,67381,68047,65160,65160,12800,TLT
2007-05-30,64419,64419,63679,63679,2800,TLT
2007-05-31,64419,64419,64419,64419,1700,TLT
2007-06-01,65160,65826,65160,65826,3600,TLT
2007-06-04,65234,65900,64863,64863,4900,TLT
2007-06-05,64419,64419,64419,64419,1600,TLT
2007-06-06,64419,64419,64419,64419,3400,TLT
2007-06-07,63679,65160,63679,64419,4300,TLT
2007-06-08,64419,64419,64123,64123,2000,TLT
2007-06-11,64419,64419,62938,62938,5800,TLT
2007-06-12,63679,63679,63456,63456,1400,TLT
2007-06-13,62938,63679,62938,63679,3400,TLT
2007-06-14,63308,63308,63086,63086,800,TLT
2007-06-15,62790,62790,62272,62272,1800,TLT
2007-06-18,62938,62938,62864,62864,700,TLT
2007-06-19,62938,62938,62198,62198,400,TLT
2007-06-20,62790,62790,62790,62790,0,TLT
2007-06-21,62790,62790,62790,62790,0,TLT
2007-06-22,60717,62050,60717,62050,400,TLT
2007-06-25,60717,60717,59976,59976,1300,TLT
2007-06-26,59976,59976,59976,59976,200,TLT
2007-06-27,58495,58495,55534,55534,1800,TLT
2007-06-28,56644,56644,54941,54941,1200,TLT
2007-06-29,53460,53460,53312,53386,1200,TLT
2007-07-02,53386,53386,50350,50350,600,TLT
2007-07-03,46648,47315,46648,46648,2400,TLT
2007-07-04,48129,51091,46648,51091,1400,TLT
2007-07-05,51905,51905,46648,46648,3100,TLT
2007-07-06,50276,50350,50276,50350,400,TLT
2007-07-09,50276,50276,50276,50276,0,TLT
2007-07-10,51757,52572,51091,52572,1000,TLT
2007-07-11,52572,53312,51831,52572,2600,TLT
2007-07-12,52572,52572,52572,52572,0,TLT
2007-07-13,53312,53312,53312,53312,100,TLT
2007-07-16,54423,54423,53238,53238,200,TLT
2007-07-17,52572,52572,52572,52572,400,TLT
2007-07-18,52572,52572,52572,52572,0,TLT
2007-07-19,52572,52572,52572,52572,0,TLT
2007-07-20,52572,52572,52572,52572,0,TLT
2007-07-23,51831,51831,51831,51831,300,TLT
2007-07-24,51091,51091,51091,51091,200,TLT
2007-07-25,50202,50202,50202,50202,200,TLT
2007-07-26,50202,50202,50202,50202,0,TLT
2007-07-27,48870,48870,48129,48129,500,TLT
2007-07-30,44501,45167,43464,45167,1100,TLT
2007-07-31,44353,44427,44353,44427,1200,TLT
2007-08-01,48499,48499,48499,48499,400,TLT
2007-08-02,48499,48499,48499,48499,0,TLT
2007-08-03,46352,46352,46352,46352,500,TLT
2007-08-06,46352,46352,46352,46352,0,TLT
2007-08-07,45908,45908,43168,43168,800,TLT
2007-08-08,45167,45167,45167,45167,100,TLT
2007-08-09,45167,45167,45167,45167,0,TLT
2007-08-10,45167,45167,45167,45167,0,TLT
2007-08-13,40725,41465,40725,41095,2500,TLT
2007-08-14,44575,45315,44427,44427,1500,TLT
2007-08-15,44427,45167,44427,44427,600,TLT
2007-08-16,48870,48870,42205,42205,2400,TLT
2007-08-17,41465,43020,41465,43020,1200,TLT
2007-08-20,44427,44427,42205,42205,400,TLT
2007-08-21,42279,42576,42205,42576,1200,TLT
2007-08-22,42872,42872,42872,42872,200,TLT
2007-08-23,42205,42205,41465,41465,600,TLT
2007-08-24,42057,42057,42057,42057,0,TLT
2007-08-27,40725,40725,40725,40725,200,TLT
2007-08-28,41095,41095,40725,40725,3000,TLT
2007-08-29,40725,40725,40354,40725,3800,TLT
2007-08-30,40132,40132,39984,39984,400,TLT
2007-08-31,40132,40132,40132,40132,200,TLT
2007-09-04,40132,40132,40132,40132,0,TLT
2007-09-05,41465,41465,41465,41465,1000,TLT
2007-09-06,41465,41465,40725,40725,1000,TLT
2007-09-07,41465,42205,41465,42205,500,TLT
2007-09-10,43686,44575,43686,44575,3100,TLT
2007-09-11,45908,46204,45908,46204,8900,TLT
2007-09-12,46278,47389,45908,46056,2500,TLT
2007-09-13,46204,46204,45908,45908,2100,TLT
2007-09-14,50350,50350,44427,45982,2500,TLT
2007-09-17,46278,49980,46278,48203,10300,TLT
2007-09-18,50350,52942,50350,52942,17800,TLT
2007-09-19,57755,57977,54793,56274,26100,TLT
2007-09-20,57829,57829,55163,55163,8500,TLT
2007-09-21,55534,56126,52572,53312,2700,TLT
2007-09-24,54053,57015,54053,55163,13000,TLT
2007-09-25,57755,60865,57755,60865,22500,TLT
2007-09-26,65752,65752,65752,65752,17900,TLT
2007-09-27,72268,72268,68121,68121,80800,TLT
2007-09-28,70713,71083,68121,69602,16200,TLT
2007-10-01,77229,77229,75526,77229,74400,TLT
2007-10-02,84782,84782,78488,82930,67900,TLT
2007-10-03,90335,90483,84411,90335,112900,TLT
2007-10-04,97814,97814,94037,97814,80900,TLT
2007-10-05,107291,107291,100701,106551,129300,TLT
2007-10-08,114030,114770,95888,100331,55100,TLT
2007-10-09,99220,100998,96259,98850,124500,TLT
2007-10-10,101368,60421,51831,57385,124400,TLT
2007-10-11,44057,44057,44057,44057,1000,TLT
