time,open,high,low,close,volume,ticker
2017-01-16,6219,6219,6011,6011,2000,TMB
2017-01-17,6011,6011,6011,6011,0,TMB
2017-01-18,6011,6011,6011,6011,0,TMB
2017-01-19,6011,6011,6011,6011,0,TMB
2017-01-20,6011,6011,6011,6011,0,TMB
2017-01-23,6011,6011,6011,6011,0,TMB
2017-01-24,6011,6011,6011,6011,0,TMB
2017-01-25,6011,6011,6011,6011,0,TMB
2017-02-02,6011,6011,6011,6011,0,TMB
2017-02-03,6011,6011,6011,6011,0,TMB
2017-02-06,6011,6011,6011,6011,0,TMB
2017-02-07,6011,6011,6011,6011,0,TMB
2017-02-08,6011,6011,6011,6011,0,TMB
2017-02-09,6011,6011,6011,6011,0,TMB
2017-02-10,6011,6011,6011,6011,0,TMB
2017-02-13,6011,6011,6011,6011,0,TMB
2017-02-14,6011,6011,6011,6011,0,TMB
2017-02-15,6011,6011,6011,6011,0,TMB
2017-02-16,6011,6011,6011,6011,0,TMB
2017-02-17,6011,6011,6011,6011,0,TMB
2017-02-20,6011,6011,6011,6011,0,TMB
2017-02-21,6011,6011,6011,6011,0,TMB
2017-02-22,6011,6011,6011,6011,0,TMB
2017-02-23,6011,6011,6011,6011,0,TMB
2017-02-24,6011,6011,6011,6011,0,TMB
2017-02-27,6011,6011,6011,6011,0,TMB
2017-02-28,6011,6011,6011,6011,0,TMB
2017-03-01,6011,6011,6011,6011,0,TMB
2017-03-02,6011,6011,6011,6011,0,TMB
2017-03-03,6011,6011,6011,6011,0,TMB
2017-03-06,6011,6011,6011,6011,0,TMB
2017-03-07,6011,6011,6011,6011,0,TMB
2017-03-08,6011,6011,6011,6011,0,TMB
2017-03-09,6011,6011,6011,6011,0,TMB
2017-03-10,5431,5431,5431,5431,1000,TMB
2017-03-13,4892,4892,4892,4892,100,TMB
2017-03-14,4436,4436,4436,4436,100,TMB
2017-03-15,4021,4021,4021,4021,4800,TMB
2017-03-16,3980,3980,3855,3855,2000,TMB
2017-03-17,3855,3855,3855,3855,0,TMB
2017-03-20,3565,3565,3565,3565,200,TMB
2017-03-21,3524,3524,3524,3524,800,TMB
2017-03-22,3482,3482,3482,3482,500,TMB
2017-03-23,3482,3482,3482,3482,0,TMB
2017-03-24,3814,3814,3441,3441,600,TMB
2017-03-27,3607,3607,3441,3441,1100,TMB
2017-03-28,3482,3482,3482,3482,900,TMB
2017-03-29,3482,3482,3482,3482,0,TMB
2017-03-30,3482,3482,3482,3482,1000,TMB
2017-03-31,3524,3524,3524,3524,1000,TMB
2017-04-03,3524,3524,3524,3524,0,TMB
2017-04-04,3524,3524,3524,3524,0,TMB
2017-04-05,3524,3524,3524,3524,700,TMB
2017-04-07,3524,3524,3524,3524,300,TMB
2017-04-10,3565,3855,3565,3855,1100,TMB
2017-04-11,3855,3855,3855,3855,0,TMB
2017-04-12,3648,3648,3648,3648,1000,TMB
2017-04-13,3648,3648,3648,3648,0,TMB
