time,open,high,low,close,volume,ticker
2021-01-06,12088,12129,11118,12129,2041600,TNH
2021-01-07,12978,12978,12978,12978,382300,TNH
2021-01-08,13867,13867,13867,13867,340500,TNH
2021-01-11,14837,14837,13342,13948,972000,TNH
2021-01-12,13786,14393,13463,14393,561800,TNH
2021-01-13,14514,14554,13746,14069,516800,TNH
2021-01-14,14150,14150,13806,14049,293600,TNH
2021-01-15,13887,14049,13645,13685,318400,TNH
2021-01-18,13584,13584,12735,12735,937000,TNH
2021-01-19,12452,12533,11846,11846,447800,TNH
2021-01-20,11118,11724,11077,11643,240200,TNH
2021-01-21,11643,12371,11643,12129,202300,TNH
2021-01-22,12129,12129,11724,11926,184300,TNH
2021-01-25,11926,11926,11461,11603,207500,TNH
2021-01-26,11563,11563,10936,10997,115100,TNH
2021-01-27,10997,11401,10714,10997,205400,TNH
2021-01-28,10511,11199,10228,10228,265800,TNH
2021-01-29,10714,10916,10390,10612,166000,TNH
2021-02-01,10612,10714,9885,10350,369900,TNH
2021-02-02,10431,10633,10067,10511,88900,TNH
2021-02-03,10511,11219,10431,11219,364700,TNH
2021-02-04,11280,11300,10916,10916,211200,TNH
2021-02-05,10916,10916,10714,10916,132300,TNH
2021-02-08,10916,11098,10511,10774,125500,TNH
2021-02-09,10734,10916,10552,10794,97000,TNH
2021-02-17,10916,10916,10754,10895,101700,TNH
2021-02-18,10916,10916,10714,10916,148900,TNH
2021-02-19,10916,10916,10754,10916,75700,TNH
2021-02-22,10916,11158,10794,11118,288300,TNH
2021-02-23,11118,11886,11118,11886,646600,TNH
2021-02-24,12149,12715,12149,12492,372800,TNH
2021-02-25,12492,12492,12088,12129,401500,TNH
2021-02-26,11926,12129,11724,11987,200300,TNH
2021-03-01,11987,12048,11522,12048,285100,TNH
2021-03-02,11886,11987,11643,11846,101100,TNH
2021-03-03,11724,11805,11502,11805,238000,TNH
2021-03-04,11765,11967,11482,11522,146100,TNH
2021-03-05,11360,11643,11320,11522,112100,TNH
2021-03-08,11563,11684,11178,11522,196600,TNH
2021-03-09,11320,11502,11320,11320,108100,TNH
2021-03-10,11583,11583,11280,11482,137800,TNH
2021-03-11,11482,11482,11280,11441,308700,TNH
2021-03-12,11522,11522,11239,11360,174400,TNH
2021-03-15,11360,11926,11320,11886,238700,TNH
2021-03-16,11886,11886,11320,11704,241500,TNH
2021-03-17,11724,11886,11563,11643,253000,TNH
2021-03-18,11643,11724,11522,11643,170100,TNH
2021-03-19,11522,11684,11441,11522,153900,TNH
2021-03-22,11522,11684,11320,11482,160600,TNH
2021-03-23,11482,11482,11239,11401,158500,TNH
2021-03-24,11320,11320,11118,11320,139200,TNH
2021-03-25,11320,11320,11077,11320,102800,TNH
2021-03-26,11280,11280,10835,11098,64300,TNH
2021-03-29,11118,11259,10916,11158,85600,TNH
2021-03-30,11118,11118,10916,11118,128600,TNH
2021-03-31,11118,11401,11118,11239,147600,TNH
2021-04-01,11320,11320,11158,11320,81000,TNH
2021-04-02,11320,11643,11320,11522,279900,TNH
2021-04-05,11563,11724,11482,11603,186800,TNH
2021-04-06,11603,11603,11401,11441,143900,TNH
2021-04-07,11441,11522,11320,11441,124700,TNH
2021-04-08,11441,11441,11239,11340,186000,TNH
2021-04-09,11360,11441,11320,11441,160900,TNH
2021-04-12,11441,12129,11441,11987,458200,TNH
2021-04-13,12088,12088,11522,11724,104400,TNH
2021-04-14,11724,11866,11482,11805,169700,TNH
2021-04-15,11805,11805,11522,11684,164800,TNH
2021-04-16,11684,11704,11522,11684,193600,TNH
2021-04-19,11643,11643,11401,11482,104600,TNH
2021-04-20,11482,11563,11381,11522,90100,TNH
2021-04-22,11522,11522,10734,11158,128000,TNH
2021-04-23,11158,11441,11158,11239,80200,TNH
2021-04-26,11280,11280,10916,10997,110300,TNH
2021-04-27,10916,10916,10714,10916,92700,TNH
2021-04-28,10916,10916,10673,10714,88100,TNH
2021-04-29,10835,10855,10714,10815,96700,TNH
2021-05-04,10228,10815,10228,10693,176900,TNH
2021-05-05,10714,10815,10633,10653,190500,TNH
2021-05-06,10653,10714,10451,10633,173100,TNH
2021-05-07,10673,10714,10511,10592,158100,TNH
2021-05-10,10633,10693,10552,10633,110800,TNH
2021-05-11,10734,10794,10592,10693,116900,TNH
2021-05-12,10693,10875,10673,10794,149400,TNH
2021-05-13,10794,11158,10714,10855,116900,TNH
2021-05-14,10855,11077,10754,10754,73600,TNH
2021-05-17,10916,11077,10673,10754,38700,TNH
2021-05-18,10754,10754,10633,10653,43700,TNH
2021-05-19,10653,10673,10552,10653,39800,TNH
2021-05-20,10592,10633,10431,10471,87500,TNH
2021-05-21,10471,10471,10309,10451,85300,TNH
2021-05-24,10451,11037,10451,10895,149500,TNH
2021-05-25,10936,11643,10916,11643,238600,TNH
2021-05-26,12088,12088,11441,11482,330000,TNH
2021-05-27,11482,11745,11320,11360,276700,TNH
2021-05-28,11360,11846,11360,11805,553800,TNH
2021-05-31,12290,12290,11846,11846,492900,TNH
2021-06-01,11846,11886,11563,11664,220800,TNH
2021-06-02,11664,11664,11320,11522,292700,TNH
2021-06-03,11522,12129,11320,11522,223400,TNH
2021-06-04,11522,11724,11320,11542,344400,TNH
2021-06-07,11704,11724,11239,11421,244000,TNH
2021-06-08,11421,11542,11239,11239,230100,TNH
2021-06-09,11239,11724,11118,11724,182800,TNH
2021-06-10,11724,11724,11360,11603,206900,TNH
2021-06-11,11603,11704,11340,11563,362200,TNH
2021-06-14,11643,11643,11482,11522,255300,TNH
2021-06-15,11704,11704,11482,11482,145200,TNH
2021-06-16,11482,11522,11381,11401,153100,TNH
2021-06-17,11401,11401,11280,11381,182000,TNH
2021-06-18,11381,11482,11320,11381,211800,TNH
2021-06-21,11603,11603,11320,11360,143200,TNH
2021-06-22,11320,11340,11199,11300,146300,TNH
2021-06-23,11300,11360,11199,11280,115700,TNH
2021-06-24,11158,11320,11158,11280,36000,TNH
2021-06-25,11280,11522,11199,11461,292800,TNH
2021-06-28,11461,12048,11461,11926,539300,TNH
2021-06-29,11926,11926,11522,11825,414500,TNH
2021-06-30,11846,12129,11745,11947,579700,TNH
2021-07-01,11846,11967,11765,11805,520400,TNH
2021-07-02,11805,11846,11603,11846,470800,TNH
2021-07-05,11866,12088,11643,11765,642300,TNH
2021-07-06,11765,11825,11522,11522,476900,TNH
2021-07-07,11441,11482,11199,11360,539900,TNH
2021-07-08,11360,11401,11199,11360,69400,TNH
2021-07-09,11502,11502,10916,10916,131800,TNH
2021-07-12,11178,11178,10309,10511,96100,TNH
