time,open,high,low,close,volume,ticker
2017-01-06,6194,6194,4424,4424,17000,TNS
2017-01-09,5309,5309,5309,5309,0,TNS
2017-01-10,5309,5309,5309,5309,0,TNS
2017-01-11,5309,5309,5309,5309,0,TNS
2017-01-12,5309,5309,5309,5309,0,TNS
2017-01-13,5309,5309,5309,5309,0,TNS
2017-01-16,5309,5309,5309,5309,0,TNS
2017-01-17,5309,5309,5309,5309,0,TNS
2017-01-18,5309,5309,5309,5309,0,TNS
2017-01-19,5309,5309,5309,5309,0,TNS
2017-01-20,5309,5309,5309,5309,0,TNS
2017-01-23,5309,5309,5309,5309,0,TNS
2017-01-24,5309,5309,5309,5309,0,TNS
2017-01-25,5309,5309,5309,5309,0,TNS
2017-02-02,5309,5309,5309,5309,0,TNS
2017-02-03,5309,5309,5309,5309,0,TNS
2017-02-06,5309,5309,5309,5309,0,TNS
2017-02-07,5309,5309,5309,5309,0,TNS
2017-02-08,5309,5309,5309,5309,0,TNS
2017-02-09,5309,5309,5309,5309,0,TNS
2017-02-10,4513,4513,4513,4513,1400,TNS
2017-02-13,4513,4513,4513,4513,0,TNS
2017-02-14,4513,4513,4513,4513,0,TNS
2017-02-15,4513,4513,4513,4513,0,TNS
2017-02-16,4513,4513,4513,4513,0,TNS
2017-02-17,3893,3893,3893,3893,100,TNS
2017-02-20,3893,3893,3893,3893,0,TNS
2017-02-21,3893,3893,3893,3893,0,TNS
2017-02-22,3893,3893,3893,3893,0,TNS
2017-02-23,3893,3893,3893,3893,0,TNS
2017-02-24,3362,3362,3362,3362,400,TNS
2017-02-27,3362,3362,3362,3362,0,TNS
2017-02-28,3362,3362,3362,3362,0,TNS
2017-03-01,3362,3362,3362,3362,0,TNS
2017-03-02,3362,3362,3362,3362,0,TNS
2017-03-03,2920,2920,2920,2920,198,TNS
2017-03-06,2920,2920,2920,2920,0,TNS
2017-03-07,2920,2920,2920,2920,0,TNS
2017-03-08,2920,2920,2920,2920,0,TNS
2017-03-09,2920,2920,2920,2920,0,TNS
2017-03-10,2920,2920,2920,2920,0,TNS
2017-03-13,2920,2920,2920,2920,0,TNS
2017-03-14,2920,2920,2920,2920,0,TNS
2017-03-15,2920,2920,2920,2920,0,TNS
2017-03-16,2920,2920,2920,2920,0,TNS
2017-03-17,2566,2566,2566,2566,100,TNS
2017-03-20,2566,2566,2566,2566,0,TNS
2017-03-21,2566,2566,2566,2566,0,TNS
2017-03-22,2566,2566,2566,2566,0,TNS
2017-03-23,2566,2566,2566,2566,0,TNS
2017-03-24,2212,2212,2212,2212,100,TNS
2017-03-27,2212,2212,2212,2212,0,TNS
2017-03-28,2212,2212,2212,2212,0,TNS
2017-03-29,2212,2212,2212,2212,0,TNS
2017-03-30,2212,2212,2212,2212,0,TNS
2017-03-31,1946,2212,1946,1946,5320,TNS
2017-04-03,2035,2035,2035,2035,0,TNS
2017-04-04,2035,2035,2035,2035,0,TNS
2017-04-05,2035,2035,2035,2035,0,TNS
2017-04-07,1858,1858,1769,1769,300,TNS
2017-04-10,1769,1769,1769,1769,0,TNS
2017-04-11,1769,1769,1769,1769,0,TNS
2017-04-12,1769,1769,1769,1769,0,TNS
2017-04-13,1769,1769,1769,1769,0,TNS
2017-04-14,1504,1504,1504,1504,200,TNS
2017-04-17,1504,1504,1504,1504,0,TNS
2017-04-18,1504,1504,1504,1504,0,TNS
2017-04-19,1504,1504,1504,1504,0,TNS
2017-04-20,1504,1504,1504,1504,0,TNS
2017-04-21,1504,1504,1504,1504,0,TNS
2017-04-24,1504,1504,1504,1504,0,TNS
2017-04-25,1504,1504,1504,1504,0,TNS
2017-04-26,1504,1504,1504,1504,0,TNS
2017-04-27,1504,1504,1504,1504,0,TNS
2017-04-28,1327,1681,1327,1681,600,TNS
2017-05-03,1415,1415,1415,1415,0,TNS
2017-05-04,1415,1415,1415,1415,0,TNS
2017-05-05,1592,1592,1592,1592,300,TNS
2017-05-08,1592,1592,1592,1592,0,TNS
2017-05-09,1592,1592,1592,1592,0,TNS
2017-05-10,1592,1592,1592,1592,0,TNS
2017-05-11,1592,1592,1592,1592,0,TNS
2017-05-12,1769,1769,1769,1769,100,TNS
2017-05-15,1769,1769,1769,1769,0,TNS
2017-05-16,1769,1769,1769,1769,0,TNS
2017-05-17,1769,1769,1769,1769,0,TNS
2017-05-18,1769,1769,1769,1769,0,TNS
2017-05-19,2035,2035,2035,2035,100,TNS
2017-05-22,2035,2035,2035,2035,0,TNS
2017-05-23,2035,2035,2035,2035,0,TNS
2017-05-24,2035,2035,2035,2035,0,TNS
2017-05-25,2035,2035,2035,2035,0,TNS
2017-05-26,2300,2300,2300,2300,400,TNS
2017-05-29,2300,2300,2300,2300,0,TNS
2017-05-30,2300,2300,2300,2300,0,TNS
2017-05-31,2300,2300,2300,2300,0,TNS
2017-06-01,2300,2300,2300,2300,0,TNS
2017-06-02,2566,2566,2566,2566,300,TNS
2017-06-05,2566,2566,2566,2566,0,TNS
2017-06-06,2566,2566,2566,2566,0,TNS
2017-06-07,2566,2566,2566,2566,0,TNS
2017-06-08,2566,2566,2566,2566,0,TNS
2017-06-09,2920,2920,2920,2920,300,TNS
2017-06-12,2920,2920,2920,2920,0,TNS
2017-06-13,2920,2920,2920,2920,0,TNS
2017-06-14,2920,2920,2920,2920,0,TNS
2017-06-15,2920,2920,2920,2920,0,TNS
2017-06-16,3274,3274,3274,3274,100,TNS
2017-06-19,3274,3274,3274,3274,0,TNS
2017-06-20,3274,3274,3274,3274,0,TNS
2017-06-21,3274,3274,3274,3274,0,TNS
2017-06-22,3274,3274,3274,3274,0,TNS
2017-06-23,3716,3716,3539,3539,10705,TNS
2017-06-26,3716,3716,3716,3716,0,TNS
2017-06-27,3716,3716,3716,3716,0,TNS
2017-06-28,3716,3716,3716,3716,0,TNS
2017-06-29,3716,3716,3716,3716,0,TNS
2017-06-30,4247,4247,4247,4247,42100,TNS
2017-07-03,4247,4247,4247,4247,0,TNS
2017-07-04,4247,4247,4247,4247,0,TNS
2017-07-05,4247,4247,4247,4247,0,TNS
2017-07-06,4247,4247,4247,4247,0,TNS
2017-07-07,4247,4247,3628,3628,17000,TNS
2017-07-10,3893,3893,3893,3893,0,TNS
2017-07-11,3893,3893,3893,3893,0,TNS
2017-07-12,3893,3893,3893,3893,0,TNS
2017-07-13,3893,3893,3893,3893,0,TNS
2017-07-14,4336,4336,4247,4247,2600,TNS
2017-07-17,4247,4247,4247,4247,0,TNS
2017-07-18,4247,4247,4247,4247,0,TNS
2017-07-19,4247,4247,4247,4247,0,TNS
2017-07-20,4247,4247,4247,4247,0,TNS
2017-07-21,3716,3805,3628,3628,10300,TNS
2017-07-24,3716,3716,3716,3716,0,TNS
2017-07-25,3716,3716,3716,3716,0,TNS
2017-07-26,3716,3716,3716,3716,0,TNS
2017-07-27,3716,3716,3716,3716,0,TNS
2017-07-28,3539,3716,3539,3539,21701,TNS
2017-07-31,3628,3628,3628,3628,0,TNS
2017-08-01,3628,3628,3628,3628,0,TNS
2017-08-02,3628,3628,3628,3628,0,TNS
2017-08-03,3628,3628,3628,3628,0,TNS
2017-08-04,3362,3982,3185,3982,23600,TNS
2017-08-07,3274,3274,3274,3274,0,TNS
2017-08-08,3274,3274,3274,3274,0,TNS
2017-08-09,3274,3274,3274,3274,0,TNS
2017-08-10,3274,3274,3274,3274,0,TNS
2017-08-11,3539,3539,3539,3539,100,TNS
2017-08-14,3539,3539,3539,3539,0,TNS
2017-08-15,3539,3539,3539,3539,0,TNS
2017-08-16,3539,3539,3539,3539,0,TNS
2017-08-17,3539,3539,3539,3539,0,TNS
2017-08-18,3539,3539,3539,3539,220,TNS
2017-08-21,3539,3539,3539,3539,0,TNS
2017-08-22,3539,3539,3539,3539,0,TNS
2017-08-23,3539,3539,3539,3539,0,TNS
2017-08-24,3539,3539,3539,3539,0,TNS
2017-08-25,3539,3539,3539,3539,10000,TNS
2017-08-28,3539,3539,3539,3539,0,TNS
2017-08-29,3539,3539,3539,3539,0,TNS
2017-08-30,3539,3539,3539,3539,0,TNS
2017-08-31,3539,3539,3539,3539,0,TNS
2017-09-01,3539,3539,3539,3539,0,TNS
2017-09-05,3539,3539,3539,3539,0,TNS
2017-09-06,3539,3539,3539,3539,0,TNS
2017-09-07,3539,3539,3539,3539,0,TNS
2017-09-08,3539,3539,3539,3539,22439,TNS
2017-09-11,3716,3716,3716,3716,2200,TNS
