time,open,high,low,close,volume,ticker
2015-07-23,13400,14000,10500,14000,31100,TOP
2015-07-24,14000,15000,11200,15000,35400,TOP
2015-07-27,15000,17200,15000,17200,24400,TOP
2015-07-28,18000,18000,14200,14200,1700,TOP
2015-07-29,12800,12800,12800,12800,100,TOP
2015-07-30,10900,10900,10900,10900,200,TOP
2015-07-31,9300,9300,9300,9300,5600,TOP
2015-08-03,8000,8000,8000,8000,8000,TOP
2015-08-04,6800,6800,6800,6800,1100,TOP
2015-08-05,5800,5800,5800,5800,100,TOP
2015-08-06,5000,5000,5000,5000,1100,TOP
2015-08-07,4300,4300,4300,4300,101400,TOP
2015-08-10,3700,3700,3700,3700,37400,TOP
2015-08-11,3200,3200,3200,3200,27200,TOP
2015-08-12,2800,2800,2800,2800,1500,TOP
2015-08-13,2400,2400,2400,2400,10900,TOP
2015-08-14,2700,2700,2700,2700,10400,TOP
2015-08-17,3100,3100,3100,3100,20400,TOP
2015-08-18,3500,3500,3500,3500,71300,TOP
2015-08-19,4000,4000,3900,4000,121400,TOP
2015-08-20,4600,4600,4300,4500,146700,TOP
2015-08-21,4600,4700,4000,4000,120500,TOP
2015-08-24,4200,4200,3400,3400,12300,TOP
2015-08-25,3000,4000,3000,4000,195100,TOP
2015-08-26,4000,4200,4000,4200,191100,TOP
2015-08-27,4500,4500,4000,4000,34300,TOP
2015-08-28,4000,4400,3600,4200,185500,TOP
2015-08-31,4100,4500,4100,4300,104600,TOP
2015-09-01,4400,4400,3800,3800,42700,TOP
2015-09-03,3500,4300,3500,3500,360300,TOP
2015-09-04,3900,3900,3100,3100,354500,TOP
2015-09-07,3200,3500,3200,3400,149300,TOP
2015-09-08,3400,3500,2900,2900,372100,TOP
2015-09-09,3100,3200,2800,3100,119500,TOP
2015-09-10,3100,3100,2900,2900,91400,TOP
2015-09-11,2900,3000,2800,2800,175000,TOP
2015-09-14,2900,3000,2700,2700,102200,TOP
2015-09-15,2900,2900,2700,2900,73700,TOP
2015-09-16,2700,2700,2400,2400,450000,TOP
2015-09-17,2600,2600,2200,2400,30500,TOP
2015-09-18,2400,2600,2300,2400,39100,TOP
2015-09-21,2300,2300,2200,2200,179800,TOP
2015-09-22,2200,2400,2200,2400,181300,TOP
2015-09-23,2400,2500,2400,2400,142100,TOP
2015-09-24,2400,2500,2300,2300,76800,TOP
2015-09-25,2400,2400,2200,2400,61700,TOP
2015-09-28,2400,2400,2200,2200,94600,TOP
2015-09-29,2100,2300,2100,2200,399000,TOP
2015-09-30,2300,2300,2200,2200,32200,TOP
2015-10-01,2300,2300,2200,2300,65300,TOP
2015-10-02,2200,2200,2100,2200,23800,TOP
2015-10-05,2200,2500,2200,2500,429800,TOP
2015-10-06,2500,2700,2500,2700,106100,TOP
2015-10-07,3000,3100,3000,3100,257900,TOP
2015-10-08,3300,3300,2700,2900,178700,TOP
2015-10-09,3000,3000,2900,2900,145400,TOP
2015-10-12,3000,3100,2900,2900,195600,TOP
2015-10-13,3000,3200,3000,3100,285400,TOP
2015-10-14,3000,3000,2900,2900,55700,TOP
2015-10-15,3000,3100,3000,3100,280700,TOP
2015-10-16,3000,3100,2900,3100,43800,TOP
2015-10-19,3000,3000,2900,3000,109100,TOP
2015-10-20,2900,2900,2800,2900,144700,TOP
2015-10-21,2900,3300,2900,3300,286400,TOP
2015-10-22,3600,3600,3500,3500,202800,TOP
2015-10-23,3600,4000,3400,3700,298600,TOP
2015-10-26,4000,4100,3700,3800,222800,TOP
2015-10-27,3900,3900,3400,3700,213100,TOP
2015-10-28,3400,3600,3300,3400,162300,TOP
2015-10-29,3500,3500,3200,3400,120200,TOP
2015-10-30,3400,3500,3200,3400,54200,TOP
2015-11-02,3500,3900,3400,3700,220600,TOP
2015-11-03,3700,3700,3200,3200,352700,TOP
2015-11-04,3400,3400,3300,3400,11700,TOP
2015-11-05,3300,3300,3000,3300,114800,TOP
2015-11-06,3200,3300,3100,3200,49400,TOP
2015-11-09,3200,3300,3100,3200,107600,TOP
2015-11-10,3200,3400,3200,3400,72000,TOP
2015-11-11,3400,3700,3400,3600,180800,TOP
2015-11-12,3600,3600,3400,3600,36200,TOP
2015-11-13,3600,3600,3300,3500,111000,TOP
2015-11-16,3500,3500,3200,3400,66300,TOP
2015-11-17,3300,3600,3300,3500,98900,TOP
2015-11-18,3500,3600,3300,3400,114300,TOP
2015-11-19,3300,3300,3300,3300,40200,TOP
2015-11-20,3200,3400,3100,3400,99300,TOP
2015-11-23,3400,3400,3000,3200,254600,TOP
2015-11-24,3300,3300,3100,3200,73000,TOP
2015-11-25,3200,3200,2900,3200,139300,TOP
