time,open,high,low,close,volume,ticker
2007-12-13,51994,51994,40295,44845,167500,TST
2007-12-14,44195,44195,41140,41140,46700,TST
2007-12-17,41660,41660,38346,38346,5800,TST
2007-12-18,36071,37696,35291,37176,27200,TST
2007-12-19,37046,39710,36396,38996,51200,TST
2007-12-20,38996,38996,35876,35876,22600,TST
2007-12-21,36396,38346,36396,37046,14900,TST
2007-12-24,38476,38476,36396,37046,18400,TST
2007-12-25,37696,37696,35616,35616,17700,TST
2007-12-26,35746,37241,35746,36396,17300,TST
2007-12-27,36916,37501,35746,36071,19600,TST
2007-12-28,36071,36916,36006,36396,9900,TST
2008-01-02,36396,36396,35746,35811,10100,TST
2008-01-03,36071,36071,33796,33796,10300,TST
2008-01-04,33471,33471,32171,32171,10700,TST
2008-01-07,31326,31326,29896,29896,17600,TST
2008-01-08,31911,31911,29571,29701,15200,TST
2008-01-09,30741,30741,28597,28597,12500,TST
2008-01-10,27947,29247,27947,29247,7300,TST
2008-01-11,29247,30871,29247,29247,14300,TST
2008-01-14,27947,28012,27297,27297,18200,TST
2008-01-15,27297,27297,25087,25087,8300,TST
2008-01-16,26647,27882,26647,27882,6100,TST
2008-01-17,29896,29896,26647,27947,38800,TST
2008-01-18,28597,29247,28272,28662,20500,TST
2008-01-21,28727,28727,27817,28597,6500,TST
2008-01-22,26647,28077,26647,28077,10400,TST
2008-01-23,27362,27622,26062,27622,18700,TST
2008-01-24,27297,28597,26712,27297,18700,TST
2008-01-25,27297,27297,26972,27297,9100,TST
2008-01-28,27297,28272,27297,27947,15000,TST
2008-01-29,28597,30351,28597,30351,27200,TST
2008-01-30,33081,33081,33081,33081,9800,TST
2008-01-31,36331,36331,30546,36331,124100,TST
2008-02-01,38476,38476,37696,38476,86300,TST
2008-02-12,42245,42245,36981,38996,66800,TST
2008-02-13,41595,41595,36396,36396,60300,TST
2008-02-14,37371,40230,36721,38216,61700,TST
2008-02-15,37696,37696,35096,37046,53500,TST
2008-02-18,35096,35096,33276,33991,78200,TST
2008-02-19,34381,37306,33991,35616,85600,TST
2008-02-20,35811,37176,34056,35096,56900,TST
2008-02-21,34446,34511,32236,32236,52300,TST
2008-02-22,29896,33146,29247,32431,85200,TST
2008-02-25,33471,33731,32821,33731,48900,TST
2008-02-26,34446,34771,30936,31196,40700,TST
2008-02-27,30546,33471,29896,31196,38400,TST
2008-02-28,31521,32171,30286,31846,30700,TST
2008-02-29,31196,31846,29571,30546,38900,TST
2008-03-03,33146,33146,29312,30806,54500,TST
2008-03-04,29896,29896,28207,28207,25100,TST
2008-03-05,25542,28857,25542,28272,97200,TST
2008-03-06,29117,29117,29117,29117,17400,TST
2008-03-07,31976,31976,31976,31976,200,TST
2008-03-10,35161,35161,31846,32691,148800,TST
2008-03-11,32496,32496,30416,30416,38900,TST
2008-03-12,30546,33796,29831,31846,46100,TST
2008-03-13,33173,33837,31316,31846,29400,TST
2008-03-14,31183,31846,30851,30984,18100,TST
2008-03-17,30519,30519,28529,28595,32800,TST
2008-03-18,27202,27202,25941,25941,60000,TST
2008-03-19,26539,28463,24681,25411,34900,TST
2008-03-20,25875,26539,25278,25344,18200,TST
2008-03-21,25212,25212,23420,23420,41000,TST
2008-03-24,21894,21894,21430,21430,8700,TST
2008-03-25,19904,21496,19373,19373,19400,TST
2008-03-26,17515,21363,17515,21297,35500,TST
2008-03-27,21496,21496,21496,21496,2500,TST
2008-03-28,21894,21894,21894,21894,100,TST
2008-03-31,22292,22292,22292,22292,200,TST
2008-04-01,22690,22690,22690,22690,100,TST
2008-04-02,23088,23088,23088,23088,100,TST
2008-04-03,23487,23487,23487,23487,400,TST
