time,open,high,low,close,volume,ticker
2018-12-10,14819,14819,14819,14819,3200,TTE
2018-12-11,15825,15825,15825,15825,1100,TTE
2018-12-12,16923,16923,16923,16923,1000,TTE
2018-12-13,18105,18105,18058,18058,4860,TTE
2018-12-14,19287,19287,19287,19287,110,TTE
2018-12-17,17963,17963,17963,17963,600,TTE
2018-12-18,16734,16734,16734,16734,140,TTE
2018-12-19,16734,16734,16734,16734,0,TTE
2018-12-20,15600,15600,15600,15600,10,TTE
2018-12-21,14512,14512,14512,14512,2410,TTE
2018-12-24,13520,13520,13520,13520,10,TTE
2018-12-25,12574,12574,12574,12574,50,TTE
2018-12-26,11723,11723,11723,11723,520,TTE
2018-12-27,10920,12527,10920,10920,1070,TTE
2018-12-28,10210,11676,10163,10163,590,TTE
2019-01-02,10872,10872,9454,10872,1360,TTE
2019-01-03,11581,11581,11581,11581,70,TTE
2019-01-04,12243,12243,12243,12243,10,TTE
2019-01-07,12243,12243,12243,12243,0,TTE
2019-01-08,12243,12243,12243,12243,0,TTE
2019-01-09,12243,12243,12243,12243,0,TTE
2019-01-10,12243,12243,12243,12243,0,TTE
2019-01-11,12243,12243,12243,12243,0,TTE
2019-01-14,11392,11392,11392,11392,10,TTE
2019-01-15,11392,11392,11392,11392,0,TTE
2019-01-16,11392,11392,11392,11392,0,TTE
2019-01-17,11392,11392,11392,11392,0,TTE
2019-01-18,10636,10636,10636,10636,10,TTE
2019-01-21,9927,9927,9927,9927,130,TTE
2019-01-22,9237,10589,9237,10589,230,TTE
2019-01-23,10589,10589,10589,10589,0,TTE
2019-01-24,9880,9880,9880,9880,1000,TTE
2019-01-25,9189,9880,9189,9189,160,TTE
2019-01-28,8546,9738,8546,9738,480,TTE
2019-01-29,10400,10400,9738,9738,100,TTE
2019-01-30,9880,9880,9880,9880,10,TTE
2019-01-31,9927,9927,9927,9927,10,TTE
2019-02-01,9927,9927,9927,9927,0,TTE
2019-02-11,9927,9927,9237,9237,610,TTE
2019-02-12,8594,9832,8594,9832,1970,TTE
2019-02-13,10494,10494,10116,10116,110,TTE
2019-02-14,10400,10400,9416,9416,90,TTE
2019-02-15,8764,9643,8764,8764,680,TTE
2019-02-18,8981,8981,8764,8764,40,TTE
2019-02-19,8159,8168,8159,8168,570,TTE
2019-02-20,8698,8698,7610,7620,40,TTE
2019-02-21,7090,8130,7090,8036,50,TTE
2019-02-22,7478,8509,7478,7478,280,TTE
2019-02-25,6958,7998,6958,7941,30,TTE
2019-02-26,8414,8490,8414,8480,200,TTE
2019-02-27,9048,9048,8887,8981,300,TTE
2019-02-28,8981,9360,8981,9360,110,TTE
2019-03-01,9407,9454,8981,9454,680,TTE
2019-03-04,9832,9832,9076,9076,150,TTE
2019-03-05,9076,9076,9076,9076,100,TTE
2019-03-06,9076,9076,9076,9076,0,TTE
2019-03-07,9076,9076,9076,9076,10,TTE
2019-03-08,9076,9076,9076,9076,0,TTE
2019-03-11,9076,9076,9076,9076,0,TTE
