time,open,high,low,close,volume,ticker
2008-02-18,22622,27571,22622,24743,170900,TTF
2008-02-19,24389,24389,24389,24389,117180,TTF
2008-02-20,24389,24389,23329,23329,18904,TTF
2008-02-21,22268,22268,22268,22268,37790,TTF
2008-02-22,21208,23329,21208,22975,72190,TTF
2008-02-25,24036,24036,24036,24036,19870,TTF
2008-02-26,24036,24036,22975,22975,36250,TTF
2008-02-27,22445,23506,22445,22622,11290,TTF
2008-02-28,22799,23682,22268,22268,22500,TTF
2008-02-29,22268,22622,21738,21738,19150,TTF
2008-03-03,20855,21208,20678,21208,36530,TTF
2008-03-04,20148,20501,20148,20148,79970,TTF
2008-03-05,19264,19264,19264,19264,9800,TTF
2008-03-06,20148,20148,20148,20148,20690,TTF
2008-03-07,20148,21031,20148,21031,34500,TTF
2008-03-10,21915,21915,21208,21208,89250,TTF
2008-03-11,20324,20855,20324,20501,68430,TTF
2008-03-12,20501,21208,20501,20855,41870,TTF
2008-03-13,20855,21208,20501,21208,21610,TTF
2008-03-14,20148,20855,20148,20501,46660,TTF
2008-03-17,20148,20148,19617,19617,27380,TTF
2008-03-18,18734,19617,18734,18734,81530,TTF
2008-03-19,18380,19441,17850,17850,75220,TTF
2008-03-20,18380,18380,17037,17072,21090,TTF
2008-03-21,16295,16966,16224,16224,20500,TTF
2008-03-24,16224,16224,15446,15446,68170,TTF
2008-03-25,14704,14775,14704,14704,128790,TTF
2008-03-26,15411,15411,15411,15411,24950,TTF
2008-03-27,15411,15552,15411,15552,10010,TTF
2008-03-28,15694,15694,15694,15694,20,TTF
2008-03-31,15694,15835,15694,15835,30,TTF
2008-04-01,15977,15977,15977,15977,21000,TTF
2008-04-02,15977,16118,15977,16118,10020,TTF
2008-04-03,16259,16259,16259,16259,11920,TTF
2008-04-04,16401,16401,16401,16401,10000,TTF
2008-04-07,16719,16719,16719,16719,224470,TTF
2008-04-08,17037,17037,17002,17037,421720,TTF
2008-04-09,17355,17355,16719,16719,112250,TTF
2008-04-10,16401,16578,16401,16401,29990,TTF
2008-04-11,16083,16083,16083,16083,61560,TTF
2008-04-16,15765,15765,15765,15765,6660,TTF
2008-04-17,15482,16047,15482,16047,56010,TTF
2008-04-18,16365,16365,15906,16259,77990,TTF
