time,open,high,low,close,volume,ticker
2016-10-26,6529,7122,6529,7122,1213400,TTH
2016-10-27,7834,7834,7320,7834,1800300,TTH
2016-10-28,8586,8586,8072,8586,2455000,TTH
2016-10-31,8586,8586,7755,7755,964480,TTH
2016-11-01,7003,7003,7003,7003,176800,TTH
2016-11-02,6331,6331,6331,6331,2200,TTH
2016-11-03,5698,5698,5698,5698,11040,TTH
2016-11-04,5144,5144,5144,5144,321200,TTH
2016-11-07,4629,4629,4629,4629,338400,TTH
2016-11-08,4194,4194,4194,4194,55585,TTH
2016-11-09,3798,4550,3798,4550,2943135,TTH
2016-11-10,4708,4985,4115,4590,408020,TTH
2016-11-11,4629,4629,4154,4154,158410,TTH
2016-11-14,3759,3798,3759,3759,257200,TTH
2016-11-15,3403,3561,3403,3403,196225,TTH
2016-11-16,3086,3086,3086,3086,127100,TTH
2016-11-17,2809,3363,2809,3205,805270,TTH
2016-11-18,3165,3244,2967,3165,218100,TTH
2016-11-21,2967,3482,2967,3482,280600,TTH
2016-11-22,3798,3798,3719,3798,460300,TTH
2016-11-23,4115,4154,3719,3957,946520,TTH
2016-11-24,3957,4075,3759,3877,309180,TTH
2016-11-25,3877,3957,3798,3877,215505,TTH
2016-11-28,3877,3957,3759,3798,203100,TTH
2016-11-29,3759,3798,3442,3482,390245,TTH
2016-11-30,3521,3600,3442,3600,96100,TTH
2016-12-01,3719,3719,3482,3561,123415,TTH
2016-12-02,3482,3561,3482,3521,69600,TTH
2016-12-05,3521,3680,3482,3640,118752,TTH
2016-12-06,3600,3680,3561,3640,110338,TTH
2016-12-07,3521,3640,3482,3521,49900,TTH
2016-12-08,3561,3561,3403,3482,137210,TTH
2016-12-09,3403,3561,3403,3521,77300,TTH
2016-12-12,3561,3838,3561,3798,194900,TTH
2016-12-13,3798,3838,3719,3719,108408,TTH
2016-12-14,3719,3719,3482,3561,105910,TTH
2016-12-15,3561,3719,3521,3561,95600,TTH
2016-12-16,3561,3798,3521,3640,160300,TTH
2016-12-19,3719,3719,3521,3521,146500,TTH
2016-12-20,3521,3640,3482,3521,79300,TTH
2016-12-21,3838,3838,3521,3600,66400,TTH
2016-12-22,3561,3561,3521,3561,68700,TTH
2016-12-23,3482,3719,3482,3600,314700,TTH
2016-12-26,3640,3640,3482,3521,82000,TTH
2016-12-27,3482,3600,3442,3521,101600,TTH
2016-12-28,3625,3625,3521,3521,30700,TTH
2016-12-29,3521,3521,3211,3418,121800,TTH
2016-12-30,3366,3469,3366,3469,97000,TTH
2017-01-03,3366,3625,3366,3573,92920,TTH
2017-01-04,3573,3573,3469,3573,118607,TTH
2017-01-05,3521,3573,3418,3573,114603,TTH
2017-01-06,3469,3573,3418,3469,77000,TTH
2017-01-09,3469,3521,3418,3469,53800,TTH
2017-01-10,3469,3469,3366,3366,54200,TTH
2017-01-11,3366,3418,3314,3314,58810,TTH
2017-01-12,3314,3366,3262,3366,65800,TTH
2017-01-13,3418,3418,3314,3314,26600,TTH
2017-01-16,3314,3314,3211,3211,30300,TTH
2017-01-17,3262,3314,3211,3262,11300,TTH
2017-01-18,3262,3314,3107,3314,74100,TTH
2017-01-19,3262,3262,3107,3211,43500,TTH
2017-01-20,3262,3314,3107,3211,83700,TTH
2017-01-23,3159,3211,3159,3159,9600,TTH
2017-01-24,3159,3159,3003,3055,118400,TTH
2017-01-25,3003,3055,2900,3003,98700,TTH
2017-02-02,3055,3211,3055,3159,61200,TTH
2017-02-03,3159,3159,3107,3159,79400,TTH
2017-02-06,3159,3211,3055,3107,121200,TTH
2017-02-07,3107,3107,2952,3055,134920,TTH
2017-02-08,3055,3055,2900,2952,106220,TTH
2017-02-09,2952,3211,2952,3211,226108,TTH
2017-02-10,3366,3521,3314,3418,376640,TTH
2017-02-13,3521,3521,3262,3314,107420,TTH
2017-02-14,3314,3366,3262,3366,171800,TTH
2017-02-15,3366,3469,3366,3366,186100,TTH
2017-02-16,3366,3366,3314,3314,133000,TTH
2017-02-17,3366,3366,3211,3211,181900,TTH
2017-02-20,3211,3211,3055,3159,202310,TTH
2017-02-21,3159,3469,3003,3469,434030,TTH
2017-02-22,3728,3780,3728,3780,65821,TTH
2017-02-23,4143,4143,3625,4091,1081929,TTH
2017-02-24,4091,4143,3884,3884,416010,TTH
2017-02-27,3884,3987,3832,3936,314410,TTH
2017-02-28,3884,4195,3884,3987,434550,TTH
2017-03-01,4039,4246,3987,4091,855859,TTH
2017-03-02,4143,4143,3987,3987,255750,TTH
