time,open,high,low,close,volume,ticker
2006-12-05,35813,35813,35813,35813,97530,TTP
2006-12-06,34045,34045,34045,34045,164480,TTP
2006-12-07,35592,35592,35592,35592,49990,TTP
2006-12-08,37361,37361,37361,37361,10000,TTP
2006-12-11,39129,39129,39129,39129,38780,TTP
2006-12-12,40677,40677,37361,37361,156410,TTP
2006-12-13,39129,39129,39129,39129,164640,TTP
2006-12-14,40898,40898,39793,39793,238560,TTP
2006-12-15,38908,39793,38908,39129,101340,TTP
2006-12-18,38908,38908,37361,37361,193220,TTP
2006-12-19,37140,37582,36698,37582,138350,TTP
2006-12-20,37140,37140,35813,35813,73100,TTP
2006-12-21,35371,35371,34045,34045,104000,TTP
2006-12-22,32497,32497,32497,32497,95830,TTP
2006-12-25,32055,34045,32055,34045,67590,TTP
2006-12-26,35371,35592,34929,35592,106510,TTP
2006-12-27,36698,36698,36698,36698,186330,TTP
2006-12-28,35150,35813,35150,35371,143150,TTP
2006-12-29,35371,35813,35371,35813,81660,TTP
2007-01-02,36698,36698,35371,35371,122310,TTP
2007-01-03,34929,35371,34929,35371,158300,TTP
2007-01-04,37140,37140,37140,37140,91740,TTP
2007-01-05,38908,38908,38024,38024,194880,TTP
2007-01-08,38466,38466,37582,37582,82820,TTP
2007-01-09,38908,38908,37803,37803,145390,TTP
2007-01-10,38024,38024,37803,38024,86570,TTP
2007-01-11,37582,39793,37582,39571,223790,TTP
2007-01-12,39571,40235,39571,40235,161820,TTP
2007-01-15,41119,41119,40235,41119,117360,TTP
2007-01-16,41119,41119,39793,39793,168330,TTP
2007-01-17,39571,39571,37803,37803,131970,TTP
2007-01-18,38024,39571,37803,39571,76620,TTP
2007-01-19,39793,39793,39571,39571,89180,TTP
2007-01-22,37803,38908,37803,38908,133670,TTP
2007-01-23,38466,38466,38466,38466,65230,TTP
2007-01-24,38908,38908,38466,38466,80300,TTP
2007-01-25,37140,37140,37140,37140,18600,TTP
2007-01-26,35813,37140,35813,37140,52370,TTP
2007-01-29,37140,38908,37140,38466,61870,TTP
2007-01-30,38908,40235,38908,40235,67600,TTP
2007-01-31,39793,40235,39793,40235,147000,TTP
2007-02-01,40235,40235,40235,40235,110640,TTP
2007-02-02,40235,40235,40235,40235,78620,TTP
2007-02-05,40677,40677,40235,40235,40970,TTP
2007-02-06,40235,40235,39350,39350,48980,TTP
2007-02-07,39793,39793,39350,39571,86950,TTP
2007-02-08,39350,39350,38466,38466,87320,TTP
2007-02-09,37081,37528,37081,37528,34900,TTP
2007-02-12,39315,39315,39315,39315,15510,TTP
2007-02-13,41102,41102,41102,41102,72600,TTP
2007-02-14,42442,42442,41995,41995,113070,TTP
2007-02-15,42889,43783,41995,43783,74080,TTP
2007-02-26,45570,45570,45570,45570,48850,TTP
2007-02-27,46910,47803,46910,47803,31300,TTP
2007-02-28,50037,50037,48250,48250,248650,TTP
2007-03-01,50037,50484,50037,50484,79340,TTP
2007-03-02,52718,52718,52718,52718,64440,TTP
2007-03-05,54952,54952,54952,54952,148090,TTP
2007-03-06,54952,54952,52271,52271,69880,TTP
2007-03-07,52271,52271,50037,50037,85150,TTP
2007-03-08,52271,52271,51824,51824,108220,TTP
2007-03-09,51824,51824,50484,50484,154920,TTP
2007-03-12,52718,52718,52718,52718,199940,TTP
2007-03-13,54952,54952,54952,54952,153140,TTP
2007-03-14,54505,54505,52271,52271,72210,TTP
2007-03-15,50037,50037,50037,50037,70720,TTP
2007-03-16,48697,52271,48697,52271,69510,TTP
2007-03-19,53611,53611,50484,50484,195000,TTP
2007-03-20,50484,52271,50484,52271,108270,TTP
2007-03-21,50931,51378,50931,50931,43660,TTP
2007-03-22,48697,48697,48697,48697,72250,TTP
2007-03-23,46910,48697,46910,47803,54420,TTP
2007-03-26,47803,47803,45570,45570,76650,TTP
2007-03-27,44229,44229,44229,44229,134860,TTP
2007-03-28,44229,45570,43336,45570,46880,TTP
2007-03-29,47803,47803,47803,47803,7000,TTP
2007-03-30,50037,50037,50037,50037,62140,TTP
2007-04-02,48697,48697,47803,47803,43550,TTP
2007-04-03,50037,50037,47803,47803,107430,TTP
2007-04-04,48250,48697,48250,48697,22300,TTP
