time,open,high,low,close,volume,ticker
2017-04-12,6553,6553,6553,6553,0,TVA
2017-04-13,6553,6553,6553,6553,0,TVA
2017-04-14,6553,6553,6553,6553,0,TVA
2017-04-17,6553,6553,6553,6553,0,TVA
2017-04-18,6553,6553,6553,6553,0,TVA
2017-04-19,6553,6553,6553,6553,0,TVA
2017-04-20,6553,6553,6553,6553,0,TVA
2017-04-21,6553,6553,6553,6553,100,TVA
2017-04-24,5589,6553,5589,6553,300,TVA
2017-04-25,5139,5139,5139,5139,400,TVA
2017-04-26,5139,5139,5139,5139,0,TVA
2017-04-27,5172,5172,5172,5172,1000,TVA
2017-04-28,5172,5172,5172,5172,1500,TVA
2017-05-03,5172,5172,5172,5172,0,TVA
2017-05-04,5943,5943,5943,5943,700,TVA
2017-05-05,6264,6424,5493,5493,800,TVA
2017-05-08,6264,6264,6264,6264,1900,TVA
2017-05-09,5461,6264,5461,5461,1200,TVA
2017-05-10,6264,6264,5300,5300,1400,TVA
2017-05-11,5621,6232,5621,6232,600,TVA
2017-05-12,6264,6264,6264,6264,3100,TVA
2017-05-15,5396,5396,5396,5396,300,TVA
2017-05-16,6103,6103,6103,6103,100,TVA
2017-05-17,6103,6103,6103,6103,0,TVA
2017-05-18,6424,6424,6200,6424,3300,TVA
2017-05-19,6392,6392,6392,6392,0,TVA
2017-05-22,5557,5557,5557,5557,600,TVA
2017-05-23,5557,5557,5557,5557,0,TVA
2017-05-24,5621,5621,5621,5621,300,TVA
2017-05-25,5461,5461,5461,5461,100,TVA
2017-05-26,5621,5621,5621,5621,400,TVA
2017-05-29,5621,5621,5621,5621,0,TVA
2017-05-30,5621,5621,5621,5621,0,TVA
2017-05-31,6039,6232,6039,6232,2700,TVA
2017-06-01,6296,6296,6296,6296,1000,TVA
2017-06-02,6521,6521,6424,6457,4600,TVA
2017-06-05,6521,6617,6521,6617,2500,TVA
2017-06-06,6746,6746,6746,6746,2200,TVA
2017-06-07,6746,6746,6746,6746,0,TVA
2017-06-08,5846,5846,5846,5846,100,TVA
2017-06-09,5846,5846,5846,5846,0,TVA
2017-06-12,6714,6714,6714,6714,200,TVA
2017-06-13,5718,7067,5718,7067,600,TVA
2017-06-14,5943,5943,5943,5943,100,TVA
2017-06-15,5943,5943,5943,5943,0,TVA
2017-06-16,5943,5943,5943,5943,0,TVA
2017-06-19,6810,6810,6746,6810,2200,TVA
2017-06-20,6810,6810,6810,6810,0,TVA
2017-06-21,7067,7067,7067,7067,200,TVA
2017-06-22,7067,7067,7067,7067,0,TVA
2017-06-23,7388,7549,7388,7549,1000,TVA
2017-06-26,7485,7485,7485,7485,0,TVA
2017-06-27,7485,7485,7485,7485,0,TVA
2017-06-28,7420,7838,7420,7838,3607,TVA
2017-06-29,7549,7549,7549,7549,0,TVA
2017-06-30,7549,7549,7549,7549,0,TVA
2017-07-03,7709,7709,7709,7709,100,TVA
2017-07-04,8031,8031,8031,8031,500,TVA
2017-07-05,8031,8031,8031,8031,0,TVA
2017-07-06,8352,8352,8352,8352,200,TVA
2017-07-07,8352,8352,8352,8352,75,TVA
2017-07-10,8673,8994,7774,7774,1700,TVA
2017-07-11,8031,8031,8031,8031,300,TVA
2017-07-12,8031,8031,8031,8031,0,TVA
2017-07-13,8031,8031,8031,8031,0,TVA
2017-07-14,8352,9155,8352,9155,4513,TVA
2017-07-17,8737,8737,8737,8737,0,TVA
2017-07-18,9637,9637,8834,8930,1903,TVA
2017-07-19,9316,9316,9187,9187,695,TVA
2017-07-20,9251,9251,9251,9251,7,TVA
2017-07-21,9251,9251,9155,9251,1500,TVA
2017-07-24,9187,9187,9187,9187,0,TVA
2017-07-25,8994,8994,8994,8994,200,TVA
2017-07-26,9155,9155,9155,9155,300,TVA
2017-07-27,8994,9251,8673,9251,4500,TVA
2017-07-28,9187,9316,9187,9316,2200,TVA
2017-07-31,9155,9155,8994,9155,922,TVA
2017-08-01,9155,9155,9155,9155,200,TVA
2017-08-02,9155,9187,9155,9155,1200,TVA
2017-08-03,9155,9155,9155,9155,2200,TVA
2017-08-04,9155,9155,9155,9155,2160,TVA
2017-08-07,9187,9187,9187,9187,649,TVA
2017-08-08,9155,9155,9155,9155,500,TVA
2017-08-09,9155,9155,9155,9155,100,TVA
2017-08-10,9091,9091,9091,9091,618,TVA
2017-08-11,9091,9091,9091,9091,200,TVA
2017-08-14,9091,9091,9091,9091,0,TVA
2017-08-15,9091,9091,9091,9091,915,TVA
2017-08-16,8994,8994,8994,8994,100,TVA
2017-08-17,8994,8994,8994,8994,400,TVA
2017-08-18,8994,8994,8994,8994,60,TVA
2017-08-21,9123,9123,9091,9091,3600,TVA
2017-08-22,9091,9091,9091,9091,1400,TVA
2017-08-23,9091,9091,9091,9091,25,TVA
2017-08-24,9091,9091,9091,9091,500,TVA
2017-08-25,9091,9091,9091,9091,0,TVA
2017-08-28,9091,9091,9091,9091,0,TVA
2017-08-29,9091,9091,9091,9091,51,TVA
2017-08-30,9091,9091,9091,9091,0,TVA
2017-08-31,9091,9091,9091,9091,0,TVA
2017-09-01,9091,9091,9091,9091,100,TVA
2017-09-05,9091,9091,9091,9091,0,TVA
