time,open,high,low,close,volume,ticker
2010-07-20,514,514,514,514,900,TVG
2010-07-21,514,514,514,514,0,TVG
2010-07-22,514,514,514,514,0,TVG
2010-07-23,514,514,514,514,0,TVG
2010-07-26,514,514,514,514,0,TVG
2010-07-27,514,514,514,514,0,TVG
2010-07-28,514,514,514,514,0,TVG
2010-07-29,514,514,514,514,0,TVG
2010-07-30,514,514,514,514,0,TVG
2010-08-02,514,514,514,514,0,TVG
2010-08-03,514,514,514,514,0,TVG
2010-08-04,514,514,514,514,0,TVG
2010-08-05,514,514,514,514,0,TVG
2010-08-06,514,514,514,514,0,TVG
2010-08-09,514,514,514,514,0,TVG
2010-08-10,514,514,514,514,0,TVG
2010-08-11,514,514,514,514,0,TVG
2010-08-12,514,514,514,514,0,TVG
2010-08-13,514,514,514,514,0,TVG
2010-08-16,514,514,514,514,0,TVG
2010-08-17,514,514,514,514,0,TVG
2010-08-18,514,514,514,514,0,TVG
2010-08-19,514,514,514,514,0,TVG
2010-08-20,514,514,514,514,0,TVG
2010-08-23,514,514,514,514,0,TVG
2010-08-24,514,514,514,514,0,TVG
2010-08-25,514,514,514,514,0,TVG
2010-09-06,599,599,599,599,0,TVG
2010-09-07,599,599,599,599,0,TVG
2010-09-08,599,599,599,599,0,TVG
2010-09-09,599,599,599,599,0,TVG
2010-09-10,599,599,599,599,0,TVG
2010-09-13,599,599,599,599,0,TVG
2010-09-14,599,599,599,599,0,TVG
2010-09-15,599,599,599,599,0,TVG
2010-09-16,628,628,628,628,100,TVG
2010-09-17,628,628,628,628,3800,TVG
2010-09-20,628,628,628,628,0,TVG
2010-09-21,628,628,628,628,0,TVG
2010-09-22,628,628,628,628,0,TVG
2010-09-23,628,628,628,628,0,TVG
2010-09-24,628,628,628,628,0,TVG
2010-09-27,628,628,628,628,0,TVG
2010-09-28,628,628,628,628,0,TVG
2010-09-29,628,628,628,628,0,TVG
2010-09-30,628,628,628,628,0,TVG
2010-10-01,628,628,628,628,0,TVG
2010-10-04,628,628,628,628,0,TVG
2010-10-05,628,628,628,628,0,TVG
2010-10-06,628,628,628,628,0,TVG
2010-10-07,628,628,628,628,0,TVG
2010-10-08,628,628,628,628,0,TVG
2010-10-11,657,657,657,657,100,TVG
2010-10-12,657,657,657,657,0,TVG
2010-10-13,657,657,657,657,0,TVG
2010-10-14,657,657,657,657,0,TVG
2010-10-15,657,657,657,657,0,TVG
2010-10-18,657,657,657,657,0,TVG
2010-10-19,657,657,657,657,0,TVG
2010-10-20,657,657,657,657,0,TVG
2010-10-21,657,657,657,657,0,TVG
2010-10-22,657,657,657,657,0,TVG
2010-10-25,657,657,657,657,0,TVG
2010-10-26,657,657,657,657,0,TVG
2010-10-27,657,657,657,657,0,TVG
2010-10-28,657,657,657,657,0,TVG
2010-10-29,657,657,657,657,0,TVG
2010-11-01,657,657,657,657,0,TVG
2010-11-02,657,657,657,657,0,TVG
2010-11-03,657,657,657,657,0,TVG
2010-11-04,657,657,657,657,0,TVG
2010-11-05,657,657,657,657,0,TVG
2010-11-08,657,657,657,657,0,TVG
2010-11-09,657,657,657,657,0,TVG
2010-11-10,657,657,657,657,0,TVG
2010-11-11,657,657,657,657,0,TVG
2010-11-12,657,657,657,657,0,TVG
2010-11-15,657,657,657,657,0,TVG
2010-11-16,657,657,657,657,0,TVG
2010-12-22,657,657,657,657,1300,TVG
2010-12-23,657,657,657,657,0,TVG
2010-12-24,657,657,657,657,0,TVG
2010-12-27,657,657,657,657,0,TVG
2010-12-28,657,657,657,657,0,TVG
2010-12-29,591,591,591,591,3000,TVG
2010-12-30,591,591,591,591,0,TVG
2010-12-31,591,591,591,591,0,TVG
2011-01-04,591,591,591,591,0,TVG
2011-01-05,591,591,591,591,0,TVG
2011-01-06,591,591,591,591,0,TVG
2011-01-07,591,591,591,591,0,TVG
2011-01-10,591,591,591,591,0,TVG
2011-01-11,591,591,591,591,0,TVG
2011-01-12,591,591,591,591,0,TVG
2011-01-13,591,591,591,591,0,TVG
2011-01-14,591,591,591,591,0,TVG
2011-01-17,591,591,591,591,0,TVG
2011-01-18,591,591,591,591,0,TVG
2011-01-19,591,591,591,591,0,TVG
2011-01-20,591,591,591,591,0,TVG
2011-01-21,591,591,591,591,0,TVG
2011-01-24,591,591,591,591,0,TVG
2011-01-25,591,591,591,591,0,TVG
2011-01-26,591,591,591,591,0,TVG
2011-01-27,591,591,591,591,0,TVG
2011-01-28,591,591,591,591,0,TVG
2011-02-08,591,591,591,591,0,TVG
2011-02-09,591,591,591,591,0,TVG
2011-02-10,591,591,591,591,0,TVG
2011-02-11,591,591,591,591,0,TVG
2011-02-14,591,591,591,591,0,TVG
2011-04-04,591,591,591,591,0,TVG
2011-04-05,591,591,591,591,0,TVG
2011-04-06,591,591,591,591,0,TVG
2011-04-07,591,591,591,591,0,TVG
2011-04-08,591,591,591,591,0,TVG
2011-04-13,591,591,591,591,0,TVG
2011-04-14,591,591,591,591,0,TVG
2011-04-15,591,591,591,591,0,TVG
2011-04-18,591,591,591,591,0,TVG
2011-04-19,591,591,591,591,0,TVG
2011-04-20,591,591,591,591,0,TVG
2011-04-21,591,591,591,591,0,TVG
2011-04-22,591,591,591,591,0,TVG
2011-04-25,591,591,591,591,0,TVG
2011-04-26,591,591,591,591,0,TVG
2011-04-27,591,591,591,591,0,TVG
2011-04-28,357,357,357,357,6300,TVG
2011-04-29,357,357,357,357,0,TVG
2011-05-04,357,357,357,357,0,TVG
2011-05-05,357,357,357,357,0,TVG
2011-05-06,357,357,357,357,0,TVG
2011-05-09,357,357,357,357,0,TVG
2011-05-10,357,357,357,357,0,TVG
2011-05-11,357,357,357,357,0,TVG
2011-05-12,357,357,357,357,0,TVG
2011-05-13,357,357,357,357,0,TVG
2011-05-16,357,357,357,357,0,TVG
2011-05-17,357,357,357,357,0,TVG
2011-05-18,357,357,357,357,0,TVG
2011-05-19,357,357,357,357,0,TVG
2011-05-20,357,357,357,357,0,TVG
2011-05-23,357,357,357,357,0,TVG
2011-05-24,357,357,357,357,0,TVG
2011-05-25,357,357,357,357,0,TVG
2011-05-26,357,357,357,357,0,TVG
2011-05-27,357,357,357,357,0,TVG
2011-05-30,357,357,357,357,0,TVG
2011-05-31,357,357,357,357,0,TVG
2011-06-01,357,357,357,357,0,TVG
2011-06-02,322,322,322,322,1600,TVG
2011-06-03,322,322,322,322,4200,TVG
2011-06-06,322,322,322,322,0,TVG
2011-06-07,322,322,322,322,0,TVG
2011-06-08,322,322,322,322,0,TVG
2011-06-09,322,322,322,322,0,TVG
2011-06-10,322,322,322,322,0,TVG
2011-06-13,322,322,322,322,0,TVG
2011-06-14,322,322,322,322,9100,TVG
2011-06-15,322,322,322,322,0,TVG
2011-06-16,322,322,322,322,0,TVG
2011-06-17,322,322,322,322,0,TVG
2011-06-20,322,322,322,322,0,TVG
2011-06-21,322,322,322,322,0,TVG
2011-06-22,322,322,322,322,0,TVG
2011-06-23,322,322,322,322,0,TVG
2011-06-24,322,322,322,322,0,TVG
2011-06-27,322,322,322,322,0,TVG
2011-06-28,322,322,322,322,0,TVG
2011-06-29,322,322,322,322,0,TVG
2011-06-30,322,322,322,322,0,TVG
2011-07-01,322,322,322,322,0,TVG
2011-07-04,322,322,322,322,0,TVG
2011-07-05,322,322,322,322,0,TVG
2011-07-06,322,322,322,322,0,TVG
2011-07-07,322,322,322,322,0,TVG
2011-07-08,322,322,322,322,0,TVG
2011-07-11,322,322,322,322,0,TVG
2011-07-12,322,322,322,322,0,TVG
2011-07-13,322,322,322,322,0,TVG
2011-07-14,322,322,322,322,0,TVG
2011-07-15,322,322,322,322,0,TVG
2011-07-18,322,322,322,322,0,TVG
2011-07-19,322,322,322,322,0,TVG
2011-07-20,322,322,322,322,0,TVG
2011-07-21,322,322,322,322,0,TVG
2011-07-22,322,322,322,322,0,TVG
2011-07-25,322,322,322,322,0,TVG
2011-07-26,322,322,322,322,0,TVG
2011-07-27,274,274,274,274,0,TVG
2011-07-28,274,274,274,274,0,TVG
2011-07-29,274,274,274,274,0,TVG
2011-08-01,274,274,274,274,0,TVG
2011-08-02,274,274,274,274,0,TVG
2011-08-03,274,274,274,274,0,TVG
2011-08-04,274,274,274,274,0,TVG
2011-08-05,274,274,274,274,0,TVG
2011-08-08,274,274,274,274,0,TVG
2011-08-09,274,274,274,274,0,TVG
2011-08-10,274,274,274,274,0,TVG
2011-08-11,274,274,274,274,0,TVG
2011-08-12,274,274,274,274,0,TVG
2011-08-15,274,274,274,274,0,TVG
2011-08-16,274,274,274,274,0,TVG
2011-08-17,274,274,274,274,0,TVG
2011-08-18,274,274,274,274,0,TVG
2011-08-19,274,274,274,274,0,TVG
2011-08-22,274,274,274,274,0,TVG
2011-08-23,274,274,274,274,0,TVG
2011-08-24,274,274,274,274,0,TVG
2011-08-25,274,274,274,274,0,TVG
2011-08-26,274,274,274,274,0,TVG
2011-08-29,274,274,274,274,0,TVG
2011-08-30,274,274,274,274,0,TVG
2011-08-31,274,274,274,274,0,TVG
2011-09-01,274,274,274,274,0,TVG
2011-09-05,274,274,274,274,0,TVG
2011-09-06,274,274,274,274,0,TVG
2011-09-07,285,285,285,285,1500,TVG
2011-09-08,285,285,285,285,0,TVG
2011-09-09,285,285,285,285,0,TVG
2011-09-12,285,285,285,285,0,TVG
2011-09-13,285,285,285,285,0,TVG
2011-09-14,285,285,285,285,0,TVG
2011-09-15,285,285,285,285,0,TVG
2011-09-16,285,285,285,285,0,TVG
2011-09-19,285,285,285,285,0,TVG
2011-09-20,285,285,285,285,0,TVG
2011-09-21,285,285,285,285,0,TVG
