time,open,high,low,close,volume,ticker
2007-11-12,18290,18290,18290,18290,117300,UIC
2007-11-13,19204,19204,19204,19204,19010,UIC
2007-11-14,20119,20119,20119,20119,90660,UIC
2007-11-15,21033,21033,20119,21033,301720,UIC
2007-11-16,20119,20576,20004,20004,146200,UIC
2007-11-19,19204,19890,19090,19090,90660,UIC
2007-11-20,18175,18975,18175,18404,112490,UIC
2007-11-21,17718,18404,17604,17604,131140,UIC
2007-11-22,17832,18404,17832,18290,92390,UIC
2007-11-23,18290,18290,17947,17947,30870,UIC
2007-11-26,17489,18290,17489,17947,53080,UIC
2007-11-27,18061,18175,17832,17832,49800,UIC
2007-11-28,17832,17947,17604,17718,96320,UIC
2007-11-29,18061,18061,17832,17947,55430,UIC
2007-11-30,18061,18061,17832,17832,22870,UIC
2007-12-03,17832,17832,17604,17832,33930,UIC
2007-12-04,18061,18061,17832,17832,35750,UIC
2007-12-05,17261,17375,17261,17375,69110,UIC
2007-12-06,17146,17261,16804,16804,52190,UIC
2007-12-07,16689,17032,16461,16689,55320,UIC
2007-12-10,17146,17146,16118,16118,20550,UIC
2007-12-11,16003,16003,15317,15317,57340,UIC
2007-12-12,14975,16003,14860,15317,40290,UIC
2007-12-13,15317,15317,14860,14860,25530,UIC
2007-12-14,14517,14746,14517,14517,2545,UIC
2007-12-17,14403,14632,13831,13831,29630,UIC
2007-12-18,13260,13488,13146,13488,50720,UIC
2007-12-19,14060,14060,14060,14060,27380,UIC
2007-12-20,14746,14746,14174,14174,100380,UIC
2007-12-21,14632,14860,14403,14860,48740,UIC
2007-12-24,15546,15546,15546,15546,11030,UIC
2007-12-25,16232,16232,16232,16232,10410,UIC
2007-12-26,15546,16689,15546,16232,185620,UIC
2007-12-27,16003,16232,15660,15660,39440,UIC
2007-12-28,15775,15775,15546,15660,20050,UIC
2008-01-02,15546,15546,15089,15089,30550,UIC
2008-01-03,14632,14746,14517,14632,28170,UIC
2008-01-04,14860,14860,14632,14860,28580,UIC
2008-01-07,14975,14975,14174,14632,32660,UIC
2008-01-08,14860,15089,14174,14174,41960,UIC
2008-01-09,14289,14517,14060,14174,26280,UIC
2008-01-10,14289,14289,13717,13831,60200,UIC
2008-01-11,14174,14289,13946,13946,29530,UIC
2008-01-14,13946,13946,13374,13374,30570,UIC
2008-01-15,12917,13031,12803,12803,57450,UIC
2008-01-16,13374,13374,13374,13374,27360,UIC
2008-01-17,13946,13946,13374,13488,103660,UIC
2008-01-18,13374,13946,13374,13946,4535,UIC
2008-01-21,13946,13946,13488,13717,26400,UIC
2008-01-22,13260,13488,13260,13374,53820,UIC
2008-01-23,13031,13146,12803,12917,48690,UIC
2008-01-24,13260,13260,12460,12460,44380,UIC
2008-01-25,12345,12688,12231,12688,47980,UIC
2008-01-28,12574,12688,12460,12574,3707,UIC
2008-01-29,12574,13146,12574,13146,52680,UIC
2008-01-30,13717,13717,13488,13717,111740,UIC
2008-01-31,13031,13260,13031,13260,59490,UIC
2008-02-01,13603,13603,13260,13488,69510,UIC
2008-02-12,13031,13260,12917,12917,70590,UIC
