time,open,high,low,close,volume,ticker
2016-12-29,16212,16212,16212,16212,2000,UPH
2016-12-30,18624,18624,18624,18624,500,UPH
2017-01-03,18624,18624,18624,18624,0,UPH
2017-01-04,21326,21326,21326,21326,100,UPH
2017-01-05,24511,24511,24511,24511,200,UPH
2017-01-06,28178,28178,28178,28178,600,UPH
2017-01-09,32327,32327,32327,32327,300,UPH
2017-01-10,37152,37152,32327,37152,6700,UPH
2017-01-11,34257,34257,31169,32327,800,UPH
2017-01-12,27406,27406,27406,27406,1400,UPH
2017-01-13,23353,23353,23353,23353,1800,UPH
2017-01-16,19879,19879,19879,19879,1200,UPH
2017-01-17,17080,19879,16984,19879,3900,UPH
2017-01-18,17080,17080,17080,17080,0,UPH
2017-01-19,19589,19589,14668,19589,1000,UPH
2017-01-20,19107,19107,19107,19107,100,UPH
2017-01-23,19107,19107,19107,19107,1700,UPH
2017-01-24,21905,21905,21905,21905,100,UPH
2017-01-25,25186,25186,25090,25090,600,UPH
2017-02-02,25090,25090,21712,21712,600,UPH
2017-02-03,21712,21809,21712,21809,500,UPH
2017-02-06,24897,24897,24897,24897,100,UPH
2017-02-07,24318,24318,24318,24318,300,UPH
2017-02-08,22677,23160,22195,22195,300,UPH
2017-02-09,24125,24125,23835,23932,1200,UPH
2017-02-10,22195,22195,21230,21230,200,UPH
2017-02-13,21712,21712,21712,21712,0,UPH
2017-02-14,24897,24897,22677,23160,800,UPH
2017-02-15,22677,22677,21809,21809,400,UPH
2017-02-16,21230,22195,21230,22195,300,UPH
2017-02-17,21519,21519,21519,21519,0,UPH
2017-02-20,21519,21712,21230,21230,1455,UPH
2017-02-21,19300,21519,19300,21230,5668,UPH
2017-02-22,22677,22677,20747,22195,6700,UPH
2017-02-23,23160,23160,22195,22195,716,UPH
2017-02-24,22195,22195,22098,22098,310,UPH
2017-02-27,22098,22195,22098,22195,2000,UPH
2017-02-28,22195,23160,22002,22195,2602,UPH
2017-03-01,22677,23160,22195,22484,3600,UPH
2017-03-02,22677,23160,22677,23160,2279,UPH
2017-03-03,22870,22870,22774,22870,407,UPH
2017-03-06,22967,22967,22967,22967,100,UPH
2017-03-07,22967,23063,22967,23063,500,UPH
2017-03-08,23160,23160,23160,23160,100,UPH
2017-03-09,23160,23160,22870,22870,800,UPH
2017-03-10,23160,23160,23160,23160,100,UPH
2017-03-13,23160,23160,23160,23160,0,UPH
2017-03-14,23160,23160,23160,23160,0,UPH
2017-03-15,23160,23160,23160,23160,0,UPH
2017-03-16,23160,23160,23160,23160,0,UPH
2017-03-17,23160,23160,23160,23160,0,UPH
2017-03-20,23160,23160,23063,23063,200,UPH
2017-03-21,23160,23160,23160,23160,200,UPH
2017-03-22,23160,23160,23160,23160,0,UPH
2017-03-23,23256,23256,23256,23256,100,UPH
2017-03-24,23160,23160,23160,23160,100,UPH
2017-03-27,23160,23160,22870,22870,910,UPH
2017-03-28,23160,23160,22967,22967,300,UPH
2017-03-29,23063,23063,22484,22484,900,UPH
2017-03-30,22870,22870,22774,22774,200,UPH
2017-03-31,22870,22870,22870,22870,0,UPH
2017-04-03,22967,22967,22870,22870,200,UPH
2017-04-04,22967,22967,22774,22774,300,UPH
2017-04-05,22774,22774,22774,22774,100,UPH
2017-04-07,22774,22774,22774,22774,100,UPH
2017-04-10,22774,22774,22774,22774,0,UPH
2017-04-11,22677,22677,22677,22677,100,UPH
2017-04-12,22677,23160,22677,23160,500,UPH
2017-04-13,22870,22870,22870,22870,100,UPH
2017-04-14,22870,22870,22870,22870,0,UPH
2017-04-17,22870,22870,22870,22870,0,UPH
2017-04-18,22967,22967,22967,22967,100,UPH
2017-04-19,22967,22967,22967,22967,100,UPH
2017-04-20,22967,22967,22967,22967,100,UPH
2017-04-21,22967,22967,22967,22967,100,UPH
2017-04-24,22967,22967,22967,22967,100,UPH
2017-04-25,22967,22967,22967,22967,100,UPH
2017-04-26,22967,22967,22967,22967,100,UPH
2017-04-27,22967,22967,22967,22967,0,UPH
2017-04-28,22967,22967,22967,22967,100,UPH
2017-05-03,22967,22967,22967,22967,0,UPH
2017-05-04,22967,22967,22967,22967,100,UPH
2017-05-05,22967,22967,22967,22967,100,UPH
2017-05-08,22967,22967,22967,22967,100,UPH
2017-05-09,22967,22967,22967,22967,100,UPH
2017-05-10,22967,22967,22967,22967,0,UPH
2017-05-11,22967,22967,22967,22967,100,UPH
2017-05-12,22967,22967,22967,22967,100,UPH
2017-05-15,22967,22967,22967,22967,0,UPH
2017-05-16,22967,22967,22967,22967,100,UPH
2017-05-17,22967,22967,22967,22967,100,UPH
2017-05-18,22967,22967,22967,22967,0,UPH
2017-05-19,22967,22967,22967,22967,2,UPH
2017-05-22,22967,22967,22967,22967,0,UPH
2017-05-23,22967,22967,22967,22967,0,UPH
2017-05-24,22967,22967,22967,22967,100,UPH
2017-05-25,22967,22967,22967,22967,0,UPH
2017-05-26,22967,22967,22967,22967,0,UPH
2017-05-29,22967,22967,22967,22967,0,UPH
2017-05-30,22967,22967,22967,22967,0,UPH
2017-05-31,22967,22967,22967,22967,100,UPH
2017-06-01,22967,22967,22967,22967,0,UPH
2017-06-02,22967,22967,22967,22967,0,UPH
2017-06-05,22967,22967,22967,22967,0,UPH
2017-06-06,22967,22967,22967,22967,0,UPH
2017-06-07,22967,22967,22967,22967,0,UPH
2017-06-08,22967,22967,22967,22967,0,UPH
2017-06-09,22967,22967,22967,22967,0,UPH
2017-06-12,22967,22967,22967,22967,0,UPH
2017-06-13,22967,22967,22967,22967,0,UPH
2017-06-14,22967,22967,22967,22967,0,UPH
2017-06-15,22967,22967,22967,22967,0,UPH
2017-06-16,22967,22967,22967,22967,100,UPH
2017-06-19,22967,22967,22967,22967,0,UPH
2017-06-20,22967,22967,22967,22967,0,UPH
2017-06-21,22967,22967,22967,22967,0,UPH
2017-06-22,22967,22967,22967,22967,0,UPH
2017-06-23,23161,23161,23161,23161,100,UPH
2017-06-26,23161,23161,23161,23161,0,UPH
2017-06-27,23161,23161,23161,23161,0,UPH
2017-06-28,23161,23161,23161,23161,0,UPH
2017-06-29,22383,23161,22383,23161,500,UPH
2017-06-30,23161,23161,23161,23161,100,UPH
2017-07-03,23161,23161,23161,23161,0,UPH
2017-07-04,22383,22383,22383,22383,800,UPH
2017-07-05,22383,22383,22383,22383,0,UPH
2017-07-06,23161,23161,23161,23161,100,UPH
2017-07-07,23161,23161,23161,23161,0,UPH
2017-07-10,23161,23161,23161,23161,0,UPH
2017-07-11,23161,23161,23161,23161,0,UPH
2017-07-12,23161,23161,23161,23161,0,UPH
2017-07-13,23161,23161,23161,23161,0,UPH
2017-07-14,23161,23161,23161,23161,0,UPH
2017-07-17,23161,23161,23161,23161,0,UPH
2017-07-18,23161,23161,23161,23161,0,UPH
2017-07-19,23161,23161,23161,23161,0,UPH
2017-07-20,23161,23161,23161,23161,0,UPH
2017-07-21,23161,23161,23161,23161,0,UPH
2017-07-24,23161,23161,23161,23161,0,UPH
2017-07-25,23161,23161,23161,23161,0,UPH
2017-07-26,23161,23161,23161,23161,0,UPH
2017-07-27,23161,23161,23161,23161,0,UPH
2017-07-28,23161,23161,23161,23161,0,UPH
2017-07-31,23161,23161,23161,23161,0,UPH
2017-08-01,23161,23161,23161,23161,0,UPH
2017-08-02,23161,23161,23161,23161,0,UPH
2017-08-03,23161,23161,23161,23161,0,UPH
2017-08-04,23161,23161,23161,23161,0,UPH
2017-08-07,23161,23161,23161,23161,0,UPH
2017-08-08,23161,23161,23161,23161,0,UPH
2017-08-09,23161,23161,23161,23161,0,UPH
2017-08-10,23161,23161,23161,23161,0,UPH
2017-08-11,23161,23161,23161,23161,0,UPH
2017-08-14,23161,23161,23161,23161,0,UPH
2017-08-15,23161,23161,23161,23161,0,UPH
2017-08-16,23161,23161,23161,23161,0,UPH
2017-08-17,23259,23259,23161,23161,200,UPH
2017-08-18,23259,23259,23259,23259,0,UPH
2017-08-21,23259,23259,23259,23259,0,UPH
2017-08-22,23259,23259,23259,23259,0,UPH
2017-08-23,23259,23259,23259,23259,0,UPH
2017-08-24,23259,23259,23259,23259,0,UPH
2017-08-25,23259,23259,23259,23259,0,UPH
2017-08-28,23259,23259,23259,23259,0,UPH
2017-08-29,23259,23259,23259,23259,0,UPH
2017-08-30,23259,23259,23259,23259,0,UPH
2017-08-31,23259,23259,23259,23259,0,UPH
2017-09-01,24329,24329,24329,24329,18400,UPH
2017-09-05,24329,24329,24329,24329,0,UPH
2017-09-06,24329,24329,24329,24329,0,UPH
2017-09-07,24329,24329,24329,24329,0,UPH
2017-09-08,24329,24329,24329,24329,0,UPH
2017-09-11,24329,24329,24329,24329,0,UPH
2017-09-12,24329,24329,24329,24329,0,UPH
2017-09-13,24329,24329,24329,24329,0,UPH
2017-09-14,24329,24329,24329,24329,0,UPH
2017-09-15,24329,24329,24329,24329,0,UPH
2017-09-18,24329,24329,24329,24329,0,UPH
2017-09-19,24329,24329,24329,24329,0,UPH
2017-09-20,24329,24329,24329,24329,0,UPH
2017-09-21,24329,24329,24329,24329,0,UPH
2017-09-22,24329,24329,24329,24329,0,UPH
