time,open,high,low,close,volume,ticker
2010-01-05,5045,5766,4252,5333,72500,V12
2010-01-06,5347,5347,4987,4987,11100,V12
2010-01-07,4728,4742,4713,4713,17100,V12
2010-01-08,4411,4612,4411,4411,32700,V12
2010-01-11,4180,4324,4137,4324,54800,V12
2010-01-12,4180,4439,4180,4194,18900,V12
2010-01-13,4295,4324,4007,4310,21200,V12
2010-01-14,4425,4425,4180,4396,5800,V12
2010-01-15,4324,4324,4108,4108,7800,V12
2010-01-18,4180,4180,3892,3892,10900,V12
2010-01-19,4151,4151,3675,3992,3600,V12
2010-01-20,4021,4021,4021,4021,100,V12
2010-01-21,3747,3834,3747,3747,9300,V12
2010-01-22,3618,3618,3502,3574,16400,V12
2010-01-25,3387,3459,3329,3387,6100,V12
2010-01-26,3632,3632,3632,3632,6100,V12
2010-01-27,3747,3747,3387,3416,8900,V12
2010-01-28,3329,3329,3315,3315,4400,V12
2010-01-29,3474,3474,3474,3474,100,V12
2010-02-01,3257,3257,3243,3243,11200,V12
2010-02-02,3445,3445,3171,3243,2400,V12
2010-02-03,3474,3474,3171,3445,5200,V12
2010-02-04,3257,3257,3171,3185,6600,V12
2010-02-05,3027,3358,3027,3113,1400,V12
2010-02-08,3243,3243,3228,3228,800,V12
2010-02-09,3416,3416,3027,3027,4100,V12
2010-02-10,3243,3243,3243,3243,100,V12
2010-02-11,3243,3243,3243,3243,600,V12
2010-02-12,3459,3459,3099,3099,1900,V12
2010-02-22,3344,3344,3301,3301,4700,V12
2010-02-23,3243,3243,3113,3113,3000,V12
2010-02-24,3027,3142,3027,3142,2200,V12
2010-02-25,3113,3113,3041,3113,3400,V12
2010-02-26,3099,3171,3099,3171,2800,V12
2010-03-01,3171,3243,3171,3243,4600,V12
2010-03-02,3185,3344,3185,3315,3900,V12
2010-03-03,3387,3531,3387,3531,6500,V12
2010-03-04,3618,3719,3603,3603,8700,V12
2010-03-05,3819,3892,3747,3892,20600,V12
2010-03-08,4036,4108,4036,4108,9800,V12
2010-03-09,4252,4252,3906,4036,10400,V12
2010-03-10,3819,4065,3805,3805,5700,V12
2010-03-11,3892,3892,3690,3690,9200,V12
2010-03-12,3834,3863,3762,3863,13400,V12
2010-03-15,3964,4065,3964,3978,13000,V12
2010-03-16,4036,4151,3819,3964,8300,V12
2010-03-17,3819,3819,3819,3819,3600,V12
2010-03-18,3819,3992,3819,3992,6600,V12
2010-03-19,3964,3964,3906,3906,4500,V12
2010-03-22,4065,4194,3964,4194,55900,V12
2010-03-23,4439,4439,4180,4324,18900,V12
2010-03-24,4353,4468,4122,4324,17300,V12
2010-03-25,4079,4079,4079,4079,2900,V12
2010-03-26,4079,4353,4079,4353,71000,V12
2010-03-29,4425,4425,4108,4295,3500,V12
2010-03-30,4266,4324,4036,4036,15200,V12
2010-03-31,4021,4021,3892,3920,9400,V12
2010-04-01,3920,4036,3892,3920,17000,V12
2010-04-02,3935,3935,3834,3920,3000,V12
2010-04-05,4093,4151,4036,4151,14800,V12
2010-04-06,4367,4367,4036,4036,11000,V12
2010-04-07,4065,4079,3964,4007,16100,V12
2010-04-08,4065,4295,4050,4180,20200,V12
2010-04-09,4209,4209,4050,4093,16800,V12
2010-04-12,3992,4108,3978,4021,25300,V12
2010-04-13,4036,4252,3992,4007,17900,V12
2010-04-14,4050,4079,3992,4050,10100,V12
2010-04-15,4238,4238,4165,4238,10900,V12
2010-04-16,4223,4483,4209,4483,89600,V12
2010-04-19,4684,4728,4396,4468,7700,V12
2010-04-20,4612,4612,4497,4598,26000,V12
2010-04-21,4756,4872,4684,4872,22100,V12
2010-04-22,4929,5102,4699,4699,41600,V12
2010-04-26,4656,4656,4656,4656,8000,V12
2010-04-27,4511,4583,4468,4526,35200,V12
2010-04-28,4353,4756,4353,4583,55900,V12
2010-04-29,4886,4886,4699,4886,60400,V12
2010-05-04,5218,5218,5218,5218,21200,V12
2010-05-05,5578,5578,5218,5578,98300,V12
2010-05-06,5578,5924,5578,5924,55600,V12
2010-05-07,6198,6313,5506,5549,67000,V12
2010-05-10,5290,5290,5275,5275,44900,V12
2010-05-11,5218,5218,4915,4915,40700,V12
2010-05-12,4728,4785,4670,4670,82300,V12
2010-05-13,4468,4540,4367,4540,75000,V12
2010-05-14,4713,4713,4699,4713,14600,V12
2010-05-17,4973,5016,4468,4569,25800,V12
2010-05-18,5030,5030,4612,4627,14600,V12
2010-05-19,4756,5002,4411,4468,45000,V12
2010-05-20,4310,4728,4281,4684,85700,V12
2010-05-21,4194,4194,4194,4194,21200,V12
2010-05-24,4454,4483,4180,4483,24300,V12
2010-05-25,4367,4497,4151,4151,23800,V12
2010-05-26,4713,4713,4425,4699,43900,V12
2010-05-27,4670,4684,4396,4684,13200,V12
2010-05-28,4857,4915,4627,4915,47800,V12
2010-05-31,5189,5189,4612,4612,6900,V12
2010-06-01,4396,4540,4324,4540,29700,V12
2010-06-02,4396,4612,4382,4612,26000,V12
2010-06-03,4728,4728,4569,4569,17800,V12
2010-06-04,4684,4684,4468,4497,19300,V12
2010-06-07,4252,4252,4223,4238,35900,V12
2010-06-08,4036,4468,4036,4468,59800,V12
