time,open,high,low,close,volume,ticker
2021-07-20,14817,14817,11603,14817,1459100,VAB
2021-07-21,16306,16306,16306,16306,1939511,VAB
2021-07-22,18737,18737,17874,17874,1263986,VAB
2021-07-23,17874,17874,15758,15758,527796,VAB
2021-07-26,13406,13406,13406,13406,245773,VAB
2021-07-27,11446,14895,11446,13719,966851,VAB
2021-07-28,13719,13876,13171,13249,236390,VAB
2021-07-29,14111,14111,12935,13327,452195,VAB
2021-07-30,13092,13327,12935,13171,808337,VAB
2021-08-02,13327,13641,13171,13406,618538,VAB
2021-08-03,13719,13719,13171,13406,742368,VAB
2021-08-04,13406,13484,13171,13327,672201,VAB
2021-08-05,13327,13327,13092,13249,664827,VAB
2021-08-06,13249,13249,13014,13171,629251,VAB
2021-08-09,13249,13327,13092,13327,745940,VAB
2021-08-10,13327,13641,13327,13563,888034,VAB
2021-08-11,13563,14895,13484,14817,1582844,VAB
2021-08-12,14895,15679,14739,14895,869461,VAB
2021-08-13,15131,15131,14111,14660,801100,VAB
2021-08-16,14425,14739,13955,14660,732294,VAB
2021-08-17,14660,14974,14425,14503,612725,VAB
2021-08-18,14582,14582,14347,14503,331249,VAB
2021-08-19,14347,14503,14268,14503,433995,VAB
2021-08-20,14503,14503,13719,13955,838278,VAB
2021-08-23,13719,13876,13327,13406,548789,VAB
2021-08-24,13327,13563,13249,13484,309327,VAB
2021-08-25,13484,13563,13249,13563,205520,VAB
2021-08-26,13563,13641,13406,13484,232982,VAB
2021-08-27,13406,13484,13171,13484,314622,VAB
2021-08-30,13563,13719,13327,13484,495754,VAB
2021-08-31,13484,13876,13484,13641,371866,VAB
2021-09-01,13563,13641,13484,13563,196665,VAB
2021-09-06,13484,13641,13327,13484,490693,VAB
2021-09-07,13484,13798,13484,13719,578289,VAB
2021-09-08,13719,13876,13484,13563,228120,VAB
2021-09-09,13641,13641,13406,13563,279541,VAB
2021-09-10,13563,13641,13406,13563,187597,VAB
2021-09-13,13484,13563,13406,13406,294482,VAB
2021-09-14,13406,13484,13249,13327,371022,VAB
2021-09-15,13327,13406,13171,13406,306876,VAB
2021-09-16,13327,13406,13249,13327,222310,VAB
2021-09-17,13327,14268,13327,13876,1138927,VAB
2021-09-20,13955,14268,13798,13876,1033846,VAB
2021-09-21,13955,13955,13406,13719,414064,VAB
2021-09-22,13876,13876,13563,13798,576007,VAB
2021-09-23,13798,14425,13563,13955,1284825,VAB
2021-09-24,14033,14347,13955,14111,1925957,VAB
2021-09-27,14190,14268,13719,13798,692195,VAB
2021-09-28,13719,13719,13327,13641,323849,VAB
