time,open,high,low,close,volume,ticker
2006-12-29,21453,21453,21453,21453,300,VBH
2007-01-02,23598,23598,23598,23598,700,VBH
2007-01-03,25958,25958,25958,25958,1500,VBH
2007-01-04,28532,28532,28532,28532,4000,VBH
2007-01-05,31321,31321,31321,31321,2200,VBH
2007-01-08,34396,34396,34396,34396,400,VBH
2007-01-09,34396,35755,34396,35683,1900,VBH
2007-01-10,35326,35326,35326,35326,0,VBH
2007-01-11,35326,35326,35326,35326,0,VBH
2007-01-12,35326,35326,35326,35326,0,VBH
2007-01-15,32179,32894,31822,31822,2700,VBH
2007-01-16,28818,28818,28818,28818,2400,VBH
2007-01-17,25958,25958,25958,25958,1200,VBH
2007-01-18,25958,25958,25958,25958,0,VBH
2007-01-19,23383,26601,23383,26601,7800,VBH
2007-01-22,28103,28103,26458,26458,15400,VBH
2007-01-23,30034,30034,27889,29319,3900,VBH
2007-01-24,31750,31750,30177,31464,10600,VBH
2007-01-25,33609,34468,33609,34468,400,VBH
2007-01-26,30678,30678,30678,30678,700,VBH
2007-01-29,30678,30678,30678,30678,0,VBH
2007-01-30,27674,27674,27674,27674,600,VBH
2007-01-31,29104,29104,24957,24957,4300,VBH
2007-02-01,25028,25028,25028,25028,500,VBH
2007-02-02,25743,27531,22883,25743,2600,VBH
2007-02-05,25743,25743,25743,25743,2500,VBH
2007-02-06,27173,27173,25028,25028,3800,VBH
2007-02-07,27531,27531,23956,23956,1400,VBH
2007-02-08,23741,23956,23741,23741,2700,VBH
2007-02-09,22883,23741,22883,23741,900,VBH
2007-02-12,23383,23383,23383,23383,0,VBH
2007-02-13,23956,23956,23956,23956,700,VBH
2007-02-14,23956,23956,23956,23956,0,VBH
2007-02-15,24671,25028,24671,25028,500,VBH
2007-02-26,25028,25028,25028,25028,900,VBH
2007-02-27,27531,27531,25743,25743,4200,VBH
2007-02-28,27173,27531,27173,27388,5300,VBH
2007-03-01,27173,27889,26816,27889,3500,VBH
2007-03-02,28246,28246,27889,27889,4200,VBH
2007-03-05,27889,27889,27889,27889,300,VBH
2007-03-06,27889,28246,27889,27889,4100,VBH
2007-03-07,28604,30678,27889,30034,11900,VBH
2007-03-08,31464,31893,31464,31893,12300,VBH
2007-03-09,34968,34968,34968,34968,11800,VBH
2007-03-12,38401,38401,38401,38401,14800,VBH
2007-03-13,42191,42191,34682,41976,16500,VBH
2007-03-14,38615,40760,37900,37900,6800,VBH
2007-03-15,35969,35969,35969,35969,100,VBH
2007-03-16,32394,34325,32394,34325,4100,VBH
2007-03-19,35755,36541,34325,36541,1900,VBH
2007-03-20,33252,37185,33252,34682,2200,VBH
2007-03-21,34682,35755,34682,35755,700,VBH
2007-03-22,35254,35254,33967,33967,1000,VBH
2007-03-23,34253,34325,34253,34325,500,VBH
2007-03-26,34325,34325,34325,34325,0,VBH
2007-03-27,30892,30892,30892,30892,1000,VBH
2007-03-28,27832,27832,27832,27832,500,VBH
2007-03-29,27686,30601,27686,30601,3900,VBH
2007-03-30,31694,31766,30601,30601,3200,VBH
2007-04-02,31329,34244,31329,33005,4900,VBH
2007-04-03,32786,32786,32786,32786,1000,VBH
2007-04-04,32786,32786,32786,32786,0,VBH
2007-04-05,32786,32786,32786,32786,0,VBH
2007-04-06,29872,29872,29872,29872,100,VBH
2007-04-09,29872,29872,29872,29872,1800,VBH
2007-04-10,29872,29872,29143,29143,1200,VBH
2007-04-11,28415,28415,28415,28415,200,VBH
2007-04-12,27686,31256,25573,26229,2100,VBH
2007-04-13,28051,28415,28051,28415,2000,VBH
2007-04-16,27686,27686,27686,27686,400,VBH
2007-04-17,27686,27686,27686,27686,0,VBH
2007-04-18,29143,29143,29143,29143,100,VBH
2007-04-19,26958,26958,26958,26958,100,VBH
2007-04-20,24262,24262,24262,24262,1000,VBH
2007-04-23,22586,22586,21857,21857,800,VBH
2007-04-24,21129,21129,20400,21129,2200,VBH
2007-04-25,20910,20910,20910,20910,0,VBH
2007-05-02,22950,22950,22950,22950,100,VBH
2007-05-03,22950,22950,22950,22950,700,VBH
2007-05-04,23315,23315,23315,23315,1000,VBH
2007-05-07,23679,23679,23679,23679,400,VBH
2007-05-08,21857,21857,21857,21857,500,VBH
2007-05-09,22076,22076,20400,20400,500,VBH
2007-05-10,22222,22586,22222,22295,1800,VBH
2007-05-11,21857,21857,21857,21857,100,VBH
2007-05-14,21857,21857,21857,21857,0,VBH
2007-05-15,23315,24043,21857,21857,400,VBH
2007-05-16,22950,22950,22950,22950,100,VBH
2007-05-17,22950,22950,22950,22950,0,VBH
2007-05-18,22950,22950,22950,22950,0,VBH
2007-05-21,24408,24408,24408,24408,200,VBH
2007-05-22,24408,24408,24408,24408,0,VBH
2007-05-23,23315,23315,23315,23315,400,VBH
2007-05-24,23315,23315,23315,23315,0,VBH
2007-05-25,23315,23315,22586,22586,1500,VBH
2007-05-28,23096,23096,23096,23096,0,VBH
2007-05-29,23096,23096,23096,23096,0,VBH
2007-05-30,21129,21857,21129,21857,300,VBH
2007-05-31,21639,21639,21639,21639,0,VBH
2007-06-01,21857,21857,21857,21857,100,VBH
2007-06-04,21785,21785,20400,20400,500,VBH
2007-06-05,21420,21420,21420,21420,300,VBH
2007-06-06,21420,21493,21420,21493,700,VBH
2007-06-07,21493,21857,21493,21857,1100,VBH
2007-06-08,21857,21857,21857,21857,100,VBH
2007-06-11,21857,21857,21857,21857,0,VBH
2007-06-12,21857,21857,21857,21857,300,VBH
2007-06-13,21857,21857,21857,21857,0,VBH
2007-06-14,21857,21857,21857,21857,0,VBH
2007-06-15,21857,21857,21857,21857,0,VBH
2007-06-18,21857,21857,21857,21857,0,VBH
2007-06-19,21857,21857,21857,21857,0,VBH
2007-06-20,21857,21857,21857,21857,0,VBH
2007-06-21,21857,21857,21857,21857,0,VBH
2007-06-22,21857,21857,21857,21857,0,VBH
2007-06-25,21857,21857,21857,21857,0,VBH
2007-06-26,21857,21857,21857,21857,0,VBH
2007-06-27,21129,21129,21129,21129,200,VBH
2007-06-28,21129,21129,21129,21129,0,VBH
2007-06-29,21129,21129,21129,21129,0,VBH
2007-07-02,19307,19307,19307,19307,200,VBH
2007-07-03,19307,19672,19307,19307,500,VBH
2007-07-04,18943,19307,18943,19307,600,VBH
2007-07-05,19672,19672,19672,19672,1100,VBH
2007-07-06,19672,20765,19672,20765,1100,VBH
2007-07-09,20255,20255,20255,20255,0,VBH
2007-07-10,19307,19307,19307,19307,100,VBH
2007-07-11,19307,19307,19307,19307,0,VBH
2007-07-12,19307,19307,19307,19307,0,VBH
2007-07-13,19672,19672,19672,19672,300,VBH
2007-07-16,21493,21493,21493,21493,100,VBH
2007-07-17,19672,19672,19599,19672,900,VBH
2007-07-18,19817,19817,19817,19817,100,VBH
2007-07-19,19817,19817,19817,19817,0,VBH
2007-07-20,19817,19817,19817,19817,0,VBH
2007-07-23,19817,19817,19817,19817,0,VBH
2007-07-24,19672,19672,19672,19672,500,VBH
2007-07-25,19672,19672,19672,19672,100,VBH
2007-07-26,19672,19672,19672,19672,0,VBH
2007-07-27,19672,19672,19672,19672,0,VBH
2007-07-30,19307,19307,19307,19307,700,VBH
2007-07-31,19307,19307,19307,19307,0,VBH
2007-08-01,18579,18579,18579,18579,300,VBH
2007-08-02,18579,18579,18579,18579,0,VBH
2007-08-03,20400,20400,20400,20400,100,VBH
2007-08-06,20400,20400,20400,20400,0,VBH
2007-08-07,20400,20400,20400,20400,0,VBH
2007-08-08,20400,20400,20400,20400,0,VBH
2007-08-09,20400,20400,20400,20400,0,VBH
2007-08-10,18943,18943,18943,18943,100,VBH
2007-08-13,18943,18943,18943,18943,200,VBH
2007-08-14,18943,18943,18943,18943,100,VBH
2007-08-15,18943,18943,18943,18943,300,VBH
2007-08-16,18943,18943,18943,18943,0,VBH
2007-08-17,19307,19307,18943,18943,400,VBH
2007-08-20,18579,18943,18579,18943,800,VBH
2007-08-21,18797,18797,18797,18797,0,VBH
2007-08-22,18797,18797,18797,18797,0,VBH
2007-08-23,18579,18579,18579,18579,100,VBH
2007-08-24,18360,18506,18360,18506,400,VBH
2007-08-27,18579,18579,18579,18579,600,VBH
2007-08-28,18579,18579,18579,18579,0,VBH
2007-08-29,18214,18214,18214,18214,100,VBH
2007-08-30,18579,18579,18579,18579,100,VBH
2007-08-31,18579,18579,18579,18579,100,VBH
2007-09-04,18943,18943,18943,18943,100,VBH
2007-09-05,18943,18943,18943,18943,0,VBH
2007-09-06,18579,18579,18579,18579,100,VBH
2007-09-07,18579,18579,18579,18579,100,VBH
2007-09-10,18214,18214,18214,18214,100,VBH
2007-09-11,17486,17850,17486,17850,600,VBH
2007-09-12,17122,17486,17122,17486,700,VBH
2007-09-13,18214,18579,18214,18579,400,VBH
2007-09-14,18943,18943,18943,18943,100,VBH
2007-09-17,19162,19162,19162,19162,100,VBH
