time,open,high,low,close,volume,ticker
2009-05-14,5836,5836,4458,5471,92100,VC1
2009-05-15,5431,5431,5431,5431,16400,VC1
2009-05-18,5795,5795,5795,5795,9200,VC1
2009-05-19,6201,6201,6201,6201,8800,VC1
2009-05-20,6626,6626,6626,6626,97400,VC1
2009-05-21,7072,7072,7072,7072,56300,VC1
2009-05-22,7558,7558,7092,7498,140400,VC1
2009-05-25,7700,7700,6809,7518,47800,VC1
2009-05-26,7498,7498,7092,7194,56500,VC1
2009-05-27,7092,7194,6687,6707,33000,VC1
2009-05-28,6768,6768,6383,6383,24500,VC1
2009-05-29,6525,6525,5998,6484,43800,VC1
2009-06-01,6484,6565,6484,6565,13700,VC1
2009-06-02,6991,6991,6545,6971,34900,VC1
2009-06-03,6829,6829,6484,6586,26400,VC1
2009-06-04,7052,7092,6667,6788,55500,VC1
2009-06-05,7133,7173,7052,7072,90700,VC1
2009-06-08,7295,7599,7113,7599,152500,VC1
2009-06-09,7802,7802,7092,7214,38600,VC1
2009-06-10,6788,6809,6768,6768,11000,VC1
2009-06-11,6890,7214,6890,7153,21800,VC1
2009-06-12,7194,7275,6687,6687,45400,VC1
2009-06-15,6849,6849,6383,6383,46000,VC1
2009-06-16,6667,6667,5958,5958,20200,VC1
2009-06-17,5654,6079,5654,5978,37100,VC1
2009-06-18,6079,6241,6079,6221,20100,VC1
2009-06-19,6282,6282,5795,5876,13300,VC1
2009-06-22,5714,5714,5654,5654,18500,VC1
2009-06-23,5289,5289,5269,5269,15600,VC1
2009-06-24,4904,5572,4904,5471,39000,VC1
2009-06-25,5269,5269,5066,5066,17300,VC1
2009-06-26,5431,5431,5269,5269,9000,VC1
2009-06-29,4965,5086,4965,5066,4000,VC1
2009-06-30,5167,5167,4701,4701,10400,VC1
2009-07-01,4661,5228,4640,4640,25800,VC1
2009-07-02,4762,4762,4681,4721,9300,VC1
2009-07-03,4924,4924,4661,4863,2600,VC1
2009-07-06,5025,5127,5025,5127,5200,VC1
2009-07-07,5106,5106,4985,5066,9000,VC1
2009-07-08,5127,5127,4762,4762,2400,VC1
2009-07-09,5066,5147,4965,5147,15100,VC1
2009-07-10,4883,4944,4782,4863,10900,VC1
2009-07-13,5066,5066,4559,4559,6200,VC1
2009-07-14,4478,4640,4478,4559,20300,VC1
2009-07-15,4539,4823,4519,4823,17700,VC1
2009-07-16,5127,5127,4965,5127,19200,VC1
2009-07-17,5431,5431,5086,5106,13300,VC1
2009-07-20,4863,4863,4802,4802,2800,VC1
2009-07-21,4620,4863,4579,4843,7300,VC1
2009-07-22,4661,4661,4519,4519,16100,VC1
2009-07-23,4559,4863,4559,4863,6300,VC1
2009-07-24,5086,5086,5086,5086,21900,VC1
2009-07-27,5431,5431,5309,5431,40400,VC1
2009-07-28,5390,5471,5046,5046,16600,VC1
2009-07-29,5005,5329,5005,5025,5700,VC1
2009-07-30,4823,5167,4823,4883,1800,VC1
2009-07-31,5147,5167,4985,5066,16800,VC1
2009-08-03,5066,5086,5025,5025,10100,VC1
2009-08-04,5086,5086,5066,5066,1300,VC1
2009-08-05,5025,5066,4985,5066,7600,VC1
2009-08-06,4965,5106,4965,5005,12200,VC1
2009-08-07,5046,5046,4965,4985,13700,VC1
2009-08-10,5025,5350,5025,5309,30700,VC1
2009-08-11,5167,5370,5147,5309,17700,VC1
2009-08-12,5106,5269,5086,5167,32200,VC1
2009-08-13,5187,5269,4904,4904,31600,VC1
2009-08-14,4924,5167,4924,5086,12500,VC1
2009-08-17,5066,5066,5025,5066,10600,VC1
2009-08-18,4863,5046,4823,5005,13100,VC1
2009-08-19,5066,5167,5025,5127,22000,VC1
2009-08-20,5187,5269,5106,5269,38000,VC1
2009-08-21,5248,5512,5248,5471,81300,VC1
2009-08-24,5674,5674,5370,5471,18700,VC1
2009-08-25,5471,5471,5269,5269,11100,VC1
2009-08-26,5269,5451,5269,5390,17700,VC1
2009-08-27,5410,5593,5390,5552,55200,VC1
2009-08-28,5572,5876,5572,5876,84500,VC1
2009-08-31,6039,6160,5917,6079,83300,VC1
2009-09-01,6079,6079,5958,5978,18700,VC1
2009-09-03,5775,5876,5674,5674,31200,VC1
2009-09-04,5674,5755,5471,5512,38100,VC1
2009-09-07,5390,5491,5269,5491,32000,VC1
2009-09-08,5654,5694,5512,5694,35800,VC1
2009-09-09,6039,6039,5876,6018,122200,VC1
2009-09-10,6282,6282,5978,6059,35100,VC1
2009-09-11,5978,6039,5958,5978,26700,VC1
2009-09-14,6221,6383,5998,6383,82400,VC1
2009-09-15,6788,6788,6748,6788,239700,VC1
2009-09-16,7255,7255,7092,7234,216800,VC1
2009-09-17,7092,7194,6788,6971,90600,VC1
2009-09-18,7275,7477,6788,7477,242900,VC1
2009-09-21,7822,7822,7822,7822,40500,VC1
2009-09-22,8369,8369,8369,8369,35000,VC1
2009-09-23,8937,8937,8511,8876,580700,VC1
2009-09-24,8916,9545,8511,9545,475700,VC1
2009-09-25,9524,10071,9524,10071,188700,VC1
2009-09-28,10538,10700,10335,10700,183900,VC1
2009-09-29,11429,11429,11145,11429,332500,VC1
2009-09-30,11956,12057,10578,10781,169100,VC1
2009-10-01,11125,11531,10416,10416,87900,VC1
2009-10-02,9990,10132,9990,10132,238300,VC1
2009-10-05,10031,10092,9322,9545,273300,VC1
2009-10-06,10031,10112,9727,10112,151300,VC1
2009-10-07,10679,10679,10679,10679,113500,VC1
2009-10-08,11409,11409,11409,11409,119800,VC1
2009-10-09,12199,12199,12199,12199,93200,VC1
2009-10-12,13050,13050,13050,13050,20500,VC1
2009-10-13,13962,13962,13577,13962,748500,VC1
2009-10-14,14611,14793,12969,14530,609700,VC1
2009-10-15,14976,14976,14976,14976,82100,VC1
2009-10-16,16009,16009,14814,15503,363300,VC1
2009-10-19,15401,15807,14631,14996,321400,VC1
2009-10-20,14996,15199,14084,14672,221700,VC1
2009-10-21,14185,14793,13983,14287,157000,VC1
2009-10-22,14570,14570,13780,14023,191100,VC1
2009-10-23,14246,15239,14043,14347,460900,VC1
2009-10-26,14388,14793,13800,13922,117200,VC1
2009-10-27,13435,13435,13111,13111,216900,VC1
2009-10-28,12564,13780,12240,13152,195100,VC1
2009-10-29,12361,12361,12260,12260,126900,VC1
2009-10-30,13131,13131,12463,13131,170500,VC1
2009-11-02,12118,12260,12078,12078,45300,VC1
2009-11-03,11287,12118,11287,11287,47100,VC1
2009-11-04,10679,11449,10578,10841,189000,VC1
2009-11-05,11145,11429,10700,11429,117900,VC1
2009-11-06,11936,11936,11186,11551,257700,VC1
2009-11-09,11004,11551,10983,10983,41500,VC1
2009-11-10,11409,11429,10294,10538,62000,VC1
2009-11-11,10679,11328,10274,10740,82400,VC1
2009-11-12,11145,11145,10659,10679,76800,VC1
2009-11-13,10538,11713,10436,11348,104400,VC1
2009-11-16,11409,11855,11308,11551,107500,VC1
2009-11-17,11551,11551,11227,11227,75400,VC1
2009-11-18,10943,11753,10781,11551,90300,VC1
2009-11-19,11449,12017,11247,12017,420900,VC1
2009-11-20,12179,12544,11733,12544,264300,VC1
2009-11-23,12544,12686,11753,11855,105600,VC1
2009-11-24,11753,12017,11368,11429,145500,VC1
2009-11-25,11348,11348,10801,10801,156300,VC1
2009-11-26,10234,10862,10112,10112,59900,VC1
2009-11-27,9423,10720,9423,9727,196400,VC1
2009-11-30,10112,10335,9646,10132,34000,VC1
2009-12-01,9342,10679,9342,10335,68200,VC1
2009-12-02,10538,10538,9707,9707,82200,VC1
2009-12-03,9362,9848,9362,9484,65300,VC1
2009-12-04,9828,9828,9524,9626,108900,VC1
2009-12-07,9727,9869,9686,9848,21300,VC1
2009-12-08,9727,9767,9504,9524,23500,VC1
2009-12-09,9220,9220,8937,8937,64300,VC1
2009-12-10,8754,9119,8329,8329,55200,VC1
2009-12-11,8106,8106,7964,7964,59000,VC1
2009-12-14,7599,8308,7599,8308,108300,VC1
2009-12-15,8308,8389,7700,7700,86000,VC1
2009-12-16,7883,7883,7396,7396,77700,VC1
2009-12-17,6991,7113,6951,7113,93400,VC1
2009-12-18,6525,7437,6525,7437,98800,VC1
2009-12-21,7822,7903,7822,7903,39500,VC1
2009-12-22,8450,8450,7903,7903,107900,VC1
