time,open,high,low,close,volume,ticker
2011-03-03,1039,1039,1039,1039,2000,VCA
2011-03-04,1039,1039,1039,1039,0,VCA
2011-03-07,1039,1039,1039,1039,0,VCA
2011-03-08,1039,1039,1039,1039,400,VCA
2011-03-09,1039,1039,1039,1039,2000,VCA
2011-03-10,1039,1039,1039,1039,0,VCA
2011-03-11,1039,1039,1039,1039,200,VCA
2011-03-14,1039,1039,1039,1039,0,VCA
2011-03-15,1039,1039,1039,1039,0,VCA
2011-03-16,1039,1039,1039,1039,0,VCA
2011-03-17,1039,1039,1039,1039,0,VCA
2011-03-18,1039,1039,1039,1039,0,VCA
2011-03-21,1039,1039,1039,1039,0,VCA
2011-03-22,1039,1039,1039,1039,0,VCA
2011-03-23,1039,1039,1039,1039,0,VCA
2011-03-24,1039,1039,1039,1039,0,VCA
2011-03-25,1039,1039,1039,1039,0,VCA
2011-03-28,1039,1039,1039,1039,0,VCA
2011-03-29,987,1039,987,1039,1100,VCA
2011-03-30,1039,1039,1039,1039,0,VCA
2011-03-31,1039,1039,1039,1039,0,VCA
2011-04-01,1039,1039,1039,1039,0,VCA
2011-04-04,1142,1142,1142,1142,2800,VCA
2011-04-05,1142,1142,1142,1142,0,VCA
2011-04-06,1142,1142,1142,1142,0,VCA
2011-04-07,1142,1142,1142,1142,0,VCA
2011-04-08,1142,1142,1142,1142,0,VCA
2011-04-13,1142,1142,1142,1142,0,VCA
2011-04-14,1142,1142,1142,1142,0,VCA
2011-04-15,1142,1142,1142,1142,0,VCA
2011-04-18,1039,1039,1039,1039,100,VCA
2011-04-19,1039,1039,1039,1039,0,VCA
2011-04-20,1039,1039,1039,1039,0,VCA
2011-04-21,1039,1039,1039,1039,0,VCA
2011-04-22,1039,1039,1039,1039,0,VCA
2011-04-25,1039,1039,1039,1039,0,VCA
2011-04-26,1039,1039,1039,1039,0,VCA
2011-04-27,1039,1039,1039,1039,0,VCA
2011-04-28,1039,1039,1039,1039,0,VCA
2011-04-29,1039,1039,1039,1039,0,VCA
2011-05-04,1039,1039,1039,1039,0,VCA
2011-05-05,1039,1039,1039,1039,0,VCA
2011-05-06,1039,1039,1039,1039,0,VCA
2011-05-09,935,935,935,935,100,VCA
2011-05-10,935,935,935,935,0,VCA
2011-05-11,935,935,935,935,0,VCA
2011-05-12,935,935,935,935,0,VCA
2011-05-13,935,935,935,935,0,VCA
2011-05-16,935,935,935,935,0,VCA
2011-05-17,852,852,852,852,100,VCA
2011-05-18,800,800,800,800,0,VCA
2011-05-19,872,872,872,872,800,VCA
2011-05-20,935,935,935,935,100,VCA
2011-05-23,935,935,935,935,0,VCA
2011-05-24,935,935,935,935,0,VCA
2011-05-25,903,903,903,903,200,VCA
2011-05-26,935,935,935,935,200,VCA
2011-05-27,935,935,935,935,0,VCA
2011-05-30,935,935,935,935,0,VCA
2011-05-31,935,935,935,935,0,VCA
2011-06-01,935,935,935,935,0,VCA
2011-06-02,935,935,935,935,0,VCA
2011-06-03,935,935,935,935,0,VCA
2011-06-06,935,935,935,935,0,VCA
2011-06-07,935,935,935,935,0,VCA
2011-06-08,935,935,935,935,0,VCA
2011-06-09,935,935,935,935,0,VCA
2011-06-10,935,935,935,935,0,VCA
2011-06-13,935,935,935,935,0,VCA
2011-06-14,935,935,935,935,0,VCA
2011-06-15,935,935,935,935,0,VCA
2011-06-16,935,935,935,935,0,VCA
2011-06-17,935,935,935,935,0,VCA
2011-06-20,935,935,935,935,0,VCA
2011-06-21,935,935,935,935,0,VCA
2011-06-22,935,935,935,935,0,VCA
2011-06-23,935,935,935,935,0,VCA
2011-06-24,935,935,935,935,0,VCA
2011-06-27,935,935,935,935,0,VCA
2011-06-28,935,935,935,935,0,VCA
2011-06-29,935,935,935,935,0,VCA
2011-06-30,841,841,841,841,100,VCA
2011-07-01,841,841,841,841,0,VCA
2011-07-04,841,841,841,841,0,VCA
2011-07-05,841,841,841,841,0,VCA
2011-07-06,841,841,841,841,0,VCA
2011-07-07,841,841,841,841,0,VCA
2011-07-08,841,841,841,841,0,VCA
2011-07-11,841,841,841,841,0,VCA
2011-07-12,841,841,841,841,0,VCA
2011-07-13,841,841,841,841,0,VCA
2011-07-14,841,841,841,841,0,VCA
2011-07-15,841,841,841,841,0,VCA
2011-07-18,841,841,841,841,0,VCA
2011-07-19,841,841,841,841,0,VCA
2011-07-20,924,924,924,924,400,VCA
2011-07-21,1007,1007,1007,1007,300,VCA
2011-07-22,1101,1101,1101,1101,200,VCA
2011-07-25,1101,1101,1101,1101,0,VCA
2011-07-26,1101,1101,1101,1101,0,VCA
2011-07-27,1101,1101,1101,1101,0,VCA
2011-07-28,1142,1142,1142,1142,1200,VCA
2011-07-29,1142,1142,1142,1142,0,VCA
2011-08-01,1142,1142,1142,1142,200,VCA
2011-08-02,1142,1142,1142,1142,1000,VCA
2011-08-03,1142,1142,1142,1142,0,VCA
2011-08-04,1142,1142,1142,1142,0,VCA
2011-08-05,1142,1142,1142,1142,5600,VCA
2011-08-08,1142,1142,1142,1142,0,VCA
2011-08-09,1142,1142,1142,1142,0,VCA
2011-08-10,1142,1142,1142,1142,0,VCA
2011-08-11,1142,1142,1142,1142,0,VCA
2011-08-12,1142,1142,1142,1142,0,VCA
2011-08-15,1194,1194,1194,1194,500,VCA
2011-08-16,1194,1194,1194,1194,1000,VCA
2011-08-17,1194,1194,1194,1194,0,VCA
2011-08-18,1194,1194,1194,1194,0,VCA
2011-08-19,1194,1194,1194,1194,0,VCA
2011-08-22,1194,1194,1194,1194,0,VCA
2011-08-23,1142,1142,1142,1142,1000,VCA
2011-08-24,1142,1142,1142,1142,0,VCA
2011-08-25,1142,1142,1142,1142,0,VCA
2011-08-26,1142,1142,1142,1142,0,VCA
2011-08-29,1142,1142,1142,1142,1000,VCA
2011-08-30,1142,1142,1142,1142,0,VCA
2011-08-31,1142,1142,1142,1142,0,VCA
2011-09-01,1142,1142,1142,1142,0,VCA
2011-09-05,1142,1142,1142,1142,0,VCA
2011-09-06,1142,1142,1142,1142,0,VCA
2011-09-07,1142,1142,1142,1142,0,VCA
2011-09-08,1174,1174,1174,1174,300,VCA
2011-09-09,1174,1174,1174,1174,0,VCA
2011-09-12,1184,1194,1184,1194,1100,VCA
2011-09-13,1194,1194,1194,1194,600,VCA
2011-09-14,1142,1142,1142,1142,1600,VCA
2011-09-15,1142,1142,1142,1142,0,VCA
2011-09-16,1142,1142,1142,1142,500,VCA
2011-09-19,1142,1142,1142,1142,0,VCA
2011-09-20,1142,1142,1142,1142,0,VCA
2011-09-21,1142,1142,1142,1142,0,VCA
2011-09-22,1142,1142,1142,1142,0,VCA
2011-09-23,1142,1142,1142,1142,0,VCA
2011-09-26,1142,1142,1142,1142,0,VCA
2011-09-27,1142,1142,1142,1142,0,VCA
2011-09-28,1142,1142,1142,1142,0,VCA
2011-09-29,1142,1142,1142,1142,200,VCA
2011-09-30,1142,1142,1142,1142,0,VCA
2011-10-03,1142,1142,1142,1142,200,VCA
2011-10-04,1142,1142,1142,1142,0,VCA
2011-10-05,1142,1142,1142,1142,1400,VCA
2011-10-06,1142,1142,1142,1142,0,VCA
2011-10-07,1142,1142,1142,1142,0,VCA
2011-10-10,1142,1142,1142,1142,0,VCA
2011-10-11,1142,1142,1142,1142,0,VCA
2011-10-12,1142,1142,1142,1142,0,VCA
2011-10-13,1142,1142,1142,1142,0,VCA
2011-10-14,1142,1142,1142,1142,0,VCA
2011-10-17,1142,1142,1142,1142,0,VCA
2011-10-18,1142,1142,1142,1142,0,VCA
2011-10-19,1142,1142,1142,1142,0,VCA
2011-10-20,1142,1142,1142,1142,0,VCA
2011-10-21,1142,1142,1142,1142,0,VCA
2011-10-24,1142,1142,1142,1142,0,VCA
2011-10-25,1142,1142,1142,1142,0,VCA
2011-10-26,1142,1142,1142,1142,0,VCA
2011-10-27,1142,1142,1142,1142,0,VCA
2011-10-28,1142,1142,1142,1142,0,VCA
2011-10-31,1142,1142,1142,1142,0,VCA
2011-11-01,1142,1142,1142,1142,0,VCA
2011-11-02,1142,1142,1142,1142,0,VCA
2011-11-03,1142,1142,1142,1142,0,VCA
2011-11-04,1142,1142,1142,1142,0,VCA
2011-11-07,1142,1142,1142,1142,0,VCA
2011-11-08,1142,1142,1142,1142,0,VCA
2011-11-09,1142,1142,1142,1142,0,VCA
2011-11-10,1142,1142,1142,1142,0,VCA
2011-11-11,1142,1142,1142,1142,0,VCA
2011-11-14,1142,1142,1142,1142,0,VCA
2011-11-15,1142,1142,1142,1142,0,VCA
2011-11-16,1142,1142,1142,1142,0,VCA
2011-11-17,1142,1142,1142,1142,0,VCA
2011-11-18,1142,1142,1142,1142,0,VCA
2011-11-21,1142,1142,1142,1142,0,VCA
2011-11-22,1142,1142,1142,1142,0,VCA
2011-11-23,1142,1142,1142,1142,0,VCA
2011-11-24,1142,1142,1142,1142,0,VCA
2011-11-25,1142,1142,1142,1142,0,VCA
2011-11-28,1142,1142,1142,1142,0,VCA
2011-11-29,1142,1142,1142,1142,0,VCA
2011-11-30,1142,1142,1142,1142,0,VCA
2011-12-01,1142,1142,1142,1142,0,VCA
2011-12-02,1142,1142,1142,1142,0,VCA
2011-12-05,1142,1142,1142,1142,0,VCA
2011-12-06,1142,1142,1142,1142,0,VCA
2011-12-07,1142,1142,1142,1142,0,VCA
2011-12-08,1142,1142,1142,1142,0,VCA
2011-12-09,1142,1142,1142,1142,0,VCA
2011-12-12,1142,1142,1142,1142,0,VCA
2011-12-13,1142,1142,1142,1142,0,VCA
2011-12-14,1142,1142,1142,1142,0,VCA
2011-12-15,1142,1142,1142,1142,0,VCA
2011-12-16,1142,1142,1142,1142,0,VCA
2011-12-19,1142,1142,1142,1142,0,VCA
2011-12-20,1142,1142,1142,1142,17400,VCA
2011-12-21,1142,1142,1142,1142,0,VCA
2011-12-22,1142,1142,1142,1142,0,VCA
2011-12-23,1142,1142,1142,1142,0,VCA
2011-12-26,1142,1142,1142,1142,0,VCA
2011-12-27,1142,1142,1142,1142,0,VCA
2011-12-28,1142,1142,1142,1142,0,VCA
2011-12-29,1142,1142,1142,1142,0,VCA
2011-12-30,1142,1142,1142,1142,0,VCA
2012-01-03,1142,1142,1142,1142,0,VCA
2012-01-04,1142,1142,1142,1142,0,VCA
2012-01-05,1142,1142,1142,1142,0,VCA
2012-01-06,1142,1142,1142,1142,0,VCA
2012-01-09,1142,1142,1142,1142,0,VCA
2012-01-10,1142,1142,1142,1142,0,VCA
2012-01-11,1142,1142,1142,1142,0,VCA
2012-01-12,1142,1142,1142,1142,0,VCA
2012-01-13,1142,1142,1142,1142,0,VCA
2012-01-16,1142,1142,1142,1142,0,VCA
2012-01-17,1142,1142,1142,1142,0,VCA
2012-01-18,1142,1142,1142,1142,0,VCA
2012-01-19,1142,1142,1142,1142,0,VCA
