time,open,high,low,close,volume,ticker
2009-06-30,16267,16267,16267,16267,294070,VCB
2009-07-01,17081,17081,16132,16403,6248390,VCB
2009-07-02,16132,16267,15589,15725,1515670,VCB
2009-07-03,15318,15454,15183,15183,899720,VCB
2009-07-06,15183,15861,15183,15861,1571740,VCB
2009-07-07,15589,15725,15318,15318,1115420,VCB
2009-07-08,14912,15183,14776,15047,763030,VCB
2009-07-09,14776,15183,14505,14640,982430,VCB
2009-07-10,14369,14505,13963,13963,1973450,VCB
2009-07-13,13556,13963,13285,13285,812260,VCB
2009-07-14,13339,13339,12878,12959,847840,VCB
2009-07-15,13014,13502,13014,13285,807250,VCB
2009-07-16,13556,13556,13393,13502,638990,VCB
2009-07-17,13420,13475,13231,13312,311000,VCB
2009-07-20,12770,12824,12661,12688,869220,VCB
2009-07-21,12797,12932,12688,12715,483900,VCB
2009-07-22,12878,12905,12797,12878,411780,VCB
2009-07-23,12743,13502,12743,13502,929090,VCB
2009-07-24,14098,14098,14098,14098,624760,VCB
2009-07-27,14776,14776,14234,14776,1535460,VCB
2009-07-28,14776,15183,14234,14369,1192800,VCB
2009-07-29,14505,14640,13963,14234,924570,VCB
2009-07-30,14098,14234,13692,13963,606660,VCB
2009-07-31,14505,14640,14369,14640,1125450,VCB
2009-08-03,15318,15318,14912,15318,2707260,VCB
2009-08-04,15996,15996,15454,15861,1869220,VCB
2009-08-05,15725,15996,15454,15725,1654270,VCB
2009-08-06,15725,15996,15318,15454,1656340,VCB
2009-08-07,15318,15589,15318,15318,1017420,VCB
2009-08-10,15454,15725,15318,15589,689300,VCB
2009-08-11,15454,15725,15318,15454,1207840,VCB
2009-08-12,15589,15589,15318,15318,996150,VCB
2009-08-13,15589,15589,15318,15454,896790,VCB
2009-08-14,15318,15589,15318,15454,709790,VCB
2009-08-17,15318,15454,15183,15183,622790,VCB
2009-08-18,14912,15183,14912,15047,927850,VCB
2009-08-19,15318,15318,14912,15047,719390,VCB
2009-08-20,15183,15183,14912,15047,578130,VCB
2009-08-21,15183,15725,15183,15183,1444220,VCB
2009-08-24,15454,15454,15183,15318,634370,VCB
2009-08-25,15318,15318,15047,15047,577480,VCB
2009-08-26,15183,15318,15047,15183,516120,VCB
2009-08-27,15183,15183,15047,15183,538870,VCB
2009-08-28,15318,15318,15183,15318,639140,VCB
2009-08-31,15589,15589,15318,15589,874340,VCB
2009-09-01,15318,15589,15318,15454,847070,VCB
2009-09-03,15183,15318,14776,15183,1078760,VCB
2009-09-04,15183,15183,14776,14776,1015060,VCB
2009-09-07,14369,14776,14098,14369,954060,VCB
2009-09-08,14640,14640,14369,14505,687300,VCB
2009-09-09,14505,14640,14369,14505,682660,VCB
2009-09-10,14369,14505,14369,14369,412250,VCB
2009-09-11,14369,14505,14234,14369,416470,VCB
2009-09-14,14369,14505,14234,14369,588470,VCB
2009-09-15,14505,14505,14234,14234,727020,VCB
2009-09-16,14912,14912,14912,14912,879780,VCB
2009-09-17,15589,15589,14640,15183,2195540,VCB
2009-09-18,14912,15318,14640,15318,850000,VCB
2009-09-21,15318,15318,14912,14912,761980,VCB
2009-09-22,14640,14912,14640,14640,658880,VCB
2009-09-23,14912,15183,14776,14776,757950,VCB
2009-09-24,14640,14776,14505,14505,541670,VCB
2009-09-25,14505,15183,14369,15047,933140,VCB
2009-09-28,15183,15183,14776,14776,561480,VCB
2009-09-29,14912,14912,14505,14640,750310,VCB
2009-09-30,14640,14776,14369,14505,712000,VCB
2009-10-01,14505,14505,14234,14234,875180,VCB
2009-10-02,13963,13963,13556,13827,1416100,VCB
2009-10-05,13963,13963,13556,13827,606370,VCB
2009-10-06,13963,13963,13692,13692,460990,VCB
2009-10-07,13827,13963,13692,13827,596580,VCB
2009-10-08,13963,13963,13692,13827,448600,VCB
2009-10-09,13963,14098,13827,13963,794860,VCB
2009-10-12,14098,14369,13963,14369,759120,VCB
2009-10-13,14369,14369,13827,14098,513610,VCB
2009-10-14,13963,14776,13963,14776,1359110,VCB
2009-10-15,15454,15454,15183,15454,3378300,VCB
2009-10-16,15589,15996,15318,15318,2239820,VCB
2009-10-19,14912,15318,14776,14912,1015080,VCB
2009-10-20,15047,15183,14776,14776,909450,VCB
2009-10-21,14776,14776,14640,14640,1038410,VCB
2009-10-22,14776,14912,14640,14912,865390,VCB
2009-10-23,15047,15589,14912,15318,3946240,VCB
2009-10-26,15454,15589,14776,14912,1130810,VCB
2009-10-27,14369,14776,14234,14369,1594080,VCB
2009-10-28,14640,14640,14234,14369,623620,VCB
2009-10-29,13963,14234,13692,13827,3489050,VCB
2009-10-30,14234,14369,13827,14098,1302800,VCB
2009-11-02,14098,14369,13692,14369,2142950,VCB
2009-11-03,14234,14369,13692,13963,1390550,VCB
2009-11-04,14098,14234,13827,13963,788110,VCB
2009-11-05,13963,14505,13963,14369,997290,VCB
2009-11-06,14369,14505,13963,13963,905910,VCB
2009-11-09,13827,14098,13692,13692,1193030,VCB
2009-11-10,13827,13963,13448,13448,813300,VCB
2009-11-11,13556,13692,13420,13556,657810,VCB
2009-11-12,13692,13827,13502,13692,948480,VCB
2009-11-13,13556,13556,13448,13502,703390,VCB
2009-11-16,13420,13556,13420,13448,770120,VCB
2009-11-17,13393,13420,13258,13258,601790,VCB
2009-11-18,13149,13231,13041,13095,536330,VCB
2009-11-19,13122,13366,13014,13258,533380,VCB
2009-11-20,13258,13258,13068,13068,585050,VCB
2009-11-23,13014,13041,12797,12797,771170,VCB
2009-11-24,12743,12770,12553,12553,585000,VCB
2009-11-25,12471,12471,11929,11929,1319610,VCB
2009-11-26,11522,11631,11333,11333,1859930,VCB
2009-11-27,10790,11875,10790,11875,947680,VCB
2009-11-30,12146,12444,12065,12444,715590,VCB
2009-12-01,13014,13041,12878,13041,943350,VCB
2009-12-02,12743,13258,12390,12743,796240,VCB
2009-12-03,12471,12878,12390,12743,485690,VCB
2009-12-04,12797,12797,12471,12526,267060,VCB
2009-12-07,12363,12553,12363,12471,275960,VCB
2009-12-08,12471,12471,12065,12119,537020,VCB
2009-12-09,11685,11767,11577,11658,865220,VCB
2009-12-10,11821,11821,11577,11577,533130,VCB
2009-12-11,11387,11522,11034,11062,749300,VCB
2009-12-14,11604,11604,11333,11604,459670,VCB
2009-12-15,11604,12173,11522,12173,976610,VCB
2009-12-16,12173,12200,11658,11658,889550,VCB
2009-12-17,11604,12200,11387,11929,462480,VCB
2009-12-18,12200,12526,12200,12526,722180,VCB
2009-12-21,12526,13014,12526,12905,561830,VCB
2009-12-22,12471,12797,12471,12634,387540,VCB
2009-12-23,12634,12634,12471,12526,296080,VCB
2009-12-24,12363,12471,12336,12471,396050,VCB
2009-12-25,13014,13014,12743,12743,685690,VCB
2009-12-28,12499,12580,12444,12471,264190,VCB
2009-12-29,12200,12607,12200,12255,342830,VCB
2009-12-30,12200,12444,12146,12363,208290,VCB
2009-12-31,12471,12743,12363,12743,398120,VCB
2010-01-04,12743,13366,12743,13366,598640,VCB
2010-01-05,13827,13963,13366,13502,935140,VCB
