time,open,high,low,close,volume,ticker
2008-09-05,16483,17660,14128,15541,2352200,VCG
2008-09-08,15109,16640,14560,14560,560200,VCG
2008-09-09,13657,14717,13657,13932,496000,VCG
2008-09-10,14128,14128,13304,13304,511900,VCG
2008-09-11,12519,12519,12519,12519,70200,VCG
2008-09-12,11655,11655,11655,11655,35600,VCG
2008-09-15,10871,11773,10871,10871,992100,VCG
2008-09-16,10203,10203,10203,10203,280600,VCG
2008-09-17,9497,9497,9497,9497,54100,VCG
2008-09-18,8869,8869,8869,8869,42800,VCG
2008-09-19,8280,9458,8280,9458,1351700,VCG
2008-09-22,9850,9850,9850,9850,276600,VCG
2008-09-23,10517,10517,9183,10282,1588100,VCG
2008-09-24,10243,10596,9850,10557,604400,VCG
2008-09-25,10321,10988,10125,10988,1023100,VCG
2008-09-26,11459,11459,10753,11184,714700,VCG
2008-09-29,11381,11381,10478,10557,837700,VCG
2008-09-30,9968,9968,9968,9968,20100,VCG
2008-10-01,10282,10517,9379,9929,529700,VCG
2008-10-02,9575,10321,9575,10046,454400,VCG
2008-10-03,9615,9968,9615,9889,322700,VCG
2008-10-06,10007,10007,9183,9340,462900,VCG
2008-10-07,8751,8830,8751,8791,1008200,VCG
2008-10-08,8163,8751,8163,8673,562200,VCG
2008-10-09,8437,9104,8241,8987,521500,VCG
2008-10-10,8634,8791,8241,8241,682900,VCG
2008-10-13,8320,8869,8241,8791,289000,VCG
2008-10-14,9144,9144,9144,9144,2700,VCG
2008-10-15,9693,9772,9144,9772,788900,VCG
2008-10-16,9418,9418,8869,9104,372100,VCG
2008-10-17,9654,9693,9104,9340,258100,VCG
2008-10-20,9222,9418,8947,8987,171000,VCG
2008-10-21,9693,9693,8987,9261,228100,VCG
2008-10-22,9104,9104,8712,8947,128300,VCG
2008-10-23,8280,8634,8280,8280,306000,VCG
2008-10-24,7809,8320,7770,7849,327600,VCG
2008-10-27,7574,7574,7378,7378,150900,VCG
2008-10-28,6867,7652,6867,7456,387300,VCG
2008-10-29,7495,7495,7142,7495,306900,VCG
2008-10-30,7849,7927,7181,7849,236000,VCG
2008-10-31,7927,8123,7692,7888,227800,VCG
2008-11-03,7849,8045,7338,7770,314900,VCG
2008-11-04,7770,8045,7456,8045,589900,VCG
2008-11-05,8477,8477,8320,8477,983500,VCG
2008-11-06,8241,8634,7888,8084,755600,VCG
2008-11-07,7613,7849,7613,7613,494100,VCG
2008-11-10,8006,8006,7574,7692,256100,VCG
2008-11-11,7731,7731,7221,7221,537100,VCG
2008-11-12,7064,7181,6789,7024,509100,VCG
2008-11-13,6946,7064,6710,7024,319500,VCG
2008-11-14,7064,7338,7064,7260,392500,VCG
2008-11-17,7064,7221,7064,7103,263300,VCG
2008-11-18,6985,6985,6671,6750,305400,VCG
2008-11-19,6750,6789,6475,6554,387600,VCG
2008-11-20,6514,6514,6161,6200,379800,VCG
2008-11-21,6200,6200,5769,5769,477700,VCG
2008-11-24,6004,6043,5729,5729,468200,VCG
2008-11-25,6083,6083,5533,5651,477700,VCG
2008-11-26,5651,5651,5258,5258,702300,VCG
2008-11-27,5376,5415,5023,5141,529100,VCG
2008-11-28,5258,5494,5141,5494,631500,VCG
2008-12-01,5808,5808,5494,5808,715100,VCG
2008-12-02,6161,6161,5729,6161,424800,VCG
2008-12-03,6475,6475,6122,6475,1303800,VCG
2008-12-04,6828,6828,6083,6357,642500,VCG
2008-12-05,6004,6200,5886,5886,388700,VCG
2008-12-08,5651,5651,5533,5572,596000,VCG
2008-12-09,5690,5847,5415,5729,302500,VCG
2008-12-10,5651,5651,5415,5533,241500,VCG
2008-12-11,5298,5847,5298,5847,366500,VCG
2008-12-12,5847,6004,5808,6004,489700,VCG
2008-12-15,6357,6357,6161,6357,924000,VCG
2008-12-16,6789,6789,5926,6004,520800,VCG
2008-12-17,6279,6357,6004,6279,571100,VCG
2008-12-18,6240,6671,6200,6593,715400,VCG
2008-12-19,6043,6043,6043,6043,327700,VCG
2008-12-22,5651,6279,5651,6161,880500,VCG
2008-12-23,6122,6122,5886,6004,407400,VCG
2008-12-24,5886,6200,5690,6122,375900,VCG
2008-12-25,6004,6240,6004,6161,232600,VCG
2008-12-26,5965,6200,5886,6161,245800,VCG
2008-12-29,6083,6240,6083,6200,249200,VCG
2008-12-30,6161,6279,6161,6200,331100,VCG
2008-12-31,6279,6279,6122,6161,219500,VCG
2009-01-02,6200,6200,6004,6083,301300,VCG
2009-01-05,6083,6122,6043,6083,215600,VCG
2009-01-06,6122,6122,6043,6122,250100,VCG
2009-01-07,6122,6318,6122,6200,448800,VCG
2009-01-08,6200,6200,6043,6083,265800,VCG
2009-01-09,6122,6200,6083,6200,341700,VCG
2009-01-12,6279,6514,6240,6357,599900,VCG
2009-01-13,6397,6397,6240,6240,163600,VCG
2009-01-14,6240,6318,6200,6279,175900,VCG
2009-01-15,6200,6200,6122,6122,198900,VCG
2009-01-16,6161,6200,6083,6122,182100,VCG
2009-01-19,6161,6200,6083,6122,123100,VCG
2009-01-20,6122,6122,6004,6004,86700,VCG
2009-01-21,5926,6043,5926,6004,87600,VCG
2009-01-22,6004,6083,6004,6083,98800,VCG
2009-01-23,6083,6083,5965,6083,104900,VCG
2009-02-02,6122,6122,5808,5886,131000,VCG
2009-02-03,5808,5847,5651,5729,206900,VCG
2009-02-04,5690,5886,5690,5769,261900,VCG
2009-02-05,5847,5847,5533,5572,175900,VCG
2009-02-06,5651,5808,5494,5690,101000,VCG
2009-02-09,5886,5886,5690,5847,56800,VCG
2009-02-10,5769,5769,5612,5612,100600,VCG
2009-02-11,5612,5612,5494,5533,151900,VCG
2009-02-12,5494,5572,5415,5415,169600,VCG
2009-02-13,5494,5494,5298,5415,181400,VCG
2009-02-16,5376,5455,5298,5376,77600,VCG
2009-02-17,5337,5415,5258,5337,179900,VCG
2009-02-18,5258,5258,5023,5101,196300,VCG
2009-02-19,5258,5298,5101,5180,180600,VCG
2009-02-20,5219,5219,5062,5101,276500,VCG
2009-02-23,5101,5180,4827,4944,159600,VCG
2009-02-24,4866,4984,4670,4866,401300,VCG
2009-02-25,4984,5062,4984,5062,85400,VCG
2009-02-26,5415,5415,5101,5415,1211100,VCG
2009-02-27,5729,5769,5612,5769,644700,VCG
2009-03-02,5886,6004,5572,5847,701700,VCG
2009-03-03,5808,5808,5572,5729,703500,VCG
2009-03-04,5651,5729,5533,5651,341300,VCG
2009-03-05,5612,5965,5572,5847,373200,VCG
2009-03-06,5847,5847,5651,5769,310600,VCG
2009-03-09,5808,5808,5729,5769,160300,VCG
2009-03-10,5769,5886,5729,5808,250800,VCG
2009-03-11,5886,6200,5886,5965,394700,VCG
2009-03-12,6043,6043,5690,5769,242200,VCG
2009-03-13,5926,5965,5808,5847,183800,VCG
2009-03-16,5886,5965,5808,5886,166000,VCG
2009-03-17,5886,6083,5886,6004,456900,VCG
