time,open,high,low,close,volume,ticker
2010-05-10,25482,25482,22934,24208,765000,VCR
2010-05-11,25482,25546,25164,25546,246200,VCR
2010-05-12,27011,27011,23699,23890,367500,VCR
2010-05-13,23953,24527,22297,22615,169000,VCR
2010-05-14,21660,23189,21532,21724,181500,VCR
2010-05-17,22170,22233,20641,20641,172600,VCR
2010-05-18,19812,19812,19685,19685,52800,VCR
2010-05-19,18347,19112,18347,18347,382900,VCR
2010-05-20,18475,19430,17200,19112,253100,VCR
2010-05-21,17965,18475,17200,17710,107100,VCR
2010-05-24,17837,18793,17837,18793,236500,VCR
2010-05-25,18857,19112,18475,18475,186600,VCR
2010-05-26,18793,18984,18220,18793,162900,VCR
2010-05-27,18156,18857,18156,18666,113600,VCR
2010-05-28,19048,19940,18920,19940,409300,VCR
2010-05-31,19876,21150,19876,21023,565600,VCR
2010-06-01,21596,21596,20003,20386,89000,VCR
2010-06-02,20386,20386,19303,19621,126700,VCR
2010-06-03,20386,20386,19303,19621,211400,VCR
2010-06-04,19812,20258,18666,18793,238000,VCR
2010-06-07,17774,18283,17774,17901,216900,VCR
2010-06-08,17837,19112,17837,18793,87200,VCR
2010-06-09,18920,18984,18411,18411,197800,VCR
2010-06-10,18984,18984,18220,18220,88000,VCR
2010-06-11,18538,18793,18156,18283,190300,VCR
2010-06-14,18729,18729,18347,18729,96800,VCR
2010-06-15,18793,19239,18729,18857,151400,VCR
2010-06-16,19112,20322,19112,20322,703500,VCR
2010-06-17,21341,21341,20704,21341,1075300,VCR
2010-06-18,22552,22679,21405,21660,545900,VCR
2010-06-21,22424,22424,20704,21532,198300,VCR
2010-06-22,20832,21341,20322,20322,433500,VCR
2010-06-23,20067,20386,19303,20067,221700,VCR
2010-06-24,20449,21341,20131,21341,644900,VCR
2010-06-25,20322,21278,20322,20386,246400,VCR
2010-06-28,20768,20768,20067,20131,146200,VCR
2010-06-29,20067,20386,20067,20131,121400,VCR
2010-06-30,19749,19749,18984,19303,232300,VCR
2010-07-01,19175,19303,18475,19175,152000,VCR
2010-07-02,19749,19749,19175,19494,167300,VCR
2010-07-05,19749,19749,19366,19430,65700,VCR
2010-07-06,19749,19749,18729,18793,159900,VCR
2010-07-07,19112,19303,18475,18602,109600,VCR
2010-07-08,19112,19685,18793,19430,241700,VCR
2010-07-09,20449,20449,19749,20449,594100,VCR
2010-07-12,21724,21724,20386,20641,174900,VCR
2010-07-13,21023,21341,20704,20895,212300,VCR
2010-07-14,21214,21214,20704,20959,399800,VCR
2010-07-15,20704,20704,19749,20258,238100,VCR
2010-07-16,20195,20704,20067,20449,255300,VCR
2010-07-19,20386,20386,20067,20131,132600,VCR
2010-07-20,20641,20641,19749,19749,222400,VCR
2010-07-21,20322,20322,19112,19303,168900,VCR
2010-07-22,19430,19749,19112,19494,172800,VCR
2010-07-23,19494,20577,19112,20067,302800,VCR
2010-07-26,19876,20322,19876,19940,109700,VCR
2010-07-27,20067,21023,20067,20258,237500,VCR
2010-07-28,20449,20449,19112,19621,245300,VCR
2010-07-29,19303,20003,19303,19558,109200,VCR
