time,open,high,low,close,volume,ticker
2010-07-15,26826,26826,26826,26826,100,VCT
2010-07-16,26826,26826,26826,26826,0,VCT
2010-07-19,24143,24143,24143,24143,2000,VCT
2010-07-20,21729,21729,21729,21729,1500,VCT
2010-07-21,19784,19784,19583,19583,2100,VCT
2010-07-22,17638,17638,17638,17638,1100,VCT
2010-07-23,15894,16163,15894,15894,15000,VCT
2010-07-26,14754,14754,14419,14419,5400,VCT
2010-07-27,14419,14419,14352,14352,1400,VCT
2010-07-28,13413,13413,13413,13413,1200,VCT
2010-07-29,13413,13413,12407,12407,4300,VCT
2010-07-30,13413,13413,12206,12407,1300,VCT
2010-08-02,14352,14352,12206,12474,3900,VCT
2010-08-03,12608,12608,12608,12608,100,VCT
2010-08-04,12608,12608,12608,12608,0,VCT
2010-08-05,12742,12742,12742,12742,1000,VCT
2010-08-06,12742,12742,12742,12742,1000,VCT
2010-08-09,12742,12742,12742,12742,0,VCT
2010-08-10,13413,13413,13413,13413,100,VCT
2010-08-11,12071,12071,12071,12071,300,VCT
2010-08-12,10864,10864,10864,10864,1000,VCT
2010-08-13,10864,11937,11937,11937,100,VCT
2010-08-16,12809,12809,12809,12809,100,VCT
2010-08-17,11535,11535,11535,11535,300,VCT
2010-08-18,11535,11535,11535,11535,0,VCT
2010-08-19,11401,11401,11401,11401,500,VCT
2010-08-20,10730,10730,10730,10730,700,VCT
2010-08-23,10730,10730,10730,10730,0,VCT
2010-08-24,9724,9724,9724,9724,400,VCT
2010-08-25,9053,9053,9053,9053,500,VCT
2010-08-26,9791,9791,9791,9791,100,VCT
2010-08-27,10730,10730,10730,10730,100,VCT
2010-08-30,11736,11736,11736,11736,100,VCT
2010-08-31,11736,11736,11736,11736,0,VCT
2010-09-01,10596,10596,10596,10596,1200,VCT
2010-09-06,10596,10596,10596,10596,0,VCT
2010-09-07,10596,10596,10596,10596,0,VCT
2010-09-08,10596,10596,10596,10596,0,VCT
2010-09-09,10596,10596,10596,10596,400,VCT
2010-09-10,10596,10596,10596,10596,0,VCT
2010-09-13,10596,10596,10596,10596,0,VCT
2010-09-14,10596,10596,10596,10596,0,VCT
2010-09-15,10596,10596,10596,10596,0,VCT
2010-09-16,10596,10596,10596,10596,0,VCT
2010-09-17,10059,10059,9724,9724,200,VCT
2010-09-20,9925,9925,9925,9925,0,VCT
2010-09-21,10059,10059,10059,10059,500,VCT
2010-09-22,10059,10059,10059,10059,0,VCT
2010-09-23,10059,10059,10059,10059,0,VCT
2010-09-24,10059,10059,10059,10059,0,VCT
2010-09-27,9121,9121,9121,9121,400,VCT
2010-09-28,8718,8718,8718,8718,100,VCT
2010-09-29,9590,9590,9590,9590,100,VCT
2010-09-30,9590,9590,9590,9590,0,VCT
2010-10-01,9590,9590,9590,9590,0,VCT
2010-10-04,10529,10529,10529,10529,100,VCT
2010-10-05,11535,11535,11535,11535,100,VCT
2010-10-06,11535,11535,11535,11535,0,VCT
2010-10-07,10395,10395,10395,10395,1000,VCT
2010-10-08,11401,11401,11401,11401,100,VCT
2010-10-11,11401,11401,11401,11401,0,VCT
2010-10-12,11401,11401,11401,11401,0,VCT
2010-10-13,11401,11401,11401,11401,0,VCT
2010-10-14,11401,11401,11401,11401,0,VCT
2010-10-15,11401,11401,11401,11401,0,VCT
2010-10-18,11401,11401,11401,11401,0,VCT
2010-10-19,11401,11401,11401,11401,0,VCT
2010-10-20,11401,11401,11401,11401,0,VCT
2010-10-21,11401,11401,11401,11401,0,VCT
2010-10-22,11401,11401,11401,11401,0,VCT
2010-10-25,10261,10261,10261,10261,200,VCT
2010-10-26,11267,11267,11267,11267,100,VCT
2010-10-27,10194,10194,10194,10194,400,VCT
2010-10-28,10194,10194,10194,10194,0,VCT
2010-10-29,9389,9389,9389,9389,400,VCT
2010-11-01,9389,9389,9389,9389,0,VCT
2010-11-02,9389,9389,9389,9389,0,VCT
2010-11-03,9389,9389,9389,9389,0,VCT
2010-11-04,9389,9389,9389,9389,0,VCT
2010-11-05,9389,9389,9389,9389,0,VCT
2010-11-08,9389,9389,9389,9389,0,VCT
2010-11-09,9389,9389,9389,9389,0,VCT
2010-11-10,10328,10328,10328,10328,100,VCT
2010-11-11,9322,9322,9322,9322,500,VCT
2010-11-12,9322,9322,9322,9322,0,VCT
2010-11-15,9322,9322,9322,9322,0,VCT
2010-11-16,9322,9322,9322,9322,0,VCT
2010-11-17,8450,8450,8450,8450,800,VCT
2010-11-18,8450,8450,8450,8450,0,VCT
2010-11-19,9255,9255,9255,9255,800,VCT
2010-11-22,9255,9255,9255,9255,700,VCT
2010-11-23,9255,9255,9255,9255,0,VCT
2010-11-24,9255,9255,9255,9255,0,VCT
2010-11-25,9255,9255,9255,9255,0,VCT
2010-11-26,9992,9992,9992,9992,800,VCT
2010-11-29,9992,9992,9992,9992,0,VCT
2010-11-30,9992,9992,9992,9992,0,VCT
2010-12-01,9053,9053,9053,9053,1000,VCT
2010-12-02,8182,8182,8182,8182,200,VCT
2010-12-03,8182,8182,8182,8182,0,VCT
2010-12-06,7377,7377,7377,7377,500,VCT
2010-12-07,7377,7377,7377,7377,0,VCT
2010-12-08,6907,6907,6907,6907,500,VCT
2010-12-09,6907,6907,6907,6907,0,VCT
2010-12-10,6907,6907,6907,6907,0,VCT
2010-12-13,6907,6907,6907,6907,0,VCT
2010-12-14,6907,6907,6907,6907,0,VCT
2010-12-15,6907,6907,6907,6907,0,VCT
2010-12-16,6907,6907,6907,6907,0,VCT
2010-12-17,6907,7578,7578,7578,100,VCT
2010-12-20,7041,7041,7041,7041,700,VCT
2010-12-21,7712,7712,7712,7712,100,VCT
2010-12-22,6974,6974,6974,6974,100,VCT
2010-12-23,6974,6974,6974,6974,0,VCT
2010-12-24,7645,7645,7645,7645,300,VCT
2010-12-27,7645,7645,7645,7645,0,VCT
2010-12-28,6907,6907,6907,6907,200,VCT
2010-12-29,6907,6907,6907,6907,0,VCT
2010-12-30,6907,6907,6907,6907,0,VCT
2010-12-31,6907,6907,6907,6907,0,VCT
2011-01-04,6907,6907,6907,6907,0,VCT
2011-01-05,6907,6907,6907,6907,0,VCT
