time,open,high,low,close,volume,ticker
2017-08-15,24973,24973,24973,24973,410,VDP
2017-08-16,26702,26702,26702,26702,10000,VDP
2017-08-17,28541,28541,28541,28541,20000,VDP
2017-08-18,30527,30527,28541,30527,573420,VDP
2017-08-21,32146,32661,31631,32661,169100,VDP
2017-08-22,33911,34941,33837,34941,265440,VDP
2017-08-23,34941,34941,32513,32513,131540,VDP
2017-08-24,30270,30821,30270,30270,185460,VDP
2017-08-25,29056,30012,28247,28688,193110,VDP
2017-08-28,28468,30674,28468,30674,77270,VDP
2017-08-29,30674,30674,29571,29865,60010,VDP
2017-08-30,29571,29792,28688,29424,42610,VDP
2017-08-31,29424,29424,28468,28835,82220,VDP
2017-09-01,28762,29056,28468,28762,33480,VDP
2017-09-05,28762,28762,28026,28173,49780,VDP
2017-09-06,28026,28688,28026,28026,31980,VDP
2017-09-07,27953,28320,27879,27953,33610,VDP
2017-09-08,27805,27879,27070,27070,48740,VDP
2017-09-11,26776,27070,25194,25194,83100,VDP
2017-09-12,26114,26923,25304,26923,44660,VDP
2017-09-13,26702,26849,25746,26481,5590,VDP
2017-09-14,26592,26592,26187,26334,23530,VDP
2017-09-15,25856,26481,25856,26334,28320,VDP
2017-09-18,26334,26334,25930,26187,18580,VDP
2017-09-19,26702,27585,26481,26776,22830,VDP
2017-09-20,26776,28615,26776,28063,122380,VDP
2017-09-21,28578,28578,27953,28210,33790,VDP
2017-09-22,28210,28320,26481,28100,25060,VDP
2017-09-25,27953,27953,27474,27474,20260,VDP
2017-09-26,27438,27953,27327,27658,13760,VDP
2017-09-27,27658,27658,27327,27327,12120,VDP
2017-09-28,27327,27548,26592,26592,65130,VDP
2017-09-29,26592,27217,26481,26849,25780,VDP
2017-10-02,26849,27107,26849,27070,13360,VDP
2017-10-03,27070,27217,26481,27180,12610,VDP
2017-10-04,27107,27217,26629,27217,10140,VDP
2017-10-05,26923,27217,26849,27143,9570,VDP
2017-10-06,26739,27143,26629,27070,8110,VDP
2017-10-09,27372,28280,27372,27750,11910,VDP
2017-10-10,27826,27826,27221,27221,17590,VDP
2017-10-11,27145,27524,27070,27070,19170,VDP
2017-10-12,26919,27448,26692,26692,14060,VDP
2017-10-13,26465,26692,26200,26578,25160,VDP
2017-10-16,26465,26843,26314,26465,23970,VDP
2017-10-17,26389,27221,26389,27070,17490,VDP
2017-10-18,27070,27599,27070,27448,27580,VDP
2017-10-19,27448,27826,27372,27788,34790,VDP
2017-10-20,27826,29716,27826,29490,178170,VDP
2017-10-23,29111,31380,29111,31153,134040,VDP
2017-10-24,31153,31153,30246,30624,142630,VDP
2017-10-25,30624,32741,30094,31758,240190,VDP
2017-10-26,31758,32741,30775,30851,77710,VDP
2017-10-27,30851,31380,30624,31153,25970,VDP
2017-10-30,31153,31153,30246,30473,82790,VDP
2017-10-31,30473,31002,29868,30813,50170,VDP
2017-11-01,30813,30813,30246,30624,25220,VDP
2017-11-02,30284,30926,29868,29868,42900,VDP
2017-11-03,29641,29716,28771,29716,24270,VDP
2017-11-06,29490,30170,29490,29792,14540,VDP
2017-11-07,30170,30397,29338,29641,65060,VDP
2017-11-08,29641,30019,29338,29868,26140,VDP
2017-11-09,29868,30019,29187,29641,32810,VDP
2017-11-10,29490,29490,28733,29414,35380,VDP
2017-11-13,28885,29414,28733,28733,36980,VDP
2017-11-14,28582,29565,28507,28922,31030,VDP
2017-11-15,28847,29376,28733,29338,17690,VDP
2017-11-16,29414,29414,28771,29111,31630,VDP
2017-11-17,29111,29490,28885,29490,7750,VDP
2017-11-20,29490,29792,28885,29490,6210,VDP
2017-11-21,28885,29490,28809,29414,16900,VDP
2017-11-22,29414,29414,28733,29263,51090,VDP
2017-11-23,29074,29414,28809,29414,46860,VDP
2017-11-24,28885,29868,28885,29490,28140,VDP
2017-11-27,28809,29490,28809,29301,13270,VDP
2017-11-28,29074,29414,28922,29301,17240,VDP
2017-11-29,29263,29263,28809,29187,49270,VDP
2017-11-30,28733,29111,28733,28771,27780,VDP
2017-12-01,28771,29111,28658,29111,34520,VDP
2017-12-04,28733,29111,28582,28809,37260,VDP
2017-12-05,28733,28809,28355,28733,42190,VDP
2017-12-06,28393,29490,28280,29490,22570,VDP
2017-12-07,29111,29225,28582,28733,6690,VDP
2017-12-08,28582,28733,28582,28733,16520,VDP
2017-12-11,28620,28733,28582,28582,17350,VDP
2017-12-12,28507,28507,28091,28355,31620,VDP
2017-12-13,28960,28960,28128,28128,8240,VDP
2017-12-14,28128,28582,27977,28507,38780,VDP
2017-12-15,28507,28733,28128,28696,14710,VDP
2017-12-18,28696,28696,27977,28015,41920,VDP
2017-12-19,27977,28318,27826,28318,10640,VDP
2017-12-20,27788,28582,27750,28582,21350,VDP
2017-12-21,27977,28507,27977,28053,24670,VDP
2017-12-22,27939,28355,27939,28280,15240,VDP
