time,open,high,low,close,volume,ticker
2010-07-26,18490,24962,18490,24962,44000,VE2
2010-07-27,23899,23899,22235,22235,18400,VE2
2010-07-28,21264,21264,21264,21264,2600,VE2
2010-07-29,19785,19877,19785,19877,116600,VE2
2010-07-30,19877,19877,18721,19184,28800,VE2
2010-08-02,18952,18952,18028,18028,30800,VE2
2010-08-03,17103,18213,17103,17103,35800,VE2
2010-08-04,16179,17057,16179,16410,34100,VE2
2010-08-05,15717,17335,15717,16872,19000,VE2
2010-08-06,16179,17103,15717,15717,34000,VE2
2010-08-09,15717,15717,14931,14931,11300,VE2
2010-08-10,14792,14792,14237,14237,8800,VE2
2010-08-11,13359,13868,13359,13405,32700,VE2
2010-08-12,12481,12481,12434,12434,8500,VE2
2010-08-13,11602,12481,11602,12481,49000,VE2
2010-08-16,12388,12619,12388,12619,14200,VE2
2010-08-17,12018,13128,12018,13035,15700,VE2
2010-08-18,13451,13451,12296,13174,9400,VE2
2010-08-19,13775,13775,12481,12481,11100,VE2
2010-08-20,13544,13544,11880,11880,15700,VE2
2010-08-23,12897,12897,11279,11279,10200,VE2
2010-08-24,11371,11371,10585,10632,5000,VE2
2010-08-25,9938,9984,9938,9938,9700,VE2
2010-08-26,10401,10401,9245,9245,6600,VE2
2010-08-27,10216,10216,8921,8921,14400,VE2
2010-08-30,9522,9522,9245,9522,16100,VE2
2010-08-31,10123,10169,9476,9846,19300,VE2
2010-09-01,10585,10632,10493,10632,31600,VE2
2010-09-06,10863,11325,10632,11325,32900,VE2
2010-09-07,11880,11880,10539,10539,27200,VE2
2010-09-08,10632,10632,10401,10447,19900,VE2
2010-09-09,10585,11140,10493,10632,21600,VE2
2010-09-10,11417,11417,10031,10216,43700,VE2
2010-09-13,10909,10909,9661,9938,5000,VE2
2010-09-14,10354,10354,9938,9938,4300,VE2
2010-09-15,10493,10493,9892,9892,15900,VE2
2010-09-16,10169,10169,9707,9707,2300,VE2
2010-09-17,10169,10493,10169,10447,14500,VE2
2010-09-20,10909,11001,10308,10308,14300,VE2
2010-09-21,10863,10863,10632,10632,4000,VE2
2010-09-22,10539,10539,10169,10262,12400,VE2
2010-09-23,10401,10401,9661,9707,10100,VE2
2010-09-24,9938,10077,9938,10077,1200,VE2
2010-09-27,10031,10031,9568,9568,3200,VE2
2010-09-28,9476,9522,9476,9476,1400,VE2
2010-09-29,9476,9476,9152,9152,11000,VE2
2010-09-30,9615,9615,9615,9615,1300,VE2
2010-10-01,9245,9245,9152,9152,2600,VE2
2010-10-04,8783,9106,8598,8598,10600,VE2
2010-10-05,8598,8829,8320,8320,1300,VE2
2010-10-06,8783,8921,8320,8320,3600,VE2
2010-10-07,8459,8551,8043,8043,4400,VE2
2010-10-08,8182,8182,7627,7812,15600,VE2
2010-10-11,7534,7534,7396,7442,14900,VE2
2010-10-12,7165,7627,6980,7396,4900,VE2
2010-10-13,7350,7534,7257,7534,9500,VE2
2010-10-14,7950,7997,7812,7812,2400,VE2
2010-10-15,7488,7627,7396,7396,11300,VE2
2010-10-18,7858,7858,7766,7766,1100,VE2
2010-10-19,7812,7812,7257,7581,5300,VE2
2010-10-20,7534,7534,6795,6795,7700,VE2
2010-10-21,7396,7396,7211,7211,2100,VE2
2010-10-22,6934,7165,6934,6934,3000,VE2
2010-10-25,7257,7257,7118,7165,2300,VE2
2010-10-26,7396,7627,7396,7627,17600,VE2
2010-10-27,7950,8043,7858,7858,3500,VE2
2010-10-28,7488,7488,7396,7396,1000,VE2
2010-10-29,7812,7812,6980,6980,7100,VE2
2010-11-01,7534,7534,7072,7072,10600,VE2
2010-11-02,6980,7396,6749,7118,39500,VE2
2010-11-03,6471,6887,6471,6887,2400,VE2
2010-11-04,7072,7072,7072,7072,6800,VE2
2010-11-05,7072,7165,6610,7165,7000,VE2
2010-11-08,7303,7303,6702,6749,6100,VE2
2010-11-09,6702,6841,6656,6656,6300,VE2
2010-11-10,6980,6980,6194,6841,5300,VE2
2010-11-11,6471,6702,6240,6702,13700,VE2
2010-11-12,6148,6425,6148,6148,16000,VE2
2010-11-15,6333,6333,5870,5870,6600,VE2
2010-11-16,5778,5824,5778,5778,13400,VE2
2010-11-17,6009,6009,5454,5454,9000,VE2
2010-11-18,5963,6286,5963,6286,28500,VE2
2010-11-19,6148,6194,5824,5824,5800,VE2
2010-11-22,6148,6194,6055,6055,11400,VE2
2010-11-23,6286,6471,6286,6471,10700,VE2
2010-11-24,6240,6471,6240,6425,25600,VE2
2010-11-25,6471,6795,6333,6795,24900,VE2
2010-11-26,6934,7118,6934,6934,17400,VE2
2010-11-29,7026,7442,6934,7442,12600,VE2
2010-11-30,7581,7581,7396,7488,14500,VE2
2010-12-01,7812,7997,7118,7858,18800,VE2
2010-12-02,8274,8274,7581,7904,13700,VE2
2010-12-03,8228,8413,8228,8320,27200,VE2
2010-12-06,7858,8089,7812,7812,38800,VE2
2010-12-07,7858,7858,7396,7396,24300,VE2
2010-12-08,7303,7350,7257,7257,9400,VE2
2010-12-09,7350,7350,6934,7257,2400,VE2
2010-12-10,7350,7581,7350,7581,29000,VE2
2010-12-13,7997,7997,7997,7997,11000,VE2
2010-12-14,8274,8274,7442,7812,9400,VE2
2010-12-15,7581,7581,7581,7581,2500,VE2
2010-12-16,7072,7812,7072,7766,16300,VE2
2010-12-17,7211,7719,7211,7303,9700,VE2
2010-12-20,7581,7581,7026,7396,10600,VE2
2010-12-21,7026,7396,7026,7026,33600,VE2
2010-12-22,7581,7581,6795,6841,24000,VE2
2010-12-23,7303,7303,7303,7303,0,VE2
2010-12-24,6795,6795,6795,6795,13300,VE2
2010-12-27,7118,7118,7118,7118,1000,VE2
2010-12-28,7211,7211,6656,6702,38200,VE2
2010-12-29,6379,6471,6240,6240,11500,VE2
2010-12-30,6425,6425,6101,6379,300,VE2
2010-12-31,6009,6286,5963,6055,1400,VE2
2011-01-04,6101,6101,5732,5824,3000,VE2
2011-01-05,5870,5870,5870,5870,700,VE2
2011-01-06,6101,6194,6101,6101,4100,VE2
2011-01-07,6240,6286,5732,5732,2500,VE2
2011-01-10,5639,5639,5547,5547,4600,VE2
2011-01-11,5547,5917,5547,5732,5100,VE2
2011-01-12,5963,5963,5778,5778,1100,VE2
2011-01-13,6101,6101,5778,5917,4100,VE2
2011-01-14,6194,6194,6194,6194,100,VE2
2011-01-17,6379,6425,6194,6194,5300,VE2
2011-01-18,6009,6009,5917,5917,3100,VE2
2011-01-19,5963,5963,5963,5963,0,VE2
2011-01-20,6009,6009,5639,5639,600,VE2
2011-01-21,5547,5778,5547,5685,7300,VE2
2011-01-24,5639,5778,5639,5639,5300,VE2
2011-01-25,5778,5778,5593,5593,4000,VE2
2011-01-26,5963,5963,5963,5963,100,VE2
2011-01-27,5963,5963,5963,5963,200,VE2
2011-01-28,5963,5963,5778,5778,1100,VE2
2011-02-08,5870,5870,5870,5870,400,VE2
2011-02-09,5870,5870,5870,5870,1000,VE2
2011-02-10,5870,5870,5778,5778,9700,VE2
2011-02-11,5732,5824,5685,5824,1200,VE2
2011-02-14,5639,5639,5454,5454,5900,VE2
2011-02-15,5593,5593,5593,5593,0,VE2
2011-02-16,5593,5593,5593,5593,0,VE2
2011-02-17,5593,5593,5593,5593,0,VE2
2011-02-18,5547,5547,5547,5547,500,VE2
2011-02-21,5316,5316,5177,5177,5600,VE2
2011-02-22,4946,5084,4946,5084,1400,VE2
2011-02-23,5038,5038,5038,5038,0,VE2
2011-02-24,5038,5038,5038,5038,0,VE2
2011-02-25,5038,5038,5038,5038,0,VE2
2011-02-28,5316,5362,5084,5084,6100,VE2
2011-03-01,5316,5547,5316,5547,600,VE2
2011-03-02,5038,5316,4992,4992,4000,VE2
2011-03-03,5038,5038,4853,4853,4000,VE2
2011-03-04,4668,5269,4668,5269,11100,VE2
2011-03-07,5177,5177,5177,5177,100,VE2
2011-03-08,5177,5223,5177,5223,3700,VE2
2011-03-09,5177,5177,5177,5177,0,VE2
2011-03-10,5316,5500,4853,5084,3100,VE2
2011-03-11,5547,5547,5131,5547,5800,VE2
2011-03-14,5685,5732,5685,5732,200,VE2
2011-03-15,5732,5732,5732,5732,0,VE2
2011-03-16,5547,5547,5500,5500,1800,VE2
2011-03-17,5547,5639,5547,5639,11000,VE2
2011-03-18,5269,5316,5269,5269,3900,VE2
2011-03-21,5547,5547,5547,5547,100,VE2
2011-03-22,5778,5778,5778,5778,100,VE2
2011-03-23,5500,5639,5500,5639,13000,VE2
2011-03-24,5732,5732,5500,5547,6100,VE2
2011-03-25,5500,5500,5500,5500,4000,VE2
2011-03-28,5547,5547,5500,5500,700,VE2
2011-03-29,5870,5870,5316,5362,4900,VE2
2011-03-30,5316,5316,5223,5223,600,VE2
2011-03-31,5084,5084,4946,4946,6600,VE2
2011-04-01,5269,5269,4946,4992,7300,VE2
2011-04-04,5177,5177,5177,5177,0,VE2
2011-04-05,5084,5084,4853,4853,3900,VE2
2011-04-06,4715,5038,4715,4715,18000,VE2
2011-04-07,5084,5084,5084,5084,4000,VE2
2011-04-08,4946,4946,4807,4807,3200,VE2
2011-04-13,4715,4715,4622,4622,1400,VE2
