time,open,high,low,close,volume,ticker
2018-09-14,10511,10511,10511,10511,0,VGI
2018-09-25,20068,20068,15290,20068,1816800,VGI
2018-09-26,22839,22839,22744,22839,214200,VGI
2018-09-27,26184,26184,26184,26184,388100,VGI
2018-09-28,30102,30102,26184,26948,2111074,VGI
2018-10-01,28191,28286,24655,25610,831097,VGI
2018-10-02,25897,26088,24750,24846,596270,VGI
2018-10-03,25037,25037,21979,22457,705230,VGI
2018-10-04,22839,22839,21883,22552,408223,VGI
2018-10-05,22457,24846,22457,24368,349732,VGI
2018-10-08,24368,24368,23604,23699,189270,VGI
2018-10-09,23699,23699,22839,23317,205130,VGI
2018-10-10,23126,23221,22361,22457,251141,VGI
2018-10-11,21979,22266,20068,20450,398300,VGI
2018-10-12,20450,22075,19208,21979,264470,VGI
2018-10-15,22170,22839,21119,21692,202370,VGI
2018-10-16,21692,21788,21406,21788,105510,VGI
2018-10-17,21788,22170,21501,21692,148250,VGI
2018-10-18,20546,21692,20068,21406,98760,VGI
2018-10-19,21023,21023,20163,20928,159900,VGI
2018-10-22,20546,21501,20546,20546,117500,VGI
2018-10-23,20832,20832,20068,20259,176449,VGI
2018-10-24,20259,20259,19208,19303,177975,VGI
2018-10-25,19112,19112,17679,18348,282110,VGI
2018-10-26,18634,19112,18156,18252,131400,VGI
2018-10-29,18061,18348,18061,18156,162710,VGI
2018-10-30,18156,18156,17965,17965,104760,VGI
2018-10-31,18061,18061,17296,17296,219250,VGI
2018-11-01,17296,17583,16436,16532,208400,VGI
2018-11-02,16341,16436,15863,16341,221210,VGI
2018-11-05,16245,17583,16054,17201,161530,VGI
2018-11-06,17201,17870,17201,17296,84670,VGI
2018-11-07,17296,17296,16627,17201,75300,VGI
2018-11-08,17296,17583,16819,17105,85030,VGI
2018-11-09,17105,17201,16914,16914,77246,VGI
2018-11-12,16341,16819,16341,16627,75210,VGI
2018-11-13,16341,16436,15959,16245,101368,VGI
2018-11-14,16054,16245,15863,16150,51440,VGI
2018-11-15,16150,16627,15767,15863,90642,VGI
2018-11-16,16150,16436,16054,16436,102124,VGI
2018-11-19,16436,16532,16245,16245,19385,VGI
2018-11-20,16436,16436,16150,16245,54323,VGI
2018-11-21,16150,16245,15863,15959,93122,VGI
2018-11-22,15959,16150,15959,16054,72120,VGI
2018-11-23,15863,16054,15863,16054,45830,VGI
2018-11-26,16150,16150,15863,16054,67000,VGI
2018-11-27,15959,15959,15767,15863,115200,VGI
2018-11-28,15863,15863,15672,15672,47410,VGI
2018-11-29,15672,15863,15385,15385,79900,VGI
2018-11-30,15481,15481,15098,15290,116840,VGI
2018-12-03,15194,15385,15003,15098,145590,VGI
2018-12-04,15098,15194,15003,15194,104300,VGI
2018-12-05,15098,15290,15098,15194,85400,VGI
2018-12-06,15098,15194,15003,15194,67300,VGI
2018-12-07,15194,15290,15098,15194,37550,VGI
2018-12-10,15194,15194,14907,14907,57400,VGI
2018-12-11,14907,15003,14812,14812,78904,VGI
2018-12-12,14907,14907,14716,14812,77920,VGI
2018-12-13,14812,15003,14716,14812,54150,VGI
2018-12-14,14812,14812,14716,14716,38335,VGI
2018-12-17,14621,14621,14238,14334,115280,VGI
2018-12-18,14238,14238,12709,13283,142540,VGI
2018-12-19,13378,14238,13092,13378,42520,VGI
2018-12-20,13378,13569,13092,13187,41290,VGI
2018-12-21,12901,12901,11945,12327,225461,VGI
2018-12-24,12232,12232,11849,11849,68960,VGI
2018-12-25,11754,11754,10798,11467,220000,VGI
2018-12-26,11467,11945,11180,11754,123300,VGI
2018-12-27,12040,13187,12040,13187,229200,VGI
2018-12-28,13665,13856,12518,12805,52450,VGI
2019-01-02,12614,13378,12518,12614,60562,VGI
2019-01-03,12709,12805,12232,12423,74900,VGI
2019-01-04,12136,12423,12040,12040,60451,VGI
2019-01-07,12136,12805,11849,12423,65700,VGI
2019-01-08,12423,12901,12423,12518,42260,VGI
2019-01-09,12423,12901,12423,12709,84641,VGI
2019-01-10,12423,13187,12423,12901,70505,VGI
2019-01-11,13378,13761,12901,13665,124900,VGI
2019-01-14,13474,15003,13378,14907,284076,VGI
2019-01-15,14907,15767,14907,15290,216673,VGI
2019-01-16,15290,15863,14430,15003,188549,VGI
2019-01-17,15003,15194,12996,14621,113550,VGI
2019-01-18,14621,14812,14430,14621,123997,VGI
2019-01-21,14621,14621,13474,13665,97363,VGI
2019-01-22,14143,14143,13474,14047,93070,VGI
2019-01-23,13569,15290,13569,14525,124905,VGI
2019-01-24,14525,15003,12518,14430,47020,VGI
2019-01-25,14716,14716,14334,14334,68729,VGI
2019-01-28,14334,14430,14047,14143,65045,VGI
2019-01-29,14047,14334,13952,14143,37420,VGI
2019-01-30,14047,14525,13952,14525,58010,VGI
2019-01-31,14430,14812,14430,14716,59729,VGI
2019-02-01,14525,15863,14334,15576,372466,VGI
2019-02-11,15767,16436,15767,16245,278917,VGI
2019-02-12,16245,16245,15576,15863,190780,VGI
2019-02-13,15863,17488,15863,17296,584780,VGI
2019-02-14,17201,17965,17201,17870,348125,VGI
2019-02-15,17870,17965,16914,17488,197560,VGI
2019-02-18,17679,19112,17679,18539,641770,VGI
2019-02-19,18539,18825,17774,18061,330035,VGI
2019-02-20,18156,18252,17583,18061,244976,VGI
2019-02-21,17870,18539,17679,18156,439443,VGI
2019-02-22,18156,18348,17965,18156,236675,VGI
2019-02-25,18156,18252,17583,17774,238725,VGI
2019-02-26,17679,17774,16914,17201,364845,VGI
2019-02-27,17296,18061,17296,17583,174130,VGI
2019-02-28,18156,18730,17965,18156,444292,VGI
2019-03-01,18252,20928,17870,20928,1469960,VGI
2019-03-04,21023,22744,21023,21979,643318,VGI
2019-03-05,22170,22170,20546,21023,496660,VGI
2019-03-06,20737,20832,19972,20641,792655,VGI
2019-03-07,20354,21406,20354,20928,508113,VGI
2019-03-08,21023,22266,20737,22266,764580,VGI
2019-03-11,21979,22935,21883,22361,695448,VGI
2019-03-12,22170,22552,21788,22266,460973,VGI
2019-03-13,22266,22266,21597,21883,512940,VGI
2019-03-14,21883,23699,21788,23604,1324625,VGI
2019-03-15,23699,24655,23412,24273,654980,VGI
2019-03-18,24368,26757,24273,26375,995911,VGI
2019-03-19,26375,26662,23030,24273,1588870,VGI
2019-03-20,24368,24846,23604,24750,840211,VGI
2019-03-21,24559,25706,24368,24846,471385,VGI
2019-03-22,24655,24846,23412,24273,561410,VGI
2019-03-25,23890,23890,20450,21597,1279860,VGI
2019-03-26,22457,22935,20259,20928,743097,VGI
2019-03-27,21406,22935,21406,22648,398910,VGI
2019-03-28,22648,22648,21597,21883,350550,VGI
2019-03-29,21979,23412,21788,22457,570233,VGI
2019-04-01,22552,24750,22552,23795,691691,VGI
2019-04-02,23890,24177,23030,23412,383677,VGI
2019-04-03,22935,24273,22744,23890,674310,VGI
2019-04-04,23890,24655,23699,24081,410964,VGI
2019-04-05,23890,24177,23699,23890,207942,VGI
2019-04-08,23890,24368,23317,23699,334030,VGI
2019-04-09,23890,23986,22935,23030,377035,VGI
2019-04-10,22935,23412,22361,22839,463541,VGI
2019-04-11,22935,23221,22552,22935,222328,VGI
2019-04-12,22935,23126,22552,22648,247213,VGI
2019-04-16,22744,22744,21788,22361,318649,VGI
2019-04-17,22744,22839,21883,21979,288133,VGI
2019-04-18,21979,23890,21119,21310,360646,VGI
2019-04-19,21310,22170,21119,21501,151750,VGI
2019-04-22,21979,21979,21023,21119,202920,VGI
2019-04-23,21119,21310,20354,20737,389560,VGI
2019-04-24,21023,21406,20737,21215,160506,VGI
2019-04-25,21310,22744,21023,22266,340265,VGI
2019-04-26,22170,22552,21883,22361,399900,VGI
2019-05-02,22075,22266,21788,21788,142590,VGI
2019-05-03,21979,21979,21310,21501,178030,VGI
2019-05-06,21597,21788,20928,20928,337100,VGI
2019-05-07,21023,21597,21023,21597,169620,VGI
2019-05-08,21788,23126,21310,23030,989539,VGI
2019-05-09,22935,23795,22839,23030,627992,VGI
2019-05-10,23030,23221,22552,22935,376409,VGI
2019-05-13,22839,24368,22839,24081,890131,VGI
2019-05-14,23890,24750,23412,24559,688607,VGI
2019-05-15,24559,25133,24177,24559,695329,VGI
2019-05-16,24655,24750,23986,24081,468746,VGI
2019-05-17,24177,24750,24081,24081,390876,VGI
2019-05-20,24273,24368,23604,24177,660092,VGI
2019-05-21,23986,25993,23986,25324,1308001,VGI
2019-05-22,25324,25515,25037,25133,325745,VGI
2019-05-23,24941,25324,24655,25324,589081,VGI
2019-05-24,25324,26470,25324,25706,1255177,VGI
2019-05-27,25802,27139,25419,26757,837225,VGI
2019-05-28,26757,28191,26757,27904,1437113,VGI
2019-05-29,27904,28573,26470,26566,1805194,VGI
2019-05-30,25993,26853,25802,25993,966648,VGI
2019-05-31,25802,26088,24655,25037,1125293,VGI
2019-06-03,24846,26088,24368,25419,571162,VGI
2019-06-04,25133,25993,25133,25515,352617,VGI
2019-06-05,25706,26184,25324,25419,360985,VGI
2019-06-06,25324,26184,25228,25802,364351,VGI
2019-06-07,25802,26948,25610,26853,1055550,VGI
2019-06-10,26853,27426,26470,26566,495611,VGI
2019-06-11,26470,27044,26375,26662,446253,VGI
2019-06-12,26757,26757,25706,25993,800938,VGI
2019-06-13,25802,26279,25610,26184,464621,VGI
2019-06-14,26566,26662,25897,26184,240360,VGI
2019-06-17,26184,27139,26184,26948,631330,VGI
2019-06-18,26757,27617,26757,27426,841345,VGI
2019-06-19,27617,27904,27139,27235,360326,VGI
2019-06-20,27235,27713,26566,26757,796424,VGI
2019-06-21,26757,27044,26375,26757,624915,VGI
2019-06-24,26470,27235,26470,26662,353692,VGI
