time,open,high,low,close,volume,ticker
2018-05-17,64419,64419,64419,64419,18000,VHM
2018-05-18,64419,64419,64419,64419,0,VHM
2018-05-21,64419,64419,64419,64419,0,VHM
2018-05-22,68908,68908,68908,68908,20,VHM
2018-05-23,66751,66751,64127,64302,4839580,VHM
2018-05-24,64594,66926,64186,66751,1937240,VHM
2018-05-25,66926,69899,66751,68500,1749720,VHM
2018-05-28,64710,68791,64710,68208,2944740,VHM
2018-05-29,68208,68325,65935,67625,884320,VHM
2018-05-30,67625,68208,65876,68208,2448260,VHM
2018-05-31,68208,68500,67101,67101,1178690,VHM
2018-06-01,67101,68500,66751,67917,814870,VHM
2018-06-04,67625,68733,67334,68733,1762630,VHM
2018-06-05,68733,69374,68208,68791,1229890,VHM
2018-06-06,68500,70482,68208,69957,712230,VHM
2018-06-07,71123,71123,65060,69957,1167210,VHM
2018-06-08,69957,70482,68500,69957,462940,VHM
2018-06-11,70424,70424,69374,69957,425790,VHM
2018-06-12,69957,69957,68208,68791,816310,VHM
2018-06-13,68791,69024,68558,68791,289590,VHM
2018-06-14,68791,69083,67800,68208,624230,VHM
2018-06-15,68616,68616,67917,67917,213150,VHM
2018-06-18,67917,68791,67625,67917,626280,VHM
2018-06-19,67917,67917,66867,67042,770730,VHM
2018-06-20,62437,67625,62437,67042,613980,VHM
2018-06-21,67042,67101,66459,67042,117280,VHM
2018-06-22,67042,67042,66459,66576,83230,VHM
2018-06-25,66576,67567,66576,67334,214260,VHM
2018-06-26,67334,67334,66518,67042,112440,VHM
2018-06-27,65585,66518,64127,64127,305740,VHM
2018-06-28,64127,65876,62961,64127,185920,VHM
2018-06-29,65876,65876,63253,65527,321730,VHM
2018-07-02,65585,65585,64127,64885,456190,VHM
2018-07-03,64885,64885,60396,60396,165430,VHM
2018-07-04,59522,64594,59522,64594,1358170,VHM
2018-07-05,64594,67042,64594,66459,1208630,VHM
2018-07-06,65002,66401,65002,65585,497040,VHM
2018-07-09,65585,66110,65585,65760,134390,VHM
2018-07-10,65702,65760,63253,64710,298180,VHM
2018-07-11,64127,64710,62961,63953,86370,VHM
2018-07-12,63953,64594,62961,64127,113470,VHM
2018-07-13,62553,64710,62553,63719,57420,VHM
2018-07-16,64419,64419,61796,61796,93750,VHM
2018-07-17,63544,64710,61796,61796,410540,VHM
2018-07-18,64127,64127,62379,62612,115930,VHM
2018-07-19,62961,62961,62087,62087,359780,VHM
2018-07-20,62379,62961,61854,62320,361710,VHM
2018-07-23,60047,63836,60047,62845,140470,VHM
2018-07-24,60047,62787,60047,62087,52950,VHM
2018-07-25,62379,62379,61446,62087,123900,VHM
2018-07-26,62087,62845,61796,61796,205970,VHM
2018-07-27,61796,62087,61213,61737,67370,VHM
2018-07-30,61796,64419,61213,64419,324540,VHM
2018-07-31,65293,65293,63428,64302,170450,VHM
2018-08-01,64302,64361,63253,63311,320670,VHM
2018-08-02,64069,64069,63311,63428,265210,VHM
2018-08-03,63661,63953,63253,63544,398200,VHM
2018-08-06,63544,63603,63428,63544,182880,VHM
2018-08-07,63544,63544,62379,62670,160500,VHM
2018-08-08,62670,63428,62670,62961,134310,VHM
2018-08-09,62961,63544,62961,63370,285670,VHM
2018-08-10,63544,63544,61796,62320,120470,VHM
2018-08-13,63195,63195,62320,62670,1088420,VHM
2018-08-14,62379,62961,62379,62845,406610,VHM
2018-08-15,62845,62903,62437,62845,436300,VHM
2018-08-16,62845,62903,62437,62845,726220,VHM
2018-08-17,66459,66459,63428,63428,1125570,VHM
2018-08-20,64944,64944,63428,63428,575880,VHM
2018-08-21,63428,64419,63428,64069,741280,VHM
2018-08-22,64069,64594,63894,64069,415780,VHM
2018-08-23,64127,65352,64127,65235,1371780,VHM
2018-08-24,65410,65818,64769,65002,1340480,VHM
2018-08-27,65235,65235,64885,65002,913670,VHM
2018-08-28,65002,65002,64419,64710,817180,VHM
2018-08-29,64710,64710,63136,63136,303590,VHM
2018-08-30,62961,62961,62087,62612,409540,VHM
2018-08-31,62612,64827,60630,60630,3027640,VHM
2018-09-04,62320,62787,60746,61154,225530,VHM
2018-09-05,61679,61796,61271,61796,318560,VHM
2018-09-06,61796,61796,60979,61213,287240,VHM
2018-09-07,60630,61213,60630,61096,459090,VHM
2018-09-10,61504,61504,60979,60979,532950,VHM
2018-09-11,60630,61213,60455,60455,483770,VHM
2018-09-12,61096,61096,60513,60630,605640,VHM
2018-09-13,60630,61562,60630,61271,836910,VHM
2018-09-14,61679,61796,61387,61504,591790,VHM
2018-09-17,61504,62204,61446,61504,1287240,VHM
2018-09-18,61504,61504,60630,60979,207550,VHM
2018-09-19,61446,61446,60047,60979,258160,VHM
2018-09-20,61213,61213,60571,61213,336900,VHM
2018-09-21,60979,61271,59172,59172,8102520,VHM
2018-09-24,59172,60047,59172,59988,634680,VHM
2018-09-25,60047,60280,59230,59697,472130,VHM
2018-09-26,59464,59755,59405,59405,473580,VHM
2018-09-27,60047,60921,60047,60630,525990,VHM
2018-09-28,61504,61796,60979,61796,846730,VHM
2018-10-01,62087,62437,60105,60105,523580,VHM
2018-10-02,60804,61213,60513,60630,534540,VHM
2018-10-03,61154,61154,59405,59464,467970,VHM
2018-10-04,60630,60630,59813,59813,331810,VHM
2018-10-05,60630,60630,59522,59522,304710,VHM
2018-10-08,60105,60469,58283,58283,265800,VHM
2018-10-09,59158,59886,58283,58283,267080,VHM
2018-10-10,59376,59376,58283,58356,378520,VHM
2018-10-11,56098,58429,54713,55733,736740,VHM
2018-10-12,55733,57555,55369,56098,666960,VHM
2018-10-15,56098,56098,53184,53256,505140,VHM
2018-10-16,53256,54713,53256,54349,349810,VHM
2018-10-17,55588,56098,54641,55661,300010,VHM
2018-10-18,55661,55952,55005,55078,146220,VHM
2018-10-19,54349,55442,53912,54495,282610,VHM
2018-10-22,54495,55005,54422,54422,252630,VHM
2018-10-23,53766,54276,53475,53985,136760,VHM
2018-10-24,53548,54058,52819,52819,233830,VHM
2018-10-25,49905,51144,49541,49905,479440,VHM
2018-10-26,49905,50269,46481,47355,1004220,VHM
2018-10-29,45534,46335,44441,45024,338080,VHM
2018-10-30,43785,45898,43712,45242,574230,VHM
2018-10-31,45388,48375,45388,48375,1099060,VHM
2018-11-01,47428,50998,47428,50269,871070,VHM
2018-11-02,50998,53766,50998,52455,1170010,VHM
2018-11-05,53184,53766,51726,52455,758430,VHM
2018-11-06,53184,53184,51726,52455,379000,VHM
2018-11-07,52746,52965,51581,52965,298710,VHM
2018-11-08,53475,54422,53184,54422,481780,VHM
2018-11-09,54276,55806,53912,55369,520370,VHM
2018-11-12,54932,55515,54713,55369,274460,VHM
2018-11-13,53256,55369,53256,55223,271790,VHM
2018-11-14,55223,55369,54641,55223,284050,VHM
2018-11-15,54495,55223,54276,55005,301910,VHM
2018-11-16,54276,54568,51362,51872,788790,VHM
2018-11-19,52091,53111,50925,53111,323690,VHM
2018-11-20,52528,55005,52528,54641,500750,VHM
2018-11-21,54641,55223,53329,55223,451550,VHM
