time,open,high,low,close,volume,ticker
2006-12-25,16200,16200,16200,16200,11610,VID
2006-12-26,16508,16918,16508,16918,1950,VID
2006-12-27,17636,17738,17636,17738,2090,VID
2006-12-28,18559,18559,18559,18559,4300,VID
2006-12-29,19379,19379,18661,18661,2750,VID
2007-01-02,18661,18661,17738,17738,3100,VID
2007-01-03,17738,17738,17738,17738,0,VID
2007-01-04,17738,17738,16918,16918,700,VID
2007-01-05,16098,16098,16098,16098,12580,VID
2007-01-08,15380,15380,15380,15380,4010,VID
2007-01-09,15175,15175,14662,14662,8770,VID
2007-01-10,13944,13944,13944,13944,18490,VID
2007-01-11,13329,14355,13329,14355,40470,VID
2007-01-12,14355,14355,13637,13637,6640,VID
2007-01-15,13022,13022,13022,13022,5820,VID
2007-01-16,12509,12509,12406,12406,3760,VID
2007-01-17,12406,12406,11791,11791,10620,VID
2007-01-18,11278,11278,11278,11278,8520,VID
2007-01-19,10766,10766,10766,10766,26190,VID
2007-01-22,10233,10233,10233,10233,45410,VID
2007-01-23,9740,9740,9740,9740,13600,VID
2007-01-24,9269,10212,9269,10212,28440,VID
2007-01-25,10663,10663,10663,10663,112150,VID
2007-01-26,11176,11176,11176,11176,35090,VID
2007-01-29,11689,11689,11689,11689,57460,VID
2007-01-30,12201,12201,12201,12201,42110,VID
2007-01-31,12201,12201,11689,11689,29890,VID
2007-02-01,11689,11689,11176,11176,10630,VID
2007-02-02,11689,11689,11689,11689,24660,VID
2007-02-05,11791,11791,11278,11278,23860,VID
2007-02-06,11278,11484,11278,11484,20390,VID
2007-02-07,11484,11484,11073,11073,13880,VID
2007-02-08,10663,10663,10561,10561,14310,VID
2007-02-09,10048,10048,10048,10048,23550,VID
2007-02-12,10048,10356,10048,10356,22280,VID
2007-02-13,10048,10458,10048,10458,30840,VID
2007-02-14,10868,10868,10458,10458,34360,VID
2007-02-15,10458,10458,10458,10458,4160,VID
2007-02-26,10561,10766,10561,10766,14960,VID
2007-02-27,10868,11073,10868,11073,24320,VID
2007-02-28,11586,11586,10868,10868,44580,VID
2007-03-01,11176,11176,10868,10868,47910,VID
2007-03-02,11381,11381,11381,11381,179120,VID
2007-03-05,11894,11894,11894,11894,188030,VID
2007-03-06,12406,12406,12406,12406,220660,VID
2007-03-07,12406,13022,12406,13022,1110,VID
2007-03-08,13022,13637,13022,13637,68030,VID
2007-03-09,14252,14252,14252,14252,82570,VID
2007-03-12,14867,14867,14867,14867,94750,VID
2007-03-13,14867,14867,14149,14149,287820,VID
2007-03-14,14149,14765,14149,14765,167970,VID
2007-03-15,14149,14355,14149,14355,111290,VID
2007-03-16,15072,15072,15072,15072,79110,VID
2007-03-19,15790,15790,15790,15790,74440,VID
2007-03-20,16508,16508,15380,15380,198070,VID
2007-03-21,15380,15380,15380,15380,99930,VID
2007-03-22,14765,14765,14662,14662,55040,VID
2007-03-23,13944,14149,13944,14149,117130,VID
2007-03-26,13534,13534,13534,13534,27280,VID
2007-03-27,12919,12919,12919,12919,9500,VID
2007-03-28,12509,12509,12304,12304,71960,VID
2007-03-29,12919,12919,12919,12919,60160,VID
2007-03-30,13534,13534,13534,13534,76920,VID
2007-04-02,12919,12919,12919,12919,38470,VID
2007-04-03,12919,12919,12919,12919,30890,VID
2007-04-04,12919,13534,12919,13534,38070,VID
2007-04-05,13534,13534,13124,13124,46340,VID
2007-04-06,13124,13124,12919,12919,17000,VID
2007-04-09,12714,12919,12714,12919,16790,VID
