time,open,high,low,close,volume,ticker
2009-12-29,4182,4182,3485,3945,96300,VIX
2009-12-30,3764,3945,3680,3680,74500,VIX
2009-12-31,3764,3764,3485,3485,86600,VIX
2010-01-04,3527,3764,3346,3764,177700,VIX
2010-01-05,3820,3820,3820,3820,61300,VIX
2010-01-06,4085,4085,3820,4085,243500,VIX
2010-01-07,4308,4308,4154,4308,95900,VIX
2010-01-08,4573,4573,4182,4280,349400,VIX
2010-01-11,4573,4573,4154,4224,163000,VIX
2010-01-12,4182,4182,3917,3917,127700,VIX
2010-01-13,4113,4113,3694,4001,136900,VIX
2010-01-14,4029,4043,3904,3917,42400,VIX
2010-01-15,3778,3904,3694,3708,40100,VIX
2010-01-18,3625,3625,3471,3471,60500,VIX
2010-01-19,3555,3625,3485,3541,23300,VIX
2010-01-20,3555,3625,3318,3332,52700,VIX
2010-01-21,3485,3513,3151,3374,18600,VIX
2010-01-22,3151,3429,3151,3346,15700,VIX
2010-01-25,3471,3471,3206,3374,29700,VIX
2010-01-26,3485,3569,3485,3569,37400,VIX
2010-01-27,3722,3722,3555,3569,11900,VIX
2010-01-28,3569,3569,3346,3360,31500,VIX
2010-01-29,3555,3583,3346,3346,10900,VIX
2010-02-01,3499,3499,3262,3276,61900,VIX
2010-02-02,3485,3485,3151,3165,21700,VIX
2010-02-03,3151,3151,3025,3067,66500,VIX
2010-02-04,3206,3206,2955,3081,45800,VIX
2010-02-05,3095,3192,3011,3192,17800,VIX
2010-02-08,3067,3067,2928,2928,33300,VIX
2010-02-09,3109,3137,2746,2830,64900,VIX
2010-02-10,2914,2969,2872,2928,3800,VIX
2010-02-11,3095,3095,2969,2997,11800,VIX
2010-02-12,3067,3192,3067,3123,14700,VIX
2010-02-22,3206,3206,3165,3165,17100,VIX
2010-02-23,3011,3011,2983,2983,17700,VIX
2010-02-24,2983,2983,2788,2858,72100,VIX
2010-02-25,2969,2983,2788,2816,31500,VIX
2010-02-26,2816,3039,2788,3039,104800,VIX
2010-03-01,3206,3234,3151,3206,63300,VIX
2010-03-02,3039,3053,2997,3025,51200,VIX
2010-03-03,3137,3137,3025,3053,41800,VIX
2010-03-04,3165,3206,3053,3109,53000,VIX
2010-03-05,3137,3137,3025,3109,35000,VIX
2010-03-08,3206,3318,3206,3318,143300,VIX
2010-03-09,3485,3485,3178,3178,34100,VIX
2010-03-10,3178,3234,3067,3109,63000,VIX
2010-03-11,3123,3123,3053,3067,21800,VIX
2010-03-12,3178,3178,2997,3109,55600,VIX
2010-03-15,3095,3137,2983,2997,30600,VIX
2010-03-16,2997,3067,2858,2872,50700,VIX
2010-03-17,2928,3011,2872,2955,57100,VIX
2010-03-18,3011,3137,2928,3011,38500,VIX
2010-03-19,3067,3067,2900,2928,68700,VIX
2010-03-22,2928,2928,2802,2844,113800,VIX
2010-03-23,2858,2872,2746,2788,99500,VIX
2010-03-24,2858,2872,2774,2872,24000,VIX
2010-03-25,2830,2830,2677,2718,76600,VIX
2010-03-26,2690,2718,2551,2579,159600,VIX
2010-03-29,2579,2635,2551,2635,121500,VIX
2010-03-30,2635,2635,2467,2467,126300,VIX
2010-03-31,2579,2607,2523,2537,17200,VIX
2010-04-01,2565,2635,2523,2621,33500,VIX
2010-04-02,2579,2607,2523,2565,15300,VIX
2010-04-05,2579,2593,2523,2593,88600,VIX
2010-04-06,2593,2718,2579,2621,77400,VIX
2010-04-07,2788,2788,2607,2649,34800,VIX
2010-04-08,2649,2663,2621,2621,37500,VIX
2010-04-09,2663,2718,2621,2621,40600,VIX
2010-04-12,2635,2649,2607,2649,47400,VIX
2010-04-13,2649,2663,2579,2607,50100,VIX
2010-04-14,2579,2635,2551,2551,40600,VIX
2010-04-15,2607,2635,2565,2607,41200,VIX
2010-04-16,2621,2621,2593,2593,19200,VIX
2010-04-19,2607,2607,2537,2565,39200,VIX
2010-04-20,2579,2593,2537,2551,39500,VIX
2010-04-21,2537,2607,2509,2565,139600,VIX
2010-04-22,2593,2718,2593,2718,161500,VIX
2010-04-26,2718,2718,2649,2663,49900,VIX
2010-04-27,2690,2774,2649,2677,38200,VIX
2010-04-28,2663,2677,2607,2607,59300,VIX
2010-04-29,2649,2746,2649,2718,139400,VIX
2010-05-04,2858,2886,2858,2886,73100,VIX
2010-05-05,3081,3081,2928,3081,232800,VIX
2010-05-06,3123,3262,3123,3262,146300,VIX
2010-05-07,3346,3471,3248,3471,467500,VIX
2010-05-10,3457,3694,3234,3388,193400,VIX
2010-05-11,3471,3471,3234,3234,187400,VIX
2010-05-12,3234,3234,3025,3025,57800,VIX
2010-05-13,2830,3206,2830,3053,266200,VIX
2010-05-14,3067,3137,2928,3123,82100,VIX
2010-05-17,3067,3151,2872,2928,67300,VIX
2010-05-18,2872,3011,2844,2997,67300,VIX
2010-05-19,2802,2802,2746,2746,36800,VIX
2010-05-20,2565,2788,2565,2760,90800,VIX
2010-05-21,2663,2663,2481,2509,94100,VIX
2010-05-24,2635,2649,2384,2621,51300,VIX
2010-05-25,2621,2690,2593,2677,56300,VIX
2010-05-26,2718,2844,2718,2844,57200,VIX
2010-05-27,2788,2928,2788,2928,30800,VIX
2010-05-28,3067,3095,3039,3095,140100,VIX
2010-05-31,3137,3137,2872,3067,99500,VIX
2010-06-01,3039,3123,3025,3123,123200,VIX
2010-06-02,3067,3206,3039,3178,110000,VIX
2010-06-03,3053,3206,3025,3081,124500,VIX
2010-06-04,2997,3067,2928,2928,52800,VIX
2010-06-07,2844,2872,2844,2844,9900,VIX
2010-06-08,2844,2928,2718,2872,24700,VIX
2010-06-09,2886,2886,2718,2872,31800,VIX
2010-06-10,2788,2802,2788,2802,4200,VIX
2010-06-11,2802,2872,2732,2816,10100,VIX
2010-06-14,2788,2802,2760,2802,27800,VIX
2010-06-15,2858,2858,2649,2649,16100,VIX
2010-06-16,2830,2900,2802,2872,25400,VIX
2010-06-17,2928,2928,2746,2858,11600,VIX
2010-06-18,2732,2788,2788,2788,0,VIX
2010-06-21,2718,2844,2718,2788,5000,VIX
2010-06-22,2844,2844,2718,2746,9200,VIX
2010-06-23,2663,2718,2649,2704,10700,VIX
2010-06-24,2690,2788,2690,2690,21400,VIX
2010-06-25,2663,2663,2621,2621,15300,VIX
2010-06-28,2649,2704,2649,2649,5300,VIX
2010-06-29,2788,2788,2649,2663,8100,VIX
2010-06-30,2649,2649,2649,2649,3100,VIX
2010-07-01,2663,2663,2649,2663,1200,VIX
2010-07-02,2649,2649,2579,2649,14500,VIX
2010-07-05,2523,2551,2509,2537,16600,VIX
2010-07-06,2523,2523,2509,2509,5800,VIX
