time,open,high,low,close,volume,ticker
2016-09-22,12545,12545,12545,12545,0,VLB
2016-09-23,12545,12545,12545,12545,0,VLB
2016-09-26,17550,17550,17550,17550,100,VLB
2016-09-27,17550,17550,17550,17550,0,VLB
2016-09-28,17550,17550,17550,17550,0,VLB
2016-09-29,17550,17550,17550,17550,0,VLB
2016-09-30,17550,17550,17550,17550,0,VLB
2016-10-03,20153,20153,20153,20153,100,VLB
2016-10-04,23156,23156,23156,23156,100,VLB
2016-10-05,26626,26626,26626,26626,800,VLB
2016-10-06,26626,26626,26626,26626,50,VLB
2016-10-07,26626,26626,26626,26626,0,VLB
2016-10-10,26626,26626,26626,26626,0,VLB
2016-10-11,26626,26626,26626,26626,0,VLB
2016-10-12,26626,26626,26626,26626,0,VLB
2016-10-13,30563,30563,30563,30563,100,VLB
2016-10-14,30563,34701,30563,34701,2200,VLB
2016-10-17,30697,30697,30697,30697,200,VLB
2016-10-18,30697,30697,30697,30697,1800,VLB
2016-10-19,30697,30697,30697,30697,0,VLB
2016-10-20,34033,34033,34033,34033,1100,VLB
2016-10-21,34033,34033,34033,34033,0,VLB
2016-10-24,34033,34033,34033,34033,0,VLB
2016-10-25,34033,34033,34033,34033,0,VLB
2016-10-26,34033,34033,34033,34033,0,VLB
2016-10-27,34033,34033,34033,34033,0,VLB
2016-10-28,34033,34033,34033,34033,0,VLB
2016-10-31,28962,33366,28962,33366,400,VLB
2016-11-01,25692,25692,25625,25625,1900,VLB
2016-11-02,23356,23690,23356,23356,2800,VLB
2016-11-03,20687,27026,20687,27026,2000,VLB
2016-11-04,27760,27760,23089,24157,1200,VLB
2016-11-07,27093,27093,27093,27093,0,VLB
2016-11-08,28695,29362,28695,29362,2000,VLB
2016-11-09,32699,32699,32699,32699,300,VLB
2016-11-10,28695,30029,28695,30029,3350,VLB
2016-11-11,29295,29295,29295,29295,0,VLB
2016-11-14,29295,29295,29295,29295,0,VLB
2016-11-15,26025,29362,26025,29362,200,VLB
2016-11-16,27694,27694,27694,27694,0,VLB
2016-11-17,27694,27694,27694,27694,0,VLB
2016-11-18,25692,26693,25692,26693,1200,VLB
2016-11-21,26693,26693,26693,26693,1700,VLB
2016-11-22,27026,30029,27026,30029,700,VLB
2016-11-23,27026,27026,27026,27026,2300,VLB
2016-11-24,27026,27026,27026,27026,0,VLB
2016-11-25,27026,27026,27026,27026,0,VLB
2016-11-28,27026,27026,27026,27026,0,VLB
2016-11-29,26025,26025,26025,26025,1000,VLB
2016-11-30,27026,27026,27026,27026,1700,VLB
2016-12-01,27026,27026,27026,27026,0,VLB
2016-12-02,27026,27026,27026,27026,0,VLB
2016-12-05,27026,27026,27026,27026,0,VLB
