time,open,high,low,close,volume,ticker
2009-09-30,25000,25000,15000,21000,1211000,VMG
2009-10-01,20800,20800,20800,20800,200900,VMG
2009-10-02,22200,22200,21000,22200,658900,VMG
2009-10-05,23200,23200,20600,20600,117100,VMG
2009-10-06,19700,19700,19700,19700,69000,VMG
2009-10-07,18400,20500,18400,20100,825100,VMG
2009-10-08,20300,20300,19500,20300,196700,VMG
2009-10-09,21600,21600,20500,21600,870100,VMG
2009-10-12,22000,22000,20000,20600,440100,VMG
2009-10-13,20500,20500,19100,19600,542200,VMG
2009-10-14,19500,20300,19300,20200,470400,VMG
2009-10-15,20800,21000,19200,19200,310000,VMG
2009-10-16,21000,21000,18900,19000,357700,VMG
2009-10-19,19100,19300,18500,18900,220800,VMG
2009-10-20,19300,20000,18800,20000,334300,VMG
2009-10-21,19500,20800,19500,20800,657300,VMG
2009-10-22,21700,21700,21000,21700,933500,VMG
2009-10-23,23000,23000,20100,20700,455100,VMG
2009-10-26,20600,20600,20600,20600,13400,VMG
2009-10-27,19200,19200,19200,19200,26400,VMG
2009-10-28,17900,19000,17900,18000,646600,VMG
2009-10-29,16700,18000,16700,16900,285200,VMG
2009-10-30,17800,17900,17800,17900,137400,VMG
2009-11-02,18000,18000,16700,16700,225400,VMG
2009-11-03,16800,16800,15600,15600,127800,VMG
2009-11-04,15000,16000,14800,15400,68200,VMG
2009-11-05,16000,16500,15200,16500,119400,VMG
2009-11-06,17000,17400,16100,16300,112700,VMG
2009-11-09,16000,16000,15600,15600,39500,VMG
2009-11-10,15600,15700,14600,14700,176900,VMG
2009-11-11,14700,15400,14500,15400,82500,VMG
2009-11-12,15500,15800,15100,15500,71100,VMG
2009-11-13,15600,15600,14800,15100,54400,VMG
2009-11-16,14600,15400,14500,14700,121100,VMG
2009-11-17,15000,15400,14600,14700,44900,VMG
2009-11-18,14800,15000,14000,14900,95000,VMG
2009-11-19,14700,15100,14600,15000,47300,VMG
2009-11-20,14300,15800,14300,15700,267800,VMG
2009-11-23,15600,15600,14600,15000,64500,VMG
2009-11-24,14800,15000,14200,14400,34600,VMG
2009-11-25,14500,14500,13500,13500,86300,VMG
2009-11-26,12700,12700,12700,12700,37600,VMG
2009-11-27,11900,13400,11900,12600,120100,VMG
2009-11-30,12400,13200,12000,13200,137100,VMG
2009-12-01,13500,13800,13500,13800,86500,VMG
2009-12-02,14400,14400,12800,12800,71600,VMG
2009-12-03,13100,13100,12300,12800,33800,VMG
2009-12-04,13000,13000,12600,12800,22500,VMG
2009-12-07,13000,13000,12500,12700,33800,VMG
2009-12-08,12500,12500,11900,12000,49900,VMG
2009-12-09,12000,12000,11400,11500,106700,VMG
2009-12-10,11400,11900,10700,10800,57900,VMG
2009-12-11,11000,11000,10300,10300,47200,VMG
2009-12-14,10700,11000,10000,11000,94100,VMG
2009-12-15,10700,10800,10100,10500,52600,VMG
2009-12-16,10400,10400,9900,9900,73900,VMG
2009-12-17,9800,10000,9400,10000,30200,VMG
2009-12-18,9900,10200,9900,10200,58700,VMG
2009-12-21,10800,10800,10700,10800,61200,VMG
2009-12-22,11500,11500,10400,10800,85000,VMG
2009-12-23,10900,11000,10800,11000,63500,VMG
2009-12-24,10800,11600,10600,11500,161500,VMG
2009-12-25,11500,11800,11100,11800,110400,VMG
2009-12-28,11900,11900,11200,11700,84500,VMG
2009-12-29,11500,11600,10900,10900,37400,VMG
2009-12-30,10900,11400,10600,11200,63500,VMG
2009-12-31,11400,11800,11100,11400,106500,VMG
2010-01-04,12000,12300,12000,12300,105600,VMG
2010-01-05,13100,13100,12800,13100,168000,VMG
2010-01-06,13100,13100,12400,12700,97000,VMG
2010-01-07,12200,12800,12200,12400,72300,VMG
2010-01-08,12500,13200,12400,12500,96100,VMG
2010-01-11,12500,12500,12000,12300,58700,VMG
2010-01-12,12000,12000,11400,11400,95200,VMG
2010-01-13,11000,11900,10900,11800,36100,VMG
2010-01-14,12100,12100,11600,12100,66400,VMG
2010-01-15,12600,12600,11300,11300,35400,VMG
2010-01-18,11100,11500,10800,11000,48200,VMG
2010-01-19,11000,11200,11000,11100,30000,VMG
2010-01-20,11100,11100,10600,10600,13300,VMG
2010-01-21,10400,10700,10200,10400,40900,VMG
2010-01-22,10300,10500,10000,10300,36000,VMG
2010-01-25,10200,10700,10200,10300,14100,VMG
2010-01-26,10700,11100,10700,11100,44300,VMG
2010-01-27,11300,11300,10500,10500,28200,VMG
2010-01-28,10500,10500,10200,10500,34100,VMG
2010-01-29,10600,10900,10300,10900,22800,VMG
2010-02-01,11000,11000,10300,10400,20000,VMG
2010-02-02,10600,10700,10400,10500,27500,VMG
2010-02-03,10900,10900,10600,10700,29700,VMG
2010-02-04,10600,11000,10500,10800,18800,VMG
2010-02-05,10300,10600,10300,10400,12800,VMG
2010-02-08,10000,10400,10000,10400,27600,VMG
2010-02-09,10400,10400,10100,10100,27800,VMG
2010-02-10,10200,10400,10200,10400,9500,VMG
2010-02-11,10200,10500,10100,10300,32500,VMG
2010-02-12,10200,10500,10000,10500,7600,VMG
2010-02-22,10500,10500,10300,10500,9000,VMG
2010-02-23,10200,10300,10200,10200,24900,VMG
2010-02-24,10300,10400,10200,10300,12900,VMG
2010-02-25,10500,10500,10100,10300,7800,VMG
2010-02-26,10300,10400,10200,10400,8000,VMG
2010-03-01,10000,10900,10000,10300,62400,VMG
2010-03-02,10400,10700,10400,10500,33800,VMG
