time,open,high,low,close,volume,ticker
2010-06-03,6089,6089,6089,6089,0,VQC
2010-06-04,6089,6089,6089,6089,0,VQC
2010-06-07,6089,6089,6089,6089,0,VQC
2010-06-08,6089,6089,6089,6089,0,VQC
2010-06-09,6089,6089,6089,6089,0,VQC
2010-06-10,6089,6089,6089,6089,0,VQC
2010-06-11,6089,6089,6089,6089,0,VQC
2010-06-14,6089,6089,6089,6089,0,VQC
2010-06-15,6089,6089,6089,6089,0,VQC
2010-06-16,6089,6089,6089,6089,0,VQC
2010-06-17,6089,6089,6089,6089,0,VQC
2010-06-18,6089,6089,6089,6089,0,VQC
2010-06-21,6089,6089,6089,6089,0,VQC
2010-06-22,6089,6089,6089,6089,0,VQC
2010-06-23,6089,6089,6089,6089,0,VQC
2010-06-24,6089,6089,6089,6089,0,VQC
2010-06-25,6089,6089,6089,6089,0,VQC
2010-06-28,6089,6089,6089,6089,0,VQC
2010-06-29,6089,6089,6089,6089,0,VQC
2010-06-30,6089,6089,6089,6089,0,VQC
2010-07-01,6089,6089,6089,6089,0,VQC
2010-07-02,6089,6089,6089,6089,0,VQC
2010-07-05,6228,6435,6228,6435,10000,VQC
2010-07-06,6712,6961,6712,6961,3647,VQC
2010-07-07,6726,6726,6726,6726,3506,VQC
2010-07-08,6062,6062,6062,6062,417,VQC
2010-07-09,5466,5466,5466,5466,28,VQC
2010-07-12,5466,5466,5466,5466,0,VQC
2010-07-13,5466,6006,6006,6006,2610,VQC
2010-07-14,6006,6006,6006,6006,0,VQC
2010-07-15,6505,6505,6505,6505,87,VQC
2010-07-16,6574,6574,6574,6574,400,VQC
2010-07-19,6574,6574,6574,6574,0,VQC
2010-07-20,6574,6574,6574,6574,0,VQC
2010-07-21,6574,6574,6574,6574,0,VQC
2010-07-22,6574,6574,6574,6574,0,VQC
2010-07-23,6435,6435,6435,6435,100,VQC
2010-07-26,6435,6435,6435,6435,0,VQC
2010-07-27,6435,6435,6435,6435,0,VQC
2010-07-28,6435,6435,6435,6435,0,VQC
2010-07-29,5812,5812,5812,5812,400,VQC
2010-07-30,5273,5273,5273,5273,100,VQC
2010-08-02,5799,5799,5799,5799,100,VQC
2010-08-03,5799,5799,5799,5799,0,VQC
2010-08-04,5799,5799,5799,5799,0,VQC
2010-08-05,5799,5799,5799,5799,0,VQC
2010-08-06,5799,5799,5799,5799,0,VQC
2010-08-09,5799,5799,5799,5799,1900,VQC
2010-08-10,5799,5799,5799,5799,0,VQC
2010-08-11,5799,5799,5799,5799,0,VQC
2010-08-12,5799,5799,5799,5799,0,VQC
2010-08-13,5799,5799,5799,5799,0,VQC
2010-08-16,5799,5799,5799,5799,0,VQC
2010-08-17,5799,5799,5799,5799,0,VQC
2010-08-18,5799,5799,5799,5799,0,VQC
2010-08-19,5799,5799,5799,5799,0,VQC
2010-08-20,5799,5799,5799,5799,500,VQC
2010-08-23,5812,5951,5799,5951,5200,VQC
