time,open,high,low,close,volume,ticker
2010-07-26,18347,18347,17625,18347,468840,VRC
2010-07-27,18347,18347,17667,17667,107590,VRC
2010-07-28,17625,17710,17030,17073,86770,VRC
2010-07-29,17073,17540,16988,16988,112230,VRC
2010-07-30,17158,17328,16988,17158,135010,VRC
2010-08-02,17328,17328,16903,16988,74140,VRC
2010-08-03,16988,16988,16818,16903,126820,VRC
2010-08-04,16903,16945,16563,16903,174320,VRC
2010-08-05,16776,16903,16648,16903,150230,VRC
2010-08-06,16776,16903,16733,16733,49800,VRC
2010-08-09,16776,16776,15969,16138,56580,VRC
2010-08-10,15544,15586,15332,15332,120820,VRC
2010-08-11,15289,16054,15289,16054,97460,VRC
2010-08-12,15416,16054,15289,15289,31010,VRC
2010-08-13,15289,15332,14864,15289,56320,VRC
2010-08-16,15714,16011,15289,15926,68530,VRC
2010-08-17,15332,15714,15289,15289,66960,VRC
2010-08-18,15247,15289,14694,14864,25610,VRC
2010-08-19,14482,14907,14482,14864,41610,VRC
2010-08-20,14864,14864,14440,14864,83200,VRC
2010-08-23,14864,14864,14610,14610,26310,VRC
2010-08-24,14822,14822,13888,14440,57180,VRC
2010-08-25,14015,14440,13718,13718,43980,VRC
2010-08-26,13293,13590,13038,13378,175370,VRC
2010-08-27,12826,13293,12741,12868,83440,VRC
2010-08-30,13420,13505,13420,13505,60670,VRC
2010-08-31,13505,14142,13505,14142,127360,VRC
2010-09-01,14227,14482,14142,14482,85800,VRC
2010-09-06,15119,15119,14652,14737,40380,VRC
2010-09-07,14355,14737,14312,14440,37580,VRC
2010-09-08,14015,14440,13845,14227,48120,VRC
2010-09-09,14227,14652,14185,14440,54560,VRC
2010-09-10,14440,14440,13718,13718,91130,VRC
2010-09-13,13718,13718,13038,13038,82570,VRC
2010-09-14,13633,13633,13038,13548,11930,VRC
2010-09-15,13972,13972,13548,13590,2700,VRC
2010-09-16,14100,14100,13378,13590,4830,VRC
2010-09-17,13590,13760,13590,13760,23130,VRC
2010-09-20,14015,14015,13633,13633,9530,VRC
2010-09-21,13590,13718,13590,13718,4150,VRC
2010-09-22,13378,13718,13293,13293,20400,VRC
2010-09-23,12996,13675,12996,13208,34100,VRC
2010-09-24,13166,13845,12741,13845,110300,VRC
2010-09-27,13760,14440,13760,14312,159820,VRC
2010-09-28,14822,14992,14652,14907,216280,VRC
2010-09-29,15289,15289,14227,14227,131390,VRC
2010-09-30,14100,14355,13590,14185,69810,VRC
2010-10-01,14185,14185,13590,13590,91560,VRC
2010-10-04,13335,13590,12953,13166,73360,VRC
2010-10-05,12953,13166,12741,13166,85350,VRC
2010-10-06,13208,13633,13166,13378,64250,VRC
2010-10-07,13463,13930,13378,13590,122290,VRC
2010-10-08,13590,13930,13590,13590,58230,VRC
2010-10-11,13293,13590,13293,13505,134440,VRC
2010-10-12,13463,13505,13208,13378,70860,VRC
2010-10-13,13378,13378,13166,13378,49000,VRC
2010-10-14,13817,13817,13597,13597,21520,VRC
2010-10-15,13904,13904,13378,13422,48690,VRC
2010-10-18,13422,13509,13159,13159,38180,VRC
