time,open,high,low,close,volume,ticker
2014-11-10,8564,8564,8564,8564,0,VRG
2014-11-11,8564,8564,8564,8564,0,VRG
2014-11-12,8564,8564,8564,8564,0,VRG
2014-11-13,8564,8564,8564,8564,0,VRG
2014-11-14,8564,8564,8564,8564,0,VRG
2014-11-17,8564,8564,8564,8564,0,VRG
2014-11-18,8564,8564,8564,8564,0,VRG
2014-11-19,8564,8564,8564,8564,0,VRG
2014-11-20,8564,8564,8564,8564,0,VRG
2014-11-21,8564,8564,8564,8564,0,VRG
2014-11-24,8564,8564,8564,8564,0,VRG
2014-11-25,8564,8564,8564,8564,0,VRG
2014-11-26,8564,8564,8564,8564,0,VRG
2014-11-27,8564,8564,8564,8564,0,VRG
2014-11-28,8564,8564,8564,8564,0,VRG
2014-12-01,8564,8564,8564,8564,0,VRG
2014-12-02,8564,8564,8564,8564,0,VRG
2014-12-03,8564,8564,8564,8564,0,VRG
2014-12-04,8564,8564,8564,8564,0,VRG
2014-12-05,8564,8564,8564,8564,0,VRG
2014-12-08,8564,8564,8564,8564,0,VRG
2014-12-09,8564,8564,8564,8564,0,VRG
2014-12-10,8564,8564,8564,8564,0,VRG
2014-12-11,8564,8564,8564,8564,0,VRG
2014-12-12,8564,8564,8564,8564,0,VRG
2014-12-15,8564,8564,8564,8564,0,VRG
2014-12-16,8564,8564,8564,8564,0,VRG
2014-12-17,8564,8564,8564,8564,0,VRG
2014-12-18,8564,8564,8564,8564,0,VRG
2014-12-19,8564,8564,8564,8564,0,VRG
2014-12-22,8564,8564,8564,8564,0,VRG
2014-12-23,8564,8564,8564,8564,0,VRG
2014-12-24,8564,8564,8564,8564,0,VRG
2014-12-25,8564,8564,8564,8564,0,VRG
2014-12-26,8564,8564,8564,8564,0,VRG
2014-12-29,8564,8564,8564,8564,0,VRG
2014-12-30,8564,8564,8564,8564,0,VRG
2014-12-31,8564,8564,8564,8564,0,VRG
2015-01-05,8564,8564,8564,8564,0,VRG
2015-01-06,8564,8564,8564,8564,0,VRG
2015-01-07,8564,8564,8564,8564,0,VRG
2015-01-08,8564,8564,8564,8564,0,VRG
2015-01-09,8564,8564,8564,8564,0,VRG
2015-01-12,8564,8564,8564,8564,0,VRG
2015-01-13,8564,8564,8564,8564,0,VRG
2015-01-14,8564,8564,8564,8564,0,VRG
2015-01-15,8564,8564,8564,8564,0,VRG
2015-01-16,8564,8564,8564,8564,0,VRG
2015-01-19,8564,8564,8564,8564,0,VRG
2015-01-20,8564,8564,8564,8564,0,VRG
2015-01-21,8564,8564,8564,8564,0,VRG
2015-01-22,8564,8564,8564,8564,0,VRG
2015-01-23,8564,8564,8564,8564,0,VRG
2015-01-26,8564,8564,8564,8564,0,VRG
2015-01-27,8564,8564,8564,8564,0,VRG
2015-01-28,8564,8564,8564,8564,0,VRG
2015-01-29,8564,8564,8564,8564,0,VRG
2015-01-30,8564,8564,8564,8564,0,VRG
2015-02-02,8564,8564,8564,8564,0,VRG
2015-02-03,8564,8564,8564,8564,0,VRG
2015-02-04,8564,8564,8564,8564,0,VRG
2015-02-05,8564,8564,8564,8564,0,VRG
2015-02-06,8564,8564,8564,8564,0,VRG
2015-02-09,8564,8564,8564,8564,0,VRG
2015-02-10,8564,8564,8564,8564,0,VRG
2015-02-11,8564,8564,8564,8564,0,VRG
2015-02-12,8564,8564,8564,8564,0,VRG
2015-02-13,8564,8564,8564,8564,0,VRG
2015-02-24,8564,8564,8564,8564,0,VRG
2015-02-25,8564,8564,8564,8564,0,VRG
2015-02-26,8564,8564,8564,8564,0,VRG
2015-02-27,8564,8564,8564,8564,0,VRG
2015-03-02,8564,8564,8564,8564,0,VRG
2015-03-03,8564,8564,8564,8564,0,VRG
2015-03-04,8564,8564,8564,8564,0,VRG
2015-03-05,8564,8564,8564,8564,0,VRG
2015-03-06,8564,8564,8564,8564,0,VRG
2015-03-09,5138,5138,5138,5138,200,VRG
2015-03-10,5138,5138,5138,5138,0,VRG
2015-03-11,5138,5138,5138,5138,0,VRG
2015-03-12,5138,5138,5138,5138,0,VRG
2015-03-13,5138,5138,5138,5138,0,VRG
2015-03-16,5138,5138,5138,5138,0,VRG
2015-03-17,5138,5138,5138,5138,0,VRG
2015-03-18,5138,5138,5138,5138,0,VRG
2015-03-19,5652,5652,5652,5652,100,VRG
2015-03-20,5652,5652,5652,5652,0,VRG
2015-03-23,5652,5652,5652,5652,0,VRG
2015-03-24,5652,5652,5652,5652,0,VRG
2015-03-25,5652,5652,5652,5652,0,VRG
2015-03-26,5652,5652,5652,5652,0,VRG
2015-03-27,5138,5138,5138,5138,100,VRG
2015-03-30,4624,4624,4624,4624,100,VRG
2015-03-31,4624,4624,4624,4624,0,VRG
2015-04-01,4624,4624,4624,4624,0,VRG
2015-04-02,4624,4624,4624,4624,0,VRG
2015-04-03,4196,4196,4196,4196,100,VRG
2015-04-06,3854,3854,3854,3854,100,VRG
2015-04-07,3511,3511,3511,3511,100,VRG
2015-04-08,3168,3168,3168,3168,100,VRG
2015-04-09,2911,2911,2911,2911,100,VRG
2015-04-10,2655,2655,2655,2655,1300,VRG
2015-04-13,2569,2569,2569,2569,1500,VRG
2015-04-14,2569,2569,2569,2569,0,VRG
2015-04-15,2569,2569,2569,2569,0,VRG
2015-04-16,2569,2569,2569,2569,0,VRG
2015-04-17,2569,2569,2569,2569,0,VRG
2015-04-20,2569,2569,2569,2569,0,VRG
2015-04-21,2569,2569,2569,2569,0,VRG
2015-04-22,2569,2569,2569,2569,0,VRG
2015-04-23,2569,2569,2569,2569,0,VRG
2015-04-24,2569,2569,2569,2569,0,VRG
2015-04-27,2569,2569,2569,2569,0,VRG
2015-05-04,2569,2569,2569,2569,0,VRG
2015-05-05,2569,2569,2569,2569,0,VRG
2015-05-06,2569,2569,2569,2569,0,VRG
2015-05-07,2569,2569,2569,2569,0,VRG
2015-05-08,2569,2569,2569,2569,0,VRG
2015-05-11,2569,2569,2569,2569,0,VRG
2015-05-12,2569,2569,2569,2569,0,VRG
2015-05-13,2569,2569,2569,2569,0,VRG
2015-05-14,2569,2569,2569,2569,0,VRG
2015-05-15,2569,2569,2569,2569,0,VRG
2015-05-18,2569,2569,2569,2569,0,VRG
2015-05-19,2569,2569,2569,2569,0,VRG
2015-05-20,2569,2569,2569,2569,0,VRG
2015-05-21,2569,2569,2569,2569,0,VRG
2015-05-22,2569,2569,2569,2569,0,VRG
2015-05-25,2569,2569,2569,2569,0,VRG
2015-05-26,2569,2569,2569,2569,0,VRG
2015-05-27,2569,2569,2569,2569,0,VRG
2015-05-28,2569,2569,2569,2569,0,VRG
2015-05-29,2569,2569,2569,2569,0,VRG
2015-06-01,2569,2569,2569,2569,0,VRG
2015-06-02,2569,2569,2569,2569,0,VRG
2015-06-03,2569,2569,2569,2569,0,VRG
2015-06-04,2569,2569,2569,2569,0,VRG
2015-06-05,2569,2569,2569,2569,0,VRG
2015-06-08,2569,2569,2569,2569,0,VRG
2015-06-09,2569,2569,2569,2569,0,VRG
2015-06-10,2569,2569,2569,2569,0,VRG
2015-06-11,2569,2569,2569,2569,0,VRG
2015-06-12,2569,2569,2569,2569,0,VRG
2015-06-15,2569,2569,2569,2569,0,VRG
2015-06-16,2569,2569,2569,2569,0,VRG
2015-06-17,2569,2569,2569,2569,0,VRG
2015-06-18,2569,2569,2569,2569,0,VRG
2015-06-19,2569,2569,2569,2569,0,VRG
2015-06-22,2569,2569,2569,2569,0,VRG
2015-06-23,2569,2569,2569,2569,0,VRG
2015-06-24,2569,2569,2569,2569,0,VRG
2015-06-25,2569,2569,2569,2569,0,VRG
2015-06-26,2569,2569,2569,2569,0,VRG
2015-06-29,2569,2569,2569,2569,0,VRG
2015-06-30,2569,2569,2569,2569,0,VRG
2015-07-01,2569,2569,2569,2569,0,VRG
2015-07-02,2569,2569,2569,2569,0,VRG
2015-07-03,2569,2569,2569,2569,0,VRG
2015-07-06,2569,2569,2569,2569,0,VRG
2015-07-07,2569,2569,2569,2569,0,VRG
2015-07-08,2569,2569,2569,2569,0,VRG
2015-07-09,2569,2569,2569,2569,0,VRG
2015-07-10,2569,2569,2569,2569,0,VRG
2015-07-13,2569,2569,2569,2569,0,VRG
