time,open,high,low,close,volume,ticker
2010-12-24,6609,6609,6609,6609,3040,VSI
2010-12-27,6609,6609,6471,6471,2500,VSI
2010-12-28,6168,6168,6168,6168,1070,VSI
2010-12-29,5865,6168,5865,5865,450,VSI
2010-12-30,5590,5590,5590,5590,190,VSI
2010-12-31,5315,5315,5315,5315,80,VSI
2011-01-04,5067,5315,5067,5067,170,VSI
2011-01-05,4819,4819,4819,4819,3860,VSI
2011-01-06,4599,4819,4599,4599,4690,VSI
2011-01-07,4378,4681,4378,4681,37770,VSI
2011-01-10,4516,4902,4461,4461,10250,VSI
2011-01-11,4681,4681,4241,4241,6540,VSI
2011-01-12,4433,4433,4075,4433,2660,VSI
2011-01-13,4433,4433,4213,4213,9980,VSI
2011-01-14,4323,4406,4323,4406,510,VSI
2011-01-17,4213,4599,4213,4599,640,VSI
2011-01-18,4378,4599,4378,4571,5200,VSI
2011-01-19,4351,4571,4351,4351,16400,VSI
2011-01-20,4406,4406,4185,4213,3150,VSI
2011-01-21,4048,4351,4020,4020,19260,VSI
2011-01-24,4185,4185,3855,3855,2090,VSI
2011-01-25,3993,3993,3855,3993,830,VSI
2011-01-26,4130,4130,3993,4130,600,VSI
2011-01-27,4296,4296,4103,4103,1550,VSI
2011-01-28,4103,4296,4103,4130,3790,VSI
2011-02-08,4130,4130,4130,4130,0,VSI
2011-02-09,4130,4130,3938,3938,2220,VSI
2011-02-10,4130,4130,3938,4130,130,VSI
2011-02-11,4075,4268,4020,4268,1470,VSI
2011-02-14,4103,4268,4103,4241,540,VSI
2011-02-15,4130,4241,4130,4130,6920,VSI
2011-02-16,4075,4130,4075,4075,300,VSI
2011-02-17,4020,4185,4020,4185,630,VSI
2011-02-18,4075,4185,4075,4075,1060,VSI
2011-02-21,3993,4075,3993,3993,710,VSI
2011-02-22,3855,3855,3855,3855,1800,VSI
2011-02-23,3855,3855,3855,3855,1820,VSI
2011-02-24,3800,3855,3800,3800,500,VSI
2011-02-25,3910,3910,3910,3910,1010,VSI
2011-02-28,4048,4048,3910,4048,20,VSI
2011-03-01,4020,4048,4020,4020,20,VSI
2011-03-02,3883,4020,3883,4020,520,VSI
2011-03-03,3883,3883,3827,3827,570,VSI
2011-03-04,3827,3827,3827,3827,510,VSI
2011-03-07,3827,3827,3827,3827,0,VSI
2011-03-08,3965,3965,3827,3965,10,VSI
2011-03-09,3965,3965,3965,3965,0,VSI
2011-03-10,4020,4020,3772,3772,160,VSI
2011-03-11,3827,3827,3772,3827,250,VSI
2011-03-14,3717,3827,3717,3717,500,VSI
2011-03-15,3855,3855,3552,3552,740,VSI
2011-03-16,3387,3662,3387,3387,5640,VSI
2011-03-17,3222,3552,3222,3277,11340,VSI
2011-03-18,3139,3139,3139,3139,6340,VSI
2011-03-21,3001,3029,3001,3001,12830,VSI
2011-03-22,2864,3084,2864,2864,9550,VSI
2011-03-23,3001,3001,2753,3001,290,VSI
2011-03-24,2864,3139,2864,2864,21100,VSI
2011-03-25,3001,3001,2864,3001,220,VSI
2011-03-28,3111,3139,3029,3029,8190,VSI
2011-03-29,3056,3111,3029,3111,40,VSI
2011-03-30,3111,3111,3029,3111,130,VSI
2011-03-31,3029,3111,3029,3111,1040,VSI
2011-04-01,2974,3111,2974,3111,1300,VSI
2011-04-04,3029,3111,2974,3084,1110,VSI
2011-04-05,2946,3084,2946,2946,310,VSI
2011-04-06,2809,3001,2809,3001,4310,VSI
2011-04-07,3084,3084,3001,3084,60,VSI
2011-04-08,3084,3084,3084,3084,20,VSI
2011-04-13,3084,3084,3084,3084,0,VSI
2011-04-14,3084,3084,3084,3084,450,VSI
2011-04-15,2974,3084,2974,3056,810,VSI
2011-04-18,2974,3056,2919,2919,140,VSI
2011-04-19,2781,2974,2781,2974,420,VSI
2011-04-20,2836,2974,2836,2974,770,VSI
2011-04-21,3001,3001,2974,3001,10,VSI
2011-04-22,2864,3001,2864,2974,510,VSI
2011-04-25,2836,2974,2836,2836,460,VSI
2011-04-26,2698,2836,2698,2698,500,VSI
2011-04-27,2698,2698,2698,2698,0,VSI
2011-04-28,2781,2781,2698,2698,210,VSI
2011-04-29,2726,2753,2698,2753,20,VSI
2011-05-04,2809,2809,2753,2809,20,VSI
2011-05-05,2864,2864,2809,2864,30,VSI
2011-05-06,2726,2864,2726,2726,50,VSI
2011-05-09,2643,2753,2643,2643,1020,VSI
2011-05-10,2561,2643,2561,2561,20,VSI
2011-05-11,2616,2616,2561,2616,100,VSI
2011-05-12,2616,2616,2561,2561,470,VSI
2011-05-13,2561,2561,2561,2561,0,VSI
2011-05-16,2561,2671,2506,2671,660,VSI
2011-05-17,2671,2671,2671,2671,0,VSI
2011-05-18,2561,2671,2561,2561,10,VSI
2011-05-19,2506,2561,2451,2561,2720,VSI
2011-05-20,2561,2616,2561,2616,1010,VSI
2011-05-23,2643,2643,2616,2643,10,VSI
2011-05-24,2616,2643,2616,2616,700,VSI
2011-05-25,2616,2616,2616,2616,10,VSI
2011-05-26,2561,2616,2561,2588,1100,VSI
2011-05-27,2588,2588,2588,2588,0,VSI
2011-05-30,2506,2588,2506,2506,1000,VSI
2011-05-31,2506,2506,2506,2506,10,VSI
2011-06-01,2506,2506,2506,2506,1010,VSI
2011-06-02,2395,2506,2395,2478,1110,VSI
2011-06-03,2478,2478,2478,2478,10,VSI
2011-06-06,2478,2478,2478,2478,0,VSI
2011-06-07,2478,2478,2478,2478,13000,VSI
2011-06-08,2478,2478,2478,2478,500,VSI
2011-06-09,2478,2478,2478,2478,0,VSI
2011-06-10,2451,2478,2451,2478,190,VSI
2011-06-13,2368,2478,2368,2478,2310,VSI
2011-06-14,2478,2478,2478,2478,1000,VSI
2011-06-15,2478,2478,2478,2478,0,VSI
2011-06-16,2451,2478,2451,2451,110,VSI
2011-06-17,2340,2451,2340,2340,190,VSI
2011-06-20,2395,2395,2340,2395,10,VSI
2011-06-21,2285,2395,2285,2285,110,VSI
2011-06-22,2175,2175,2175,2175,1500,VSI
2011-06-23,2092,2175,2092,2092,1200,VSI
2011-06-24,2010,2092,2010,2010,5600,VSI
2011-06-27,1927,2010,1927,1927,7300,VSI
2011-06-28,1845,1845,1845,1845,2270,VSI
2011-06-29,1927,1927,1817,1817,20,VSI
2011-06-30,1817,1817,1817,1817,0,VSI
2011-07-01,1900,1900,1817,1900,10,VSI
2011-07-04,1900,1900,1900,1900,1000,VSI
2011-07-05,1900,1955,1900,1955,20,VSI
2011-07-06,1900,1955,1872,1955,5490,VSI
2011-07-07,1872,1955,1872,1872,10,VSI
2011-07-08,1790,1927,1790,1817,110,VSI
2011-07-11,1900,1900,1817,1900,10,VSI
2011-07-12,1817,1817,1817,1817,1010,VSI
2011-07-13,1900,1900,1817,1817,2100,VSI
2011-07-14,1762,1762,1762,1762,10,VSI
2011-07-15,1734,1845,1707,1845,40,VSI
2011-07-18,1845,1845,1845,1845,0,VSI
2011-07-19,1817,1817,1790,1790,3110,VSI
2011-07-20,1762,1762,1762,1762,10,VSI
2011-07-21,1790,1790,1734,1734,2000,VSI
2011-07-22,1707,1817,1707,1817,3040,VSI
2011-07-25,1872,1872,1872,1872,10,VSI
2011-07-26,1872,1872,1872,1872,0,VSI
2011-07-27,1955,1955,1955,1955,10,VSI
2011-07-28,1872,1872,1872,1872,100,VSI
2011-07-29,1790,1872,1790,1872,110,VSI
2011-08-01,1790,1790,1790,1790,1460,VSI
2011-08-02,1872,1872,1707,1845,340,VSI
2011-08-03,1762,1927,1762,1845,710,VSI
2011-08-04,1927,1927,1762,1762,20,VSI
2011-08-05,1845,1845,1845,1845,20,VSI
2011-08-08,1762,1762,1762,1762,10,VSI
2011-08-09,1679,1817,1679,1679,2160,VSI
2011-08-10,1707,1734,1707,1734,150,VSI
2011-08-11,1790,1790,1790,1790,20,VSI
2011-08-12,1734,1872,1707,1872,420,VSI
2011-08-15,1790,1790,1790,1790,10,VSI
2011-08-16,1707,1872,1707,1707,1270,VSI
2011-08-17,1707,1707,1707,1707,20,VSI
2011-08-18,1762,1762,1707,1707,110,VSI
2011-08-19,1734,1790,1734,1790,520,VSI
2011-08-22,1700,1879,1700,1700,1020,VSI
2011-08-23,1760,1760,1760,1760,20,VSI
2011-08-24,1819,1819,1819,1819,30,VSI
2011-08-25,1909,1909,1909,1909,10,VSI
2011-08-26,1819,1849,1819,1849,310,VSI
2011-08-29,1909,1939,1909,1939,60,VSI
2011-08-30,2028,2028,2028,2028,1200,VSI
2011-08-31,1939,2088,1939,1939,4040,VSI
2011-09-01,1879,2028,1849,2028,1410,VSI
2011-09-05,1969,2088,1939,2088,8010,VSI
2011-09-06,2088,2088,2088,2088,0,VSI
2011-09-07,2118,2118,2028,2088,5030,VSI
2011-09-08,2088,2177,2058,2177,6070,VSI
2011-09-09,2177,2177,2177,2177,10,VSI
2011-09-12,2210,2210,2210,2210,810,VSI
2011-09-13,2242,2242,2242,2242,1060,VSI
2011-09-14,2340,2340,2307,2307,1840,VSI
2011-09-15,2307,2307,2307,2307,0,VSI
2011-09-16,2372,2372,2210,2275,30,VSI
2011-09-19,2275,2275,2275,2275,0,VSI
2011-09-20,2307,2307,2307,2307,10,VSI
2011-09-21,2210,2307,2210,2307,80,VSI
2011-09-22,2307,2307,2307,2307,0,VSI
2011-09-23,2210,2307,2210,2307,620,VSI
2011-09-26,2307,2307,2307,2307,0,VSI
2011-09-27,2307,2307,2307,2307,0,VSI
2011-09-28,2210,2307,2210,2307,130,VSI
2011-09-29,2307,2307,2307,2307,20,VSI
2011-09-30,2242,2242,2242,2242,50,VSI
2011-10-03,2145,2145,2145,2145,100,VSI
2011-10-04,2145,2242,2145,2242,8100,VSI
2011-10-05,2145,2275,2145,2275,110,VSI
2011-10-06,2372,2372,2210,2210,20,VSI
2011-10-07,2210,2210,2210,2210,340,VSI
2011-10-10,2210,2210,2210,2210,0,VSI
2011-10-11,2210,2210,2210,2210,0,VSI
2011-10-12,2210,2210,2210,2210,0,VSI
2011-10-13,2210,2210,2210,2210,0,VSI
2011-10-14,2210,2307,2210,2307,30,VSI
2011-10-17,2210,2405,2210,2405,40,VSI
2011-10-18,2405,2405,2405,2405,0,VSI
2011-10-19,2502,2502,2470,2470,30,VSI
2011-10-20,2470,2470,2470,2470,0,VSI
2011-10-21,2567,2567,2372,2470,670,VSI
2011-10-24,2470,2470,2470,2470,0,VSI
2011-10-25,2535,2535,2372,2502,1020,VSI
2011-10-26,2502,2502,2502,2502,0,VSI
2011-10-27,2405,2405,2405,2405,1030,VSI
2011-10-28,2405,2405,2405,2405,0,VSI
2011-10-31,2307,2307,2307,2307,10,VSI
2011-11-01,2405,2405,2405,2405,10,VSI
2011-11-02,2307,2307,2307,2307,520,VSI
2011-11-03,2307,2307,2307,2307,0,VSI
2011-11-04,2307,2307,2307,2307,0,VSI
2011-11-07,2405,2405,2210,2210,210,VSI
2011-11-08,2112,2275,2112,2275,1210,VSI
2011-11-09,2177,2307,2177,2177,2610,VSI
2011-11-10,2080,2080,2080,2080,960,VSI
2011-11-11,2177,2177,1982,2177,40,VSI
2011-11-14,2080,2080,2080,2080,30,VSI
2011-11-15,2177,2177,1982,2177,130,VSI
2011-11-16,2275,2275,2275,2275,210,VSI
2011-11-17,2372,2372,2372,2372,10,VSI
2011-11-18,2372,2372,2372,2372,200,VSI
2011-11-21,2372,2372,2372,2372,0,VSI
2011-11-22,2275,2275,2275,2275,20,VSI
2011-11-23,2275,2275,2275,2275,0,VSI
2011-11-24,2177,2177,2177,2177,20,VSI
2011-11-25,2210,2210,2210,2210,10,VSI
2011-11-28,2307,2307,2307,2307,10,VSI
2011-11-29,2307,2307,2307,2307,0,VSI
2011-11-30,2307,2307,2307,2307,0,VSI
2011-12-01,2307,2307,2307,2307,0,VSI
2011-12-02,2307,2307,2307,2307,0,VSI
2011-12-05,2275,2275,2275,2275,10,VSI
2011-12-06,2372,2372,2372,2372,10,VSI
2011-12-07,2275,2275,2275,2275,100,VSI
2011-12-08,2372,2372,2372,2372,10,VSI
2011-12-09,2275,2275,2275,2275,10,VSI
2011-12-12,2177,2177,2177,2177,20,VSI
2011-12-13,2275,2275,2080,2275,150,VSI
2011-12-14,2177,2307,2177,2177,170,VSI
2011-12-15,2080,2275,2080,2080,600,VSI
2011-12-16,1982,2177,1982,2177,290,VSI
2011-12-19,2080,2080,2080,2080,100,VSI
2011-12-20,1982,1982,1982,1982,200,VSI
2011-12-21,1885,1885,1885,1885,1660,VSI
2011-12-22,1820,1820,1820,1820,100,VSI
2011-12-23,1755,1755,1755,1755,750,VSI
2011-12-26,1690,1690,1690,1690,450,VSI
2011-12-27,1625,1625,1625,1625,150,VSI
2011-12-28,1560,1560,1560,1560,150,VSI
2011-12-29,1495,1495,1495,1495,10,VSI
2011-12-30,1430,1495,1430,1430,4630,VSI
2012-01-03,1495,1495,1365,1365,2510,VSI
2012-01-04,1300,1365,1300,1300,6110,VSI
2012-01-05,1235,1365,1235,1300,40,VSI
2012-01-06,1365,1365,1300,1300,20,VSI
2012-01-09,1235,1365,1235,1332,30,VSI
2012-01-10,1332,1397,1332,1397,520,VSI
2012-01-11,1365,1462,1365,1462,20,VSI
2012-01-12,1527,1527,1495,1527,120,VSI
2012-01-13,1592,1592,1592,1592,60,VSI
2012-01-16,1592,1592,1592,1592,660,VSI
2012-01-17,1592,1657,1592,1657,20,VSI
2012-01-18,1722,1722,1657,1657,30,VSI
2012-01-19,1657,1722,1657,1722,120,VSI
2012-01-20,1787,1787,1787,1787,10,VSI
2012-01-30,1852,1852,1852,1852,50,VSI
2012-01-31,1917,1917,1917,1917,690,VSI
2012-02-01,1982,1982,1982,1982,630,VSI
2012-02-02,2080,2080,2080,2080,300,VSI
2012-02-03,2177,2177,2080,2177,10220,VSI
2012-02-06,2275,2275,2112,2242,1210,VSI
2012-02-07,2340,2340,2340,2340,160,VSI
2012-02-08,2340,2340,2275,2275,1490,VSI
2012-02-09,2275,2275,2210,2275,1680,VSI
2012-02-10,2275,2275,2242,2275,860,VSI
2012-02-13,2177,2275,2177,2275,4190,VSI
2012-02-14,2177,2177,2177,2177,10,VSI
2012-02-15,2275,2275,2275,2275,20,VSI
2012-02-16,2275,2275,2177,2177,60,VSI
2012-02-17,2177,2275,2177,2275,2060,VSI
2012-02-20,2275,2372,2275,2372,30,VSI
2012-02-21,2275,2437,2275,2437,620,VSI
2012-02-22,2340,2535,2340,2372,550,VSI
2012-02-23,2275,2275,2275,2275,30,VSI
2012-02-24,2210,2210,2210,2210,3180,VSI
2012-02-27,2177,2210,2177,2177,10520,VSI
2012-02-28,2177,2177,2145,2145,80,VSI
2012-02-29,2145,2145,2145,2145,50,VSI
2012-03-01,2047,2242,2047,2047,170,VSI
2012-03-02,2145,2145,2080,2080,190,VSI
2012-03-05,2177,2177,2177,2177,500,VSI
2012-03-06,2275,2275,2275,2275,6110,VSI
2012-03-07,2275,2372,2275,2275,1790,VSI
2012-03-08,2275,2275,2275,2275,0,VSI
2012-03-09,2275,2275,2275,2275,310,VSI
2012-03-12,2372,2372,2307,2307,40,VSI
2012-03-13,2405,2405,2405,2405,2660,VSI
2012-03-14,2502,2502,2502,2502,40,VSI
2012-03-15,2600,2600,2600,2600,120,VSI
2012-03-16,2730,2730,2730,2730,1160,VSI
2012-03-19,2730,2730,2730,2730,1620,VSI
2012-03-20,2632,2665,2600,2665,2940,VSI
2012-03-21,2535,2763,2535,2763,2000,VSI
2012-03-22,2893,2893,2893,2893,1370,VSI
2012-03-23,3023,3023,3023,3023,1270,VSI
2012-03-26,2893,3120,2893,2893,1040,VSI
2012-03-27,2958,2990,2795,2795,3220,VSI
2012-03-28,2925,2925,2893,2925,6210,VSI
2012-03-29,2795,2795,2795,2795,4020,VSI
2012-03-30,2795,2795,2795,2795,1180,VSI
2012-04-03,2795,2795,2698,2698,3450,VSI
2012-04-04,2698,2698,2600,2600,2170,VSI
2012-04-05,2730,2730,2600,2600,140,VSI
2012-04-06,2535,2698,2535,2698,40,VSI
