time,open,high,low,close,volume,ticker
2018-06-06,4875,4875,4875,4875,0,VTE
2018-06-07,4875,4875,4875,4875,0,VTE
2018-06-08,4875,4875,4875,4875,0,VTE
2018-06-11,4875,4875,4875,4875,0,VTE
2018-06-12,4875,4875,4875,4875,0,VTE
2018-06-13,4160,4160,4160,4160,100,VTE
2018-06-14,4160,4160,4160,4160,0,VTE
2018-06-15,4160,4160,4160,4160,0,VTE
2018-06-18,4160,4160,4160,4160,0,VTE
2018-06-19,3578,3578,3578,3578,100,VTE
2018-06-20,3041,3041,3041,3041,100,VTE
2018-06-21,2594,2594,2594,2594,500,VTE
2018-06-22,2236,2236,2236,2236,100,VTE
2018-06-25,1923,1923,1923,1923,1000,VTE
2018-06-26,1655,1655,1655,1655,3000,VTE
2018-06-27,1565,1744,1476,1744,2600,VTE
2018-06-28,1744,1744,1341,1610,1300,VTE
2018-06-29,1386,1386,1386,1386,700,VTE
2018-07-02,1252,1252,1207,1207,3700,VTE
2018-07-03,1118,1118,1073,1073,400,VTE
2018-07-04,1073,1073,1073,1073,0,VTE
2018-07-05,984,984,984,984,1800,VTE
2018-07-06,1118,1118,894,1073,2100,VTE
2018-07-09,1028,1028,1028,1028,0,VTE
2018-07-10,1028,1028,1028,1028,0,VTE
2018-07-11,1163,1163,1073,1073,300,VTE
2018-07-12,1118,1118,1118,1118,0,VTE
2018-07-13,1118,1118,1118,1118,0,VTE
2018-07-16,1163,1207,1163,1207,600,VTE
2018-07-17,1207,1207,1207,1207,100,VTE
2018-07-18,1028,1028,1028,1028,100,VTE
2018-07-19,1028,1028,1028,1028,0,VTE
2018-07-20,1163,1163,1163,1163,500,VTE
2018-07-23,1163,1163,1163,1163,0,VTE
2018-07-24,1207,1207,1207,1207,500,VTE
2018-07-25,1073,1163,1073,1073,28600,VTE
2018-07-26,1118,1118,1118,1118,0,VTE
2018-07-27,1118,1118,1118,1118,0,VTE
2018-07-30,1118,1118,1118,1118,0,VTE
2018-07-31,1118,1118,1118,1118,1400,VTE
2018-08-01,1118,1118,1118,1118,20,VTE
2018-08-02,1118,1118,1118,1118,0,VTE
2018-08-03,1118,1118,1118,1118,0,VTE
2018-08-06,1118,1118,1118,1118,0,VTE
2018-08-07,1118,1118,1118,1118,0,VTE
2018-08-08,1118,1118,1118,1118,0,VTE
2018-08-09,1252,1252,1252,1252,900,VTE
2018-08-10,1252,1252,1252,1252,0,VTE
2018-08-13,1252,1252,1252,1252,0,VTE
2018-08-14,1252,1252,1252,1252,2,VTE
2018-08-15,1252,1252,1252,1252,0,VTE
2018-08-16,1252,1252,1252,1252,2,VTE
2018-08-17,1252,1252,1252,1252,0,VTE
2018-08-20,1252,1252,1252,1252,0,VTE
2018-08-21,1252,1252,1252,1252,0,VTE
2018-08-22,1252,1252,1252,1252,0,VTE
2018-08-23,1252,1252,1252,1252,0,VTE
2018-08-24,1386,1386,1386,1386,100,VTE
2018-08-27,1565,1565,1565,1565,100,VTE
2018-08-28,1744,1744,1744,1744,100,VTE
2018-08-29,1744,1744,1744,1744,0,VTE
2018-08-30,1744,1744,1744,1744,0,VTE
2018-08-31,1744,1744,1744,1744,0,VTE
2018-09-04,1923,1923,1923,1923,100,VTE
2018-09-05,1923,1923,1923,1923,0,VTE
2018-09-06,1923,1923,1923,1923,0,VTE
2018-09-07,2147,2147,2147,2147,100,VTE
2018-09-10,2415,2415,2415,2415,100,VTE
2018-09-11,2415,2415,2415,2415,0,VTE
2018-09-12,2415,2415,2415,2415,0,VTE
2018-09-13,2415,2415,2415,2415,0,VTE
2018-09-14,2415,2415,2415,2415,0,VTE
2018-09-17,2415,2415,2415,2415,0,VTE
2018-09-18,2415,2415,2415,2415,0,VTE
2018-09-19,2415,2415,2415,2415,0,VTE
2018-09-20,2415,2415,2415,2415,0,VTE
2018-09-21,2639,2639,2639,2639,100,VTE
2018-09-24,2639,2639,2639,2639,0,VTE
2018-09-25,2639,2639,2639,2639,0,VTE
2018-09-26,2639,2639,2639,2639,0,VTE
2018-09-27,2639,2639,2639,2639,0,VTE
2018-09-28,2639,2639,2639,2639,0,VTE
2018-10-01,2281,2281,2281,2281,200,VTE
2018-10-02,2594,2594,2594,2594,100,VTE
2018-10-03,2683,2683,2683,2683,800,VTE
2018-10-04,2683,2683,2683,2683,0,VTE
2018-10-05,2683,2683,2683,2683,0,VTE
2018-10-08,2683,2683,2683,2683,0,VTE
2018-10-09,2683,2683,2683,2683,0,VTE
2018-10-10,2683,2683,2683,2683,0,VTE
2018-10-11,2683,2683,2683,2683,0,VTE
2018-10-12,2683,2683,2683,2683,0,VTE
2018-10-15,2683,2683,2683,2683,0,VTE
2018-10-16,2683,2683,2683,2683,0,VTE
2018-10-17,2683,2683,2683,2683,0,VTE
2018-10-18,2683,2683,2683,2683,0,VTE
2018-10-19,2683,2683,2683,2683,0,VTE
2018-10-22,2683,2683,2683,2683,0,VTE
2018-10-23,2683,2683,2683,2683,0,VTE
2018-10-24,2683,2683,2683,2683,0,VTE
2018-10-25,2683,2683,2683,2683,0,VTE
2018-10-26,2683,2683,2683,2683,0,VTE
2018-10-29,2683,2683,2683,2683,0,VTE
2018-10-30,2683,2683,2683,2683,0,VTE
2018-10-31,2683,2683,2683,2683,0,VTE
2018-11-01,2683,2683,2683,2683,0,VTE
2018-11-02,2683,2683,2683,2683,0,VTE
2018-11-05,2683,2683,2683,2683,0,VTE
2018-11-06,2683,2683,2683,2683,0,VTE
2018-11-07,2730,2730,2730,2730,100,VTE
2018-11-08,2730,2730,2730,2730,0,VTE
2018-11-09,2730,2730,2730,2730,0,VTE
2018-11-12,2730,2730,2730,2730,0,VTE
2018-11-13,2730,2730,2730,2730,0,VTE
2018-11-14,2730,2730,2730,2730,0,VTE
2018-11-15,2730,2730,2730,2730,0,VTE
2018-11-16,2730,2730,2730,2730,0,VTE
2018-11-19,2730,2730,2730,2730,0,VTE
2018-11-20,2730,2730,2730,2730,0,VTE
2018-11-21,2730,2730,2730,2730,0,VTE
2018-11-22,2730,2730,2730,2730,0,VTE
2018-11-23,2730,2730,2730,2730,0,VTE
2018-11-26,2730,2730,2730,2730,0,VTE
2018-11-27,2730,2730,2730,2730,0,VTE
2018-11-28,2730,2730,2730,2730,0,VTE
2018-11-29,2730,2730,2730,2730,0,VTE
2018-11-30,2730,2730,2730,2730,0,VTE
2018-12-03,2730,2730,2730,2730,0,VTE
2018-12-04,2730,2730,2730,2730,0,VTE
2018-12-05,2730,2730,2730,2730,0,VTE
2018-12-06,2730,2730,2730,2730,0,VTE
2018-12-07,2730,2730,2730,2730,0,VTE
2018-12-10,2730,2730,2730,2730,0,VTE
2018-12-11,2730,2730,2730,2730,100,VTE
2018-12-12,2730,2730,2730,2730,0,VTE
2018-12-13,2730,2730,2730,2730,0,VTE
2018-12-14,2730,2730,2730,2730,0,VTE
2018-12-17,2730,2730,2730,2730,0,VTE
