time,open,high,low,close,volume,ticker
2021-11-25,12997,12997,12997,12997,100,VTZ
2021-11-26,14218,14218,14218,14218,100,VTZ
2021-11-29,15614,15614,15526,15614,1110100,VTZ
2021-11-30,17097,17097,14829,14829,421800,VTZ
2021-12-01,15265,15265,13520,14829,16700,VTZ
2021-12-02,13346,14392,13346,13346,96600,VTZ
2021-12-03,12037,12037,12037,12037,59100,VTZ
2021-12-06,10903,11776,10903,10903,596300,VTZ
2021-12-07,10903,11863,10903,11776,58000,VTZ
2021-12-08,12212,12822,12212,12473,138100,VTZ
2021-12-09,12212,12212,11252,11601,244100,VTZ
2021-12-10,11427,11776,10903,11514,65800,VTZ
2021-12-13,11601,11776,10990,11252,93100,VTZ
2021-12-14,11339,11514,10990,11252,154400,VTZ
2021-12-15,11165,11252,10990,11252,120400,VTZ
2021-12-16,11252,11252,10816,11165,112000,VTZ
2021-12-17,11165,11165,10729,11078,92200,VTZ
2021-12-20,11078,11078,10380,10642,45400,VTZ
2021-12-21,10554,10990,10467,10990,77800,VTZ
2021-12-22,11165,11339,10554,10642,82400,VTZ
2021-12-23,10990,10990,10467,10729,56600,VTZ
2021-12-24,10467,10816,10467,10642,58000,VTZ
2021-12-27,10642,10729,10380,10380,98700,VTZ
2021-12-28,10642,10642,10293,10642,163500,VTZ
2021-12-29,10642,10903,10467,10729,36400,VTZ
2021-12-30,10729,10816,10467,10729,40600,VTZ
2021-12-31,10642,10642,10467,10467,25000,VTZ
2022-01-04,10380,10642,10293,10642,181800,VTZ
2022-01-05,10729,11165,10729,10816,88300,VTZ
2022-01-06,10816,10816,10467,10467,92400,VTZ
2022-01-07,10642,10642,10380,10642,120200,VTZ
2022-01-10,10554,11165,10554,10554,209100,VTZ
2022-01-11,10816,10903,10554,10729,137000,VTZ
2022-01-12,10816,11165,10293,10467,88500,VTZ
2022-01-13,10467,10642,10293,10467,64400,VTZ
2022-01-14,10467,10467,10293,10467,47200,VTZ
2022-01-17,10467,10554,10293,10380,69000,VTZ
2022-01-18,10380,10467,10205,10205,37200,VTZ
2022-01-19,9769,10293,9769,10118,33700,VTZ
2022-01-20,10118,10380,10031,10293,71200,VTZ
2022-01-21,10293,10380,10118,10380,21600,VTZ
2022-01-24,10293,10467,10205,10293,82900,VTZ
