time,open,high,low,close,volume,ticker
2022-10-07,18000,20300,18000,20300,12100,VVS
2022-10-10,22000,23000,22000,23000,11000,VVS
2022-10-11,25500,25800,22000,22000,7900,VVS
2022-10-12,22000,23000,22000,23000,3400,VVS
2022-10-13,23000,23000,20000,20000,1900,VVS
2022-10-14,20000,23600,20000,23300,1200,VVS
2022-10-17,20100,20100,19900,19900,2900,VVS
2022-10-18,22800,22800,22800,22800,100,VVS
2022-10-19,26200,26200,20000,21500,3200,VVS
2022-10-20,20000,22500,20000,22500,10700,VVS
2022-10-21,21400,21500,19900,21400,7900,VVS
2022-10-24,20500,21000,20000,21000,4900,VVS
2022-10-25,19000,19400,17600,19400,16400,VVS
2022-10-26,18500,18700,18500,18700,7500,VVS
2022-10-27,16700,18800,16700,18800,10000,VVS
2022-10-28,16800,18800,16800,18700,7000,VVS
2022-10-31,16500,16500,16500,16500,100,VVS
2022-11-01,17000,18500,17000,18500,2400,VVS
2022-11-02,16100,16100,16000,16000,800,VVS
2022-11-03,16100,18400,15500,18000,48100,VVS
2022-11-04,16500,17000,16500,17000,3200,VVS
2022-11-07,17000,17300,17000,17300,9100,VVS
2022-11-08,17500,17700,17500,17700,4400,VVS
2022-11-09,17700,17700,17700,17700,2100,VVS
2022-11-10,16500,17400,16500,17400,6600,VVS
2022-11-11,17500,17500,17500,17500,100,VVS
2022-11-14,17500,17500,17500,17500,2700,VVS
2022-11-15,17600,17600,17600,17600,900,VVS
2022-11-16,17800,17800,16900,16900,1800,VVS
2022-11-17,17700,17700,16500,16500,6100,VVS
2022-11-18,17100,17100,17100,17100,1000,VVS
2022-11-21,16300,17300,16000,17300,27200,VVS
2022-11-22,17500,17500,17500,17500,1900,VVS
2022-11-23,17600,17600,17100,17100,4300,VVS
2022-11-24,17200,17200,16400,17200,9000,VVS
2022-11-25,17200,17500,17200,17500,6600,VVS
2022-11-28,16800,17700,16800,17500,6400,VVS
2022-11-29,17000,18000,16600,18000,9400,VVS
2022-11-30,18000,18900,17400,18900,17000,VVS
2022-12-01,18400,18400,18400,18400,1500,VVS
2022-12-02,17200,18400,17200,18400,2300,VVS
2022-12-05,18300,18700,18300,18700,2000,VVS
2022-12-06,18900,18900,17100,17100,3100,VVS
2022-12-07,17900,18700,17900,18700,2200,VVS
2022-12-08,18500,18500,18400,18500,2900,VVS
2022-12-09,18500,18800,18500,18800,1500,VVS
2022-12-12,18700,18700,18700,18700,0,VVS
2022-12-13,17000,18900,17000,18900,5800,VVS
2022-12-14,18500,18500,18000,18000,6500,VVS
2022-12-15,19000,19000,18700,18700,7700,VVS
2022-12-16,18200,18200,18200,18200,1000,VVS
2022-12-19,18500,18500,18500,18500,4600,VVS
2022-12-20,18500,18500,18500,18500,1000,VVS
2022-12-21,17000,17000,17000,17000,1100,VVS
2022-12-22,16500,18500,16300,18200,25900,VVS
2022-12-23,17600,17900,17400,17900,7700,VVS
2022-12-26,17900,18900,17900,17900,5500,VVS
2022-12-27,18000,18900,18000,18000,9700,VVS
2022-12-28,18200,18400,18000,18400,4200,VVS
2022-12-29,18500,19100,18500,19100,3300,VVS
2022-12-30,18900,21000,18900,18900,7400,VVS
2023-01-03,19800,19800,19800,19800,100,VVS
2023-01-04,20000,20000,20000,20000,1200,VVS
2023-01-05,20400,20900,20400,20900,2700,VVS
2023-01-06,21500,22000,18300,18300,3100,VVS
2023-01-09,21000,21800,18800,21400,5700,VVS
2023-01-10,18400,21400,18400,21400,3200,VVS
2023-01-11,21300,21300,21300,21300,1000,VVS
2023-01-12,21300,21300,21300,21300,0,VVS
2023-01-13,21300,21300,21300,21300,0,VVS
2023-01-16,21600,22300,18500,22300,4200,VVS
2023-01-17,21100,21100,21100,21100,0,VVS
2023-01-18,21600,22200,21000,21000,2300,VVS
2023-01-19,21800,21800,21800,21800,0,VVS
2023-01-27,22300,22800,22300,22800,2500,VVS
2023-01-30,20100,22000,20100,22000,1100,VVS
2023-01-31,21700,21700,21700,21700,2100,VVS
2023-02-01,22000,22500,19100,22000,4300,VVS
2023-02-02,21500,21500,21500,21500,0,VVS
2023-02-03,21500,21500,21500,21500,0,VVS
2023-02-06,21500,21500,21500,21500,0,VVS
2023-02-07,21800,21800,21500,21500,1900,VVS
2023-02-08,21800,21800,21800,21800,0,VVS
2023-02-09,21800,21800,21800,21800,0,VVS
