time,open,high,low,close,volume,ticker
2020-04-23,11241,11241,11241,11241,2500,VW3
2020-04-24,11241,11241,11241,11241,0,VW3
2020-04-27,11241,11241,11241,11241,0,VW3
2020-04-28,11241,11241,11241,11241,0,VW3
2020-04-29,10589,10589,10589,10589,100,VW3
2020-05-04,10589,10589,10589,10589,0,VW3
2020-05-05,10589,10589,10589,10589,0,VW3
2020-05-06,10589,10589,10589,10589,1400,VW3
2020-05-07,10589,10589,10589,10589,0,VW3
2020-05-08,12137,12137,12137,12137,100,VW3
2020-05-11,13929,13929,13929,13929,100,VW3
2020-05-12,13929,13929,13929,13929,0,VW3
2020-05-13,13929,13929,13929,13929,0,VW3
2020-05-14,15965,15965,15965,15965,100,VW3
2020-05-15,15965,15965,15965,15965,0,VW3
2020-05-18,18328,18328,18328,18328,100,VW3
2020-05-19,18328,18328,18328,18328,0,VW3
2020-05-20,18328,18328,18328,18328,0,VW3
2020-05-21,18328,18328,18328,18328,0,VW3
2020-05-22,15640,21016,15640,21016,200,VW3
2020-05-25,18328,18328,18328,18328,0,VW3
2020-05-26,18328,18328,18328,18328,0,VW3
2020-05-27,18328,18328,18328,18328,0,VW3
2020-05-28,18328,18328,18328,18328,0,VW3
2020-05-29,15640,15640,15640,15640,100,VW3
2020-06-01,17921,17921,13359,13359,500,VW3
2020-06-02,12137,12137,12137,12137,200,VW3
2020-06-03,10345,10345,10345,10345,1200,VW3
2020-06-04,8797,8797,8797,8797,1600,VW3
2020-06-05,7494,10100,7494,10100,2300,VW3
2020-06-08,7575,7575,7575,7575,0,VW3
2020-06-09,7575,7575,7575,7575,0,VW3
2020-06-10,7575,8553,7575,8553,3800,VW3
2020-06-11,8145,8634,8145,8634,4000,VW3
2020-06-12,9612,9612,8145,8145,2000,VW3
2020-06-15,8716,8716,7331,7331,700,VW3
2020-06-16,8879,8879,8145,8145,1800,VW3
2020-06-17,8145,8145,8145,8145,100,VW3
2020-06-18,7982,7982,7982,7982,800,VW3
2020-06-19,7982,8879,6924,8879,1000,VW3
2020-06-22,7820,7820,6761,7738,1300,VW3
2020-06-23,7575,7575,7575,7575,200,VW3
2020-06-24,7494,7494,7494,7494,500,VW3
2020-06-25,7494,7494,7494,7494,100,VW3
2020-06-26,8553,8553,8553,8553,100,VW3
2020-06-29,8227,8227,8227,8227,100,VW3
2020-06-30,8145,8145,8145,8145,1000,VW3
2020-07-01,8145,8145,8145,8145,0,VW3
2020-07-02,8145,8145,8145,8145,0,VW3
2020-07-03,8145,8145,7331,7331,710,VW3
2020-07-06,7575,7575,7575,7575,0,VW3
2020-07-07,6924,6924,6924,6924,200,VW3
2020-07-08,6924,6924,6924,6924,810,VW3
2020-07-09,6924,6924,6924,6924,2500,VW3
2020-07-10,6924,7901,6353,6924,15200,VW3
2020-07-13,7005,7901,7005,7901,2000,VW3
2020-07-14,7249,7331,7249,7331,1700,VW3
2020-07-15,6761,7331,6679,6679,2400,VW3
2020-07-16,7168,7331,7168,7331,3040,VW3
2020-07-17,7249,7331,6924,6924,2300,VW3
2020-07-20,6924,6924,6679,6679,900,VW3
2020-07-21,6679,6679,6190,6190,500,VW3
2020-07-22,6924,7168,6190,6190,4400,VW3
2020-07-23,6516,6516,6516,6516,100,VW3
2020-07-24,7005,7005,7005,7005,300,VW3
