time,open,high,low,close,volume,ticker
2017-01-06,13802,13802,13802,13802,2000,VWS
2017-01-09,15315,15315,15315,15315,900,VWS
2017-01-10,17555,17555,17555,17555,500,VWS
2017-01-11,17555,17555,17555,17555,0,VWS
2017-01-12,17555,17555,17555,17555,0,VWS
2017-01-13,17555,17555,17555,17555,0,VWS
2017-01-16,17555,17555,17555,17555,0,VWS
2017-01-17,17555,17555,17555,17555,0,VWS
2017-01-18,17555,17555,17555,17555,0,VWS
2017-01-19,17555,17555,17555,17555,0,VWS
2017-01-20,17555,17555,17555,17555,0,VWS
2017-01-23,17555,17555,17555,17555,0,VWS
2017-01-24,17555,17555,17555,17555,0,VWS
2017-01-25,17555,17555,17555,17555,0,VWS
2017-02-02,17555,17555,17555,17555,0,VWS
2017-02-03,14952,14952,14952,14952,100,VWS
2017-02-06,12712,17192,12712,17192,300,VWS
2017-02-07,14528,14528,14528,14528,600,VWS
2017-02-08,14528,14528,14528,14528,0,VWS
2017-02-09,15133,15133,15133,15133,300,VWS
2017-02-10,15133,15436,15133,15436,700,VWS
2017-02-13,15133,15436,13015,13015,1400,VWS
2017-02-14,13983,13983,13983,13983,0,VWS
2017-02-15,15860,15860,15860,15860,700,VWS
2017-02-16,16223,16223,13499,16163,900,VWS
2017-02-17,15315,15315,15315,15315,0,VWS
2017-02-20,15315,15315,15315,15315,0,VWS
2017-02-21,13075,13075,13075,13075,300,VWS
2017-02-22,11138,13560,11138,13560,2200,VWS
2017-02-23,12833,12833,12833,12833,100,VWS
2017-02-24,13560,13560,13560,13560,100,VWS
2017-02-27,15497,15497,15497,15497,100,VWS
2017-02-28,15497,15497,15497,15497,0,VWS
2017-03-01,17494,17494,13196,13196,200,VWS
2017-03-02,15376,15376,15376,15376,0,VWS
2017-03-03,15376,15376,15376,15376,0,VWS
2017-03-06,15376,15376,15376,15376,0,VWS
2017-03-07,15376,15376,15376,15376,0,VWS
2017-03-08,15376,15376,15376,15376,0,VWS
2017-03-09,15376,15376,15376,15376,0,VWS
2017-03-10,15376,15376,15376,15376,0,VWS
2017-03-13,15376,15376,15376,15376,0,VWS
2017-03-14,15376,15376,15376,15376,0,VWS
2017-03-15,15376,15376,15376,15376,0,VWS
2017-03-16,15376,15376,15376,15376,0,VWS
2017-03-17,15376,15376,15376,15376,0,VWS
2017-03-20,15376,15376,15376,15376,0,VWS
2017-03-21,15376,15376,15376,15376,0,VWS
