time,open,high,low,close,volume,ticker
2018-02-05,14314,14314,14314,14314,2100,X20
2018-02-06,15695,15695,15695,15695,900,X20
2018-02-07,17221,17221,17221,17221,200,X20
2018-02-08,18166,18166,18166,18166,500,X20
2018-02-09,18166,18166,18166,18166,0,X20
2018-02-12,16712,16712,16712,16712,2000,X20
2018-02-13,16712,16712,16712,16712,0,X20
2018-02-21,17439,17439,17439,17439,400,X20
2018-02-22,17439,17439,17439,17439,0,X20
2018-02-23,18166,18166,18166,18166,100,X20
2018-02-26,17439,17439,17076,17076,300,X20
2018-02-27,15404,15404,15404,15404,700,X20
2018-02-28,15404,15404,15404,15404,0,X20
2018-03-01,15332,15332,15332,15332,100,X20
2018-03-02,16858,16858,16858,16858,100,X20
2018-03-05,16858,16858,16858,16858,0,X20
2018-03-06,16858,16858,16858,16858,0,X20
2018-03-07,16930,18529,16930,18529,200,X20
2018-03-08,18529,18529,18529,18529,0,X20
2018-03-09,18529,18529,18529,18529,0,X20
2018-03-12,18892,18892,18820,18820,200,X20
2018-03-13,18820,18820,18820,18820,0,X20
2018-03-14,18820,18820,18820,18820,0,X20
2018-03-15,18820,18820,18820,18820,0,X20
2018-03-16,18093,18093,17730,17730,200,X20
2018-03-19,15986,15986,15986,15986,100,X20
2018-03-20,14387,14387,14387,14387,100,X20
2018-03-21,14387,14387,13006,13006,300,X20
2018-03-22,11771,14242,11771,14242,200,X20
2018-03-23,15550,15550,15550,15550,1600,X20
2018-03-26,15550,15550,15550,15550,0,X20
2018-03-27,15550,15550,15550,15550,0,X20
2018-03-28,16858,16858,16858,16858,100,X20
2018-03-29,17294,17294,17294,17294,100,X20
2018-03-30,17294,17294,17294,17294,0,X20
2018-04-02,17294,17294,17294,17294,0,X20
2018-04-03,17294,17294,17294,17294,0,X20
2018-04-04,17294,17294,17294,17294,0,X20
2018-04-05,15622,15622,15622,15622,500,X20
2018-04-06,16276,16276,16276,16276,100,X20
2018-04-09,16276,16276,16276,16276,0,X20
2018-04-10,16276,16276,16276,16276,0,X20
2018-04-11,16276,16276,16276,16276,0,X20
2018-04-12,14678,14678,14678,14678,100,X20
2018-04-13,13224,13224,13224,13224,100,X20
2018-04-16,13224,13224,13224,13224,0,X20
2018-04-17,11916,11916,11916,11916,200,X20
2018-04-18,11916,11916,11916,11916,0,X20
2018-04-19,10754,10754,10754,10754,100,X20
2018-04-20,9737,11771,9737,11771,1300,X20
2018-04-23,11771,11771,11771,11771,0,X20
2018-04-24,11771,11771,11771,11771,0,X20
2018-04-26,11771,11771,11771,11771,0,X20
2018-04-27,11771,11771,11771,11771,0,X20
2018-05-02,11771,11771,11771,11771,0,X20
2018-05-03,11771,11771,11771,11771,0,X20
2018-05-04,10609,10609,10609,10609,4000,X20
2018-05-07,9591,11626,9591,11626,200,X20
2018-05-08,11626,11626,11626,11626,200,X20
2018-05-09,11626,11626,11626,11626,300,X20
2018-05-10,11626,11626,11626,11626,0,X20
2018-05-11,11626,11626,11626,11626,200,X20
2018-05-14,11626,11626,11626,11626,0,X20
2018-05-15,11626,11626,11626,11626,0,X20
2018-05-16,11626,11626,11626,11626,0,X20
2018-05-17,11626,11626,11626,11626,0,X20
2018-05-18,11626,11626,11626,11626,0,X20
2018-05-21,11626,11626,11626,11626,0,X20
2018-05-22,11626,11626,11626,11626,0,X20
2018-05-23,11626,11626,11626,11626,0,X20
2018-05-24,11626,11626,11626,11626,0,X20
2018-05-25,10463,10463,10463,10463,19400,X20
2018-05-28,10463,10463,10463,10463,0,X20
2018-05-29,9446,11408,9446,11408,12300,X20
2018-05-30,11408,11408,11408,11408,0,X20
2018-05-31,11408,11408,11408,11408,0,X20
2018-06-01,11408,11408,11408,11408,0,X20
2018-06-04,11408,11408,11408,11408,0,X20
2018-06-05,11408,11408,11408,11408,0,X20
2018-06-06,11408,11408,11408,11408,0,X20
2018-06-07,11408,11408,11408,11408,0,X20
2018-06-08,11408,11408,11408,11408,0,X20
2018-06-11,11408,11408,11408,11408,0,X20
2018-06-12,11408,11408,11408,11408,0,X20
2018-06-13,11408,11408,11408,11408,0,X20
2018-06-14,11408,11408,11408,11408,0,X20
2018-06-15,11408,11408,11408,11408,0,X20
2018-06-18,11408,11408,11408,11408,0,X20
2018-06-19,11408,11408,11408,11408,0,X20
2018-06-20,11408,11408,11408,11408,0,X20
2018-06-21,10391,10391,10391,10391,300,X20
2018-06-22,10173,10173,9373,9373,3000,X20
2018-06-25,9373,9373,9373,9373,0,X20
2018-06-26,9373,9373,9373,9373,0,X20
2018-06-27,9373,9373,9373,9373,0,X20
2018-06-28,9373,9373,9373,9373,0,X20
2018-06-29,9373,9373,9373,9373,0,X20
2018-07-02,9373,9373,9373,9373,0,X20
2018-07-03,9373,9373,9373,9373,0,X20
2018-07-04,9373,9373,9373,9373,0,X20
2018-07-05,9373,9373,9373,9373,0,X20
2018-07-06,9373,9373,9373,9373,0,X20
2018-07-09,9373,9373,9373,9373,0,X20
2018-07-10,9373,9373,9373,9373,0,X20
