time,open,high,low,close,volume,ticker
2022-12-01,17000,17000,16100,16100,400,XDC
2022-12-02,19300,19300,19300,19300,200,XDC
2022-12-05,22100,22100,22100,22100,100,XDC
2022-12-06,22100,22100,22100,22100,0,XDC
2022-12-07,22100,22100,22100,22100,0,XDC
2022-12-08,22100,22100,22100,22100,0,XDC
2022-12-09,22100,22100,22100,22100,0,XDC
2022-12-12,22100,22100,22100,22100,0,XDC
2022-12-13,22100,22100,22100,22100,0,XDC
2022-12-14,22100,22100,22100,22100,0,XDC
2022-12-15,22100,22100,22100,22100,0,XDC
2022-12-16,22100,22100,22100,22100,0,XDC
2022-12-19,22100,22100,22100,22100,0,XDC
2022-12-20,18800,18800,18800,18800,100,XDC
2022-12-21,16000,16000,16000,16000,300,XDC
2022-12-22,15000,15000,13600,13600,3000,XDC
2022-12-23,13800,13800,13800,13800,100,XDC
2022-12-26,13800,13800,13800,13800,0,XDC
2022-12-27,13600,13600,13600,13600,100,XDC
2022-12-28,13600,13600,13600,13600,0,XDC
2022-12-29,13600,13600,13600,13600,0,XDC
2022-12-30,13600,13600,13600,13600,0,XDC
2023-01-03,13600,13600,13600,13600,0,XDC
2023-01-04,13600,13600,13600,13600,0,XDC
2023-01-05,13600,13600,13600,13600,0,XDC
2023-01-06,13600,13600,13600,13600,0,XDC
2023-01-09,13600,13600,13600,13600,0,XDC
2023-01-10,13600,13600,13600,13600,0,XDC
2023-01-11,13600,13600,13600,13600,0,XDC
2023-01-12,13600,13600,13600,13600,0,XDC
2023-01-13,13600,13600,13600,13600,0,XDC
2023-01-16,13600,13600,13600,13600,0,XDC
2023-01-17,13600,13600,13600,13600,0,XDC
2023-01-18,15600,15600,15600,15600,100,XDC
2023-01-19,15800,15800,15800,15800,100,XDC
2023-01-27,15800,15800,15800,15800,0,XDC
2023-01-30,15800,15800,15800,15800,0,XDC
2023-01-31,15800,15800,15800,15800,0,XDC
2023-02-01,15800,15800,15800,15800,0,XDC
2023-02-02,15800,15800,15800,15800,0,XDC
2023-02-03,15800,15800,15800,15800,0,XDC
2023-02-06,15800,15800,15800,15800,0,XDC
2023-02-07,15800,15800,15800,15800,0,XDC
2023-02-08,15800,15800,15800,15800,0,XDC
2023-02-09,15800,15800,15800,15800,0,XDC
2023-02-10,15800,15800,15800,15800,0,XDC
2023-02-13,15800,15800,15800,15800,0,XDC
2023-02-14,15800,15800,15800,15800,0,XDC
2023-02-15,15800,15800,15800,15800,0,XDC
2023-02-16,15800,15800,15800,15800,0,XDC
2023-02-17,15800,15800,15800,15800,0,XDC
2023-02-20,15800,15800,15800,15800,0,XDC
2023-02-21,15800,15800,15800,15800,0,XDC
2023-02-22,15800,15800,15800,15800,0,XDC
2023-02-23,13500,13500,13500,13500,100,XDC
2023-02-24,13500,13500,13500,13500,0,XDC
2023-02-27,13500,13500,13500,13500,0,XDC
2023-02-28,13500,13500,13500,13500,0,XDC
2023-03-01,13500,13500,13500,13500,0,XDC
2023-03-02,13500,13500,13500,13500,0,XDC
2023-03-03,13500,13500,13500,13500,0,XDC
2023-03-06,13500,13500,13500,13500,0,XDC
2023-03-07,13500,13500,13500,13500,0,XDC
2023-03-08,13500,13500,13500,13500,0,XDC
2023-03-09,13500,13500,13500,13500,0,XDC
2023-03-10,13500,13500,13500,13500,0,XDC
2023-03-13,13500,13500,13500,13500,0,XDC
2023-03-14,13500,13500,13500,13500,0,XDC
2023-03-15,13500,13500,13500,13500,0,XDC
2023-03-16,13500,13500,13500,13500,0,XDC
2023-03-17,13500,13500,13500,13500,0,XDC
2023-03-20,13500,13500,13500,13500,0,XDC
2023-03-21,13500,13500,13500,13500,0,XDC
2023-03-22,13500,13500,13500,13500,0,XDC
2023-03-23,13500,13500,13500,13500,0,XDC
2023-03-24,13500,13500,13500,13500,0,XDC
2023-03-27,13500,13500,13500,13500,0,XDC
2023-03-28,13500,13500,13500,13500,0,XDC
2023-03-29,13500,13500,13500,13500,0,XDC
2023-03-30,13500,13500,13500,13500,0,XDC
2023-03-31,13500,13500,13500,13500,0,XDC
2023-04-03,13500,13500,13500,13500,0,XDC
2023-04-04,13500,13500,13500,13500,0,XDC
2023-04-05,13500,13500,13500,13500,0,XDC
2023-04-06,13500,13500,13500,13500,0,XDC
2023-04-07,13500,13500,13500,13500,0,XDC
2023-04-10,13500,13500,13500,13500,0,XDC
2023-04-11,18900,18900,18900,18900,200,XDC
2023-04-12,18900,18900,18900,18900,0,XDC
2023-04-13,18900,18900,18900,18900,0,XDC
2023-04-14,16100,16100,16100,16100,100,XDC
2023-04-17,13700,13700,13700,13700,100,XDC
2023-04-18,13700,13700,13700,13700,0,XDC
2023-04-19,13700,13700,13700,13700,0,XDC
2023-04-20,13700,13700,13700,13700,0,XDC
2023-04-21,13700,13700,13700,13700,0,XDC
2023-04-24,15700,15700,15700,15700,100,XDC
2023-04-25,18000,18000,18000,18000,100,XDC
2023-04-26,18000,18000,18000,18000,0,XDC
2023-04-27,18000,18000,18000,18000,0,XDC
2023-04-28,18000,18000,18000,18000,0,XDC
2023-05-04,18000,18000,18000,18000,0,XDC
2023-05-05,18000,18000,18000,18000,0,XDC
2023-05-08,20700,20700,20700,20700,100,XDC
2023-05-09,23800,23800,23800,23800,100,XDC
2023-05-10,27300,27300,27300,27300,500,XDC
2023-05-11,27300,27300,27300,27300,0,XDC
2023-05-12,27300,27300,27300,27300,0,XDC
2023-05-15,27300,27300,27300,27300,0,XDC
2023-05-16,27300,27300,27300,27300,0,XDC
2023-05-17,31300,31300,31300,31300,100,XDC
2023-05-18,35900,35900,35900,35900,100,XDC
2023-05-19,35900,35900,35900,35900,0,XDC
2023-05-22,41200,41200,41200,41200,100,XDC
2023-05-23,47300,47300,47300,47300,100,XDC
2023-05-24,54300,54300,54300,54300,200,XDC
2023-05-25,62400,62400,62400,62400,700,XDC
2023-05-26,62400,62400,62400,62400,0,XDC
2023-05-29,71700,71700,71700,71700,100,XDC
2023-05-30,82400,82400,82400,82400,100,XDC
2023-05-31,94700,94700,94700,94700,500,XDC
2023-06-01,108900,108900,108900,108900,600,XDC
2023-06-02,125000,125000,125000,125000,100,XDC
2023-06-05,143700,143700,143700,143700,100,XDC
2023-06-06,165200,165200,165200,165200,700,XDC
2023-06-07,165200,165200,165200,165200,0,XDC
2023-06-08,189900,189900,189900,189900,100,XDC
2023-06-09,189900,189900,189900,189900,0,XDC
2023-06-12,218300,218300,218300,218300,700,XDC
2023-06-13,218300,218300,218300,218300,0,XDC
2023-06-14,218300,218300,218300,218300,0,XDC
2023-06-15,251000,251000,251000,251000,600,XDC
2023-06-16,288600,288600,288600,288600,1500,XDC
2023-06-19,331800,331800,331800,331800,400,XDC
2023-06-20,381500,381500,381500,381500,1800,XDC
2023-06-21,438700,438700,438700,438700,100,XDC
2023-06-22,504500,504500,504500,504500,400,XDC
2023-06-23,580100,580100,580100,580100,200,XDC
2023-06-26,667100,667100,667100,667100,300,XDC
2023-06-27,767100,767100,767100,767100,500,XDC
2023-06-28,882100,882100,882100,882100,500,XDC
2023-06-29,999900,999900,999900,999900,300,XDC
2023-06-30,999900,999900,999900,999900,0,XDC
