time,open,high,low,close,volume,ticker
2018-06-26,300000,300000,300000,300000,6100,YEG
2018-06-27,321000,321000,321000,321000,16860,YEG
2018-06-28,342000,343400,342000,343000,76700,YEG
2018-06-29,321000,321000,319000,319000,1800,YEG
2018-07-02,296700,296700,296700,296700,10610,YEG
2018-07-03,296700,296700,276000,276000,10050,YEG
2018-07-04,256700,256700,256700,256700,10000,YEG
2018-07-05,238800,241000,238800,241000,123420,YEG
2018-07-06,224200,230000,224200,225000,16270,YEG
2018-07-09,225000,240700,218500,240700,11290,YEG
2018-07-10,257500,257500,231000,256500,37640,YEG
2018-07-11,256500,256500,246000,250000,13200,YEG
2018-07-12,250000,250000,232500,244000,18810,YEG
2018-07-13,249500,249900,232500,245400,35730,YEG
2018-07-16,245400,245400,235000,245000,3810,YEG
2018-07-17,245000,247000,239000,239000,6870,YEG
2018-07-18,227000,244900,225000,244900,8530,YEG
2018-07-19,228000,244900,228000,244900,4450,YEG
2018-07-20,230000,230000,227800,228000,3220,YEG
2018-07-23,228000,228200,218700,221000,1060,YEG
2018-07-24,219100,235000,207000,235000,5680,YEG
2018-07-25,220500,251400,218600,251400,6190,YEG
2018-07-26,233900,248000,233900,233900,590,YEG
2018-07-27,217600,218200,217600,217600,5750,YEG
2018-07-30,202400,202500,202400,202400,29730,YEG
2018-07-31,200100,202400,200000,202400,860,YEG
2018-08-01,200000,202000,190800,200900,1150,YEG
2018-08-02,195000,199900,187000,191100,1560,YEG
2018-08-03,200000,200000,195000,200000,620,YEG
2018-08-06,200000,200000,191000,191000,2210,YEG
2018-08-07,192000,195000,192000,194000,230,YEG
2018-08-08,196300,197000,194000,197000,2220,YEG
2018-08-09,196000,199700,195000,197000,480,YEG
2018-08-10,195000,198800,195000,195000,3080,YEG
2018-08-13,199700,199700,195000,196700,360,YEG
2018-08-14,198400,199000,192000,196100,6220,YEG
2018-08-15,198200,198200,193500,197100,1750,YEG
2018-08-16,197100,197100,190100,196000,510,YEG
2018-08-17,195000,198900,194500,195000,10480,YEG
2018-08-20,197900,198500,185000,197800,60190,YEG
2018-08-21,197800,198100,196000,198000,19930,YEG
2018-08-22,195000,197500,195000,195500,890,YEG
2018-08-23,195500,195500,181900,181900,14060,YEG
2018-08-24,188900,194600,180000,194600,13260,YEG
2018-08-27,195000,196000,181000,181000,26360,YEG
2018-08-28,185000,193600,185000,193600,7340,YEG
2018-08-29,196000,200000,195500,198000,26110,YEG
2018-08-30,197900,199000,188000,197000,7220,YEG
2018-08-31,200000,200000,194900,196000,12700,YEG
2018-09-04,209700,209700,209700,209700,142940,YEG
2018-09-05,224300,224300,224300,224300,43200,YEG
2018-09-06,240000,240000,224300,235000,47180,YEG
2018-09-07,218600,235000,218600,218600,27120,YEG
2018-09-10,218000,218600,203300,217000,27320,YEG
2018-09-11,213900,217000,210000,216400,43640,YEG
2018-09-12,216400,221000,215500,218900,22050,YEG
2018-09-13,217000,220100,217000,219300,21050,YEG
2018-09-14,220500,221400,219300,221400,51660,YEG
2018-09-17,221900,234000,219400,234000,18800,YEG
2018-09-18,234000,235000,225600,235000,3850,YEG
2018-09-19,235000,236000,229000,229000,6180,YEG
2018-09-20,229000,232800,222000,229000,32370,YEG
2018-09-21,229000,233000,225000,230000,5240,YEG
2018-09-24,222100,222100,219000,221500,3790,YEG
