time,open,high,low,close,volume,ticker
2017-08-03,26737,26737,26737,26737,100,YTC
2017-08-04,30685,30685,30685,30685,3000,YTC
2017-08-07,30685,30685,30685,30685,500,YTC
2017-08-08,30685,30685,26109,26109,5500,YTC
2017-08-09,31402,32030,31402,32030,10000,YTC
2017-08-10,28711,28711,27814,27814,1500,YTC
2017-08-11,28262,28262,28262,28262,500,YTC
2017-08-14,27814,27814,27814,27814,500,YTC
2017-08-15,27814,27814,27814,27814,0,YTC
2017-08-16,27365,27365,27365,27365,500,YTC
2017-08-17,26916,26916,26916,26916,500,YTC
2017-08-18,27365,27365,27365,27365,2500,YTC
2017-08-21,26916,26916,26468,26468,1200,YTC
2017-08-22,26916,30505,26916,30505,67700,YTC
2017-08-23,26916,26916,26468,26468,5500,YTC
2017-08-24,26916,26916,26916,26916,5000,YTC
2017-08-25,26916,26916,26916,26916,0,YTC
2017-08-28,26916,26916,26916,26916,0,YTC
2017-08-29,26916,26916,26916,26916,0,YTC
2017-08-30,24225,24225,24225,24225,100,YTC
2017-08-31,24225,24225,24225,24225,0,YTC
2017-09-01,24225,24225,24225,24225,0,YTC
2017-09-05,27814,27814,27814,27814,1500,YTC
2017-09-06,28711,28711,28711,28711,5000,YTC
2017-09-07,33017,33017,33017,33017,100,YTC
2017-09-08,35889,35889,35889,35889,100,YTC
2017-09-11,41272,41272,34991,34991,1100,YTC
2017-09-12,35799,35799,35799,35799,0,YTC
2017-09-13,30505,30505,30505,30505,100,YTC
2017-09-14,30505,30505,30505,30505,0,YTC
2017-09-15,30505,30505,30505,30505,0,YTC
2017-09-18,32748,32748,32748,32748,100,YTC
2017-09-19,32748,32748,32748,32748,0,YTC
2017-09-20,35440,35440,35440,35440,100,YTC
2017-09-21,30146,30146,30146,30146,100,YTC
2017-09-22,33197,33197,33197,33197,100,YTC
2017-09-25,35889,35889,35440,35440,400,YTC
2017-09-26,35530,35530,35530,35530,0,YTC
2017-09-27,30236,30236,30236,30236,100,YTC
2017-09-28,25750,34094,25750,34094,300,YTC
2017-09-29,35889,35889,35889,35889,100,YTC
2017-10-02,35889,35889,35889,35889,0,YTC
2017-10-03,35889,35889,35889,35889,0,YTC
2017-10-04,35889,35889,35889,35889,0,YTC
2017-10-05,32300,32300,32300,32300,200,YTC
2017-10-06,32300,32300,32300,32300,0,YTC
2017-10-09,32300,32300,32300,32300,0,YTC
2017-10-10,32300,32300,32300,32300,0,YTC
2017-10-11,32300,32300,32300,32300,0,YTC
2017-10-12,32300,32300,32300,32300,0,YTC
2017-10-13,32300,32300,32300,32300,0,YTC
2017-10-16,32300,32300,32300,32300,0,YTC
2017-10-17,32300,32300,32300,32300,0,YTC
2017-10-18,32300,32300,32300,32300,0,YTC
2017-10-19,32300,32300,32300,32300,0,YTC
2017-10-20,32300,32300,32300,32300,0,YTC
2017-10-23,32300,32300,32300,32300,0,YTC
2017-10-24,27814,27814,27814,27814,2200,YTC
2017-10-25,27814,27814,27814,27814,0,YTC
2017-10-26,27814,27814,27814,27814,0,YTC
2017-10-27,27814,27814,27814,27814,0,YTC
2017-10-30,27814,27814,27814,27814,0,YTC
2017-10-31,30415,30415,30415,30415,100,YTC
2017-11-01,34094,34094,34094,34094,100,YTC
2017-11-02,31672,31672,31672,31672,100,YTC
2017-11-03,31672,31672,31672,31672,0,YTC
2017-11-06,31672,31672,31672,31672,0,YTC
2017-11-07,31672,31672,31672,31672,0,YTC
2017-11-08,31672,31672,31672,31672,0,YTC
2017-11-09,31672,31672,31672,31672,0,YTC
2017-11-10,27006,27006,27006,27006,100,YTC
2017-11-13,27006,27006,27006,27006,0,YTC
2017-11-14,31044,31044,31044,31044,100,YTC
2017-11-15,31044,31044,31044,31044,0,YTC
2017-11-16,31044,31044,31044,31044,0,YTC
2017-11-17,31044,31044,31044,31044,0,YTC
2017-11-20,31044,31044,31044,31044,0,YTC
2017-11-21,31044,31044,31044,31044,0,YTC
2017-11-22,31044,31044,31044,31044,0,YTC
2017-11-23,31044,31044,31044,31044,0,YTC
2017-11-24,31044,31044,31044,31044,0,YTC
2017-11-27,31044,31044,31044,31044,0,YTC
2017-11-28,26916,26916,26468,26468,900,YTC
2017-11-29,30595,30595,30595,30595,100,YTC
2017-11-30,34094,34094,34094,34094,100,YTC
2017-12-01,28980,28980,28980,28980,25500,YTC
2017-12-04,28980,28980,28980,28980,0,YTC
2017-12-05,32748,33287,32748,33287,600,YTC
2017-12-06,33197,33197,33197,33197,0,YTC
2017-12-07,33197,33197,33197,33197,0,YTC
2017-12-08,33197,33197,33197,33197,0,YTC
2017-12-11,28262,28262,28262,28262,600,YTC
2017-12-12,25122,32479,25122,32479,400,YTC
2017-12-13,27006,27006,27006,27006,50,YTC
2017-12-14,30954,30954,30954,30954,100,YTC
2017-12-15,30954,30954,30954,30954,10,YTC
2017-12-18,30954,30954,30954,30954,0,YTC
2017-12-19,26378,26378,26378,26378,200,YTC
2017-12-20,26378,26378,26378,26378,10,YTC
2017-12-21,26378,26378,26378,26378,31,YTC
2017-12-22,26378,26378,26378,26378,0,YTC
2017-12-25,30236,30236,30236,30236,100,YTC
2017-12-26,30236,30236,30236,30236,2500,YTC
2017-12-27,30236,30236,30236,30236,0,YTC
2017-12-28,30236,30236,30236,30236,0,YTC
2017-12-29,30236,30236,30236,30236,0,YTC
2018-01-02,30236,30236,30236,30236,0,YTC
2018-01-03,34094,34094,34094,34094,100,YTC
2018-01-04,34094,34094,34094,34094,0,YTC
2018-01-05,34094,34094,34094,34094,0,YTC
2018-01-08,34094,34094,34094,34094,0,YTC
2018-01-09,34094,34094,34094,34094,0,YTC
2018-01-10,34094,34094,34094,34094,0,YTC
2018-01-11,34094,34094,34094,34094,0,YTC
2018-01-12,34094,34094,34094,34094,0,YTC
2018-01-15,31402,31402,31402,31402,100,YTC
2018-01-16,31402,31402,31402,31402,0,YTC
2018-01-17,31402,31402,31402,31402,0,YTC
2018-01-18,31402,31402,31402,31402,0,YTC
2018-01-19,31402,31402,31402,31402,0,YTC
2018-01-22,31402,31402,31402,31402,0,YTC
2018-01-23,31402,31402,31402,31402,2300,YTC
2018-01-24,35889,35889,34543,35889,2700,YTC
2018-01-25,35889,40375,35889,40375,300,YTC
2018-01-26,37414,37414,37414,37414,0,YTC
2018-01-29,32300,32300,32300,32300,800,YTC
2018-01-30,34004,34004,34004,34004,100,YTC
2018-01-31,34004,34004,34004,34004,0,YTC
2018-02-01,34004,34004,34004,34004,0,YTC
2018-02-02,36308,36308,36308,36308,100,YTC
2018-02-05,36308,36308,36308,36308,0,YTC
2018-02-06,30871,30871,30871,30871,500,YTC
2018-02-07,35479,35479,35479,35479,100,YTC
2018-02-08,35479,35479,35479,35479,0,YTC
2018-02-09,35479,35479,35479,35479,0,YTC
2018-02-12,39165,39165,39165,39165,100,YTC
2018-02-13,39165,39165,39165,39165,0,YTC
2018-02-21,39165,39165,39165,39165,0,YTC
2018-02-22,39165,39165,39165,39165,0,YTC
2018-02-23,39165,39165,39165,39165,0,YTC
2018-02-26,39165,39165,39165,39165,0,YTC
2018-02-27,39165,39165,39165,39165,0,YTC
2018-02-28,42851,42851,42851,42851,100,YTC
2018-03-01,42851,42851,42851,42851,0,YTC
2018-03-02,42851,42851,42851,42851,0,YTC
2018-03-05,45616,45616,45616,45616,100,YTC
2018-03-06,45616,45616,45616,45616,0,YTC
2018-03-07,45616,45616,45616,45616,0,YTC
2018-03-08,46077,50223,38796,46077,7400,YTC
2018-03-09,46077,46077,36032,38704,7900,YTC
2018-03-12,45616,45616,44141,44141,1240,YTC
2018-03-13,38704,46998,38704,46998,300,YTC
2018-03-14,43773,43773,39165,43312,1700,YTC
2018-03-15,44694,44694,44694,44694,200,YTC
2018-03-16,45155,45155,45155,45155,100,YTC
2018-03-19,49763,49763,49763,49763,100,YTC
2018-03-20,49763,49763,49763,49763,0,YTC
2018-03-21,49763,49763,49763,49763,0,YTC
2018-03-22,49763,49763,49763,49763,0,YTC
2018-03-23,49763,49763,49763,49763,0,YTC
2018-03-26,49763,49763,49763,49763,2,YTC
2018-03-27,49763,49763,49763,49763,7,YTC
2018-03-28,49763,49763,49763,49763,0,YTC
2018-03-29,55292,55292,55292,55292,100,YTC
2018-03-30,55292,55292,55292,55292,0,YTC
2018-04-02,61743,61743,61743,61743,100,YTC
2018-04-03,61743,61743,61743,61743,0,YTC
2018-04-04,61743,61743,61743,61743,2,YTC
2018-04-05,61743,61743,61743,61743,0,YTC
2018-04-06,61743,61743,61743,61743,0,YTC
2018-04-09,61743,61743,61743,61743,0,YTC
2018-04-10,61743,61743,61743,61743,0,YTC
2018-04-11,61743,61743,61743,61743,0,YTC
2018-04-12,61743,61743,61743,61743,0,YTC
2018-04-13,61743,61743,61743,61743,2,YTC
2018-04-16,61743,61743,61743,61743,3,YTC
2018-04-17,61743,61743,61743,61743,1,YTC
2018-04-18,61743,61743,61743,61743,0,YTC
2018-04-19,61743,61743,61743,61743,0,YTC
2018-04-20,61743,61743,61743,61743,0,YTC
2018-04-23,61743,61743,61743,61743,0,YTC
2018-04-24,61743,61743,61743,61743,0,YTC
2018-04-26,61743,61743,61743,61743,1,YTC
2018-04-27,61743,61743,61743,61743,0,YTC
2018-05-02,52527,52527,52527,52527,100,YTC
2018-05-03,52527,52527,52527,52527,2,YTC
2018-05-04,52527,52527,52527,52527,2,YTC
2018-05-07,52527,52527,52527,52527,0,YTC
2018-05-08,52527,52527,52527,52527,0,YTC
2018-05-09,44694,45155,44694,45155,1000,YTC
2018-05-10,44786,44786,44786,44786,0,YTC
2018-05-11,44786,44786,44786,44786,0,YTC
2018-05-14,44786,44786,44786,44786,0,YTC
2018-05-15,44233,44233,44233,44233,2000,YTC
2018-05-16,44233,44233,44233,44233,0,YTC
2018-05-17,44233,44233,44233,44233,0,YTC
2018-05-18,44233,44233,44233,44233,0,YTC
2018-05-21,44233,44233,44233,44233,0,YTC
2018-05-22,44233,44233,44233,44233,0,YTC
2018-05-23,44233,44233,44233,44233,2,YTC
2018-05-24,44233,44233,44233,44233,0,YTC
2018-05-25,37691,37691,37598,37598,2000,YTC
2018-05-28,41930,42851,41930,42851,2400,YTC
2018-05-29,36216,36216,36216,36216,100,YTC
2018-05-30,36861,40547,36861,40547,700,YTC
2018-05-31,39994,39994,39994,39994,0,YTC
2018-06-01,39994,39994,39994,39994,0,YTC
2018-06-04,39994,39994,39994,39994,0,YTC
2018-06-05,34004,34004,34004,34004,100,YTC
2018-06-06,35018,35018,35018,35018,200,YTC
2018-06-07,29765,29765,29765,29765,100,YTC
2018-06-08,25342,25342,25342,25342,100,YTC
2018-06-11,29120,29120,29120,29120,100,YTC
2018-06-12,29120,29120,29120,29120,0,YTC
2018-06-13,33175,33175,33175,33175,100,YTC
2018-06-14,36861,36861,36861,36861,100,YTC
2018-06-15,36861,36861,36861,36861,0,YTC
2018-06-18,36861,36861,36861,36861,0,YTC
2018-06-19,36861,36861,36861,36861,0,YTC
2018-06-20,36861,36861,36861,36861,10,YTC
2018-06-21,36861,36861,36861,36861,0,YTC
2018-06-22,39626,39626,39626,39626,2080,YTC
2018-06-25,39626,39626,39626,39626,0,YTC
2018-06-26,39626,39626,39626,39626,0,YTC
2018-06-27,39626,39626,39626,39626,0,YTC
2018-06-28,39626,39626,39626,39626,0,YTC
2018-06-29,39626,39626,39626,39626,10,YTC
2018-07-02,39626,39626,39626,39626,0,YTC
2018-07-03,39626,39626,39626,39626,0,YTC
2018-07-04,39626,39626,39626,39626,0,YTC
2018-07-05,39626,39626,39626,39626,0,YTC
2018-07-06,39626,39626,39626,39626,0,YTC
2018-07-09,39626,39626,39626,39626,0,YTC
2018-07-10,39626,39626,39626,39626,0,YTC
2018-07-11,39626,39626,39626,39626,0,YTC
2018-07-12,39626,39626,39626,39626,0,YTC
2018-07-13,36861,36861,36861,36861,810,YTC
2018-07-16,36861,36861,36861,36861,0,YTC
2018-07-17,36861,36861,36861,36861,2,YTC
2018-07-18,36861,36861,36861,36861,0,YTC
2018-07-19,36861,36861,36861,36861,0,YTC
2018-07-20,36861,36861,36861,36861,0,YTC
2018-07-23,36861,36861,36861,36861,0,YTC
2018-07-24,36861,36861,36861,36861,0,YTC
2018-07-25,36861,36861,36861,36861,0,YTC
2018-07-26,36861,36861,36861,36861,0,YTC
2018-07-27,36861,36861,36861,36861,0,YTC
2018-07-30,37904,37904,37904,37904,102,YTC
2018-07-31,37904,37904,37904,37904,0,YTC
2018-08-01,37904,37904,37904,37904,0,YTC
2018-08-02,37904,37904,37904,37904,0,YTC
2018-08-03,37904,37904,37904,37904,0,YTC
2018-08-06,37904,37904,37904,37904,0,YTC
2018-08-07,37904,37904,37904,37904,0,YTC
2018-08-08,37904,37904,37904,37904,0,YTC
2018-08-09,37904,37904,37904,37904,0,YTC
2018-08-10,37904,37904,37904,37904,0,YTC
2018-08-13,37904,37904,37904,37904,0,YTC
2018-08-14,37904,37904,37904,37904,0,YTC
2018-08-15,37904,37904,37904,37904,0,YTC
2018-08-16,37904,37904,37904,37904,0,YTC
2018-08-17,37904,37904,37904,37904,0,YTC
2018-08-20,42642,42642,42642,42642,5100,YTC
2018-08-21,42642,42642,42642,42642,100,YTC
2018-08-22,42642,48327,42642,48327,4803,YTC
2018-08-23,44252,44252,44252,44252,0,YTC
2018-08-24,44252,44252,44252,44252,0,YTC
2018-08-27,44537,50886,44252,50886,11100,YTC
2018-08-28,49464,49464,49464,49464,65,YTC
2018-08-29,49559,49559,49559,49559,1300,YTC
2018-08-30,49559,49559,49559,49559,20,YTC
2018-08-31,49749,49749,49749,49749,1765,YTC
2018-09-04,49749,49749,49749,49749,0,YTC
2018-09-05,49749,49749,49749,49749,0,YTC
2018-09-06,49749,49749,49749,49749,0,YTC
2018-09-07,49749,49749,49749,49749,0,YTC
2018-09-10,50128,50128,50128,50128,200,YTC
2018-09-11,50222,57614,50222,57614,2700,YTC
2018-09-12,52307,52307,52307,52307,0,YTC
2018-09-13,52307,52307,52307,52307,0,YTC
2018-09-14,52307,52307,52307,52307,0,YTC
2018-09-17,52307,52307,52307,52307,0,YTC
2018-09-18,52307,52307,52307,52307,0,YTC
2018-09-19,52402,52402,52402,52402,100,YTC
2018-09-20,52402,52402,52402,52402,0,YTC
2018-09-21,52402,52402,52402,52402,100,YTC
2018-09-24,52497,52497,52497,52497,100,YTC
2018-09-25,54960,55908,54960,55908,2000,YTC
2018-09-26,55434,55434,55434,55434,100,YTC
2018-09-27,55434,55434,55434,55434,1200,YTC
2018-09-28,55434,55434,55434,55434,0,YTC
2018-10-01,55529,55529,55529,55529,100,YTC
2018-10-02,55529,55529,55529,55529,0,YTC
2018-10-03,55529,55529,55529,55529,0,YTC
2018-10-04,56856,61594,56856,61594,1900,YTC
2018-10-05,51170,51170,51170,51170,2050,YTC
2018-10-08,51170,51170,51170,51170,0,YTC
2018-10-09,57803,58845,57803,58751,400,YTC
2018-10-10,58561,58561,58561,58561,2400,YTC
2018-10-11,58561,58561,58561,58561,8300,YTC
2018-10-12,58751,58751,58561,58561,3400,YTC
2018-10-15,58561,58561,58561,58561,100,YTC
2018-10-16,58561,58561,58561,58561,200,YTC
2018-10-17,58561,58561,58561,58561,1000,YTC
2018-10-18,58561,58561,58561,58561,0,YTC
2018-10-19,58561,58561,58561,58561,0,YTC
2018-10-22,58561,58561,58561,58561,0,YTC
2018-10-23,58561,58561,58561,58561,0,YTC
2018-10-24,58561,58561,58561,58561,0,YTC
2018-10-25,66332,66332,65384,66332,1300,YTC
2018-10-26,65763,65763,65763,65763,0,YTC
2018-10-29,65763,65763,65763,65763,0,YTC
2018-10-30,65763,65763,65763,65763,100,YTC
2018-10-31,71922,71922,65763,65763,1500,YTC
2018-11-01,69838,69838,69838,69838,0,YTC
2018-11-02,69838,69838,69838,69838,900,YTC
2018-11-05,69838,69838,69838,69838,100,YTC
2018-11-06,69838,70122,59698,59698,51100,YTC
2018-11-07,59983,59983,59983,59983,0,YTC
2018-11-08,68890,68890,66426,68890,13600,YTC
2018-11-09,72017,78177,66332,77703,71300,YTC
2018-11-12,79598,80546,79598,80546,900,YTC
2018-11-13,82441,85284,82441,85284,500,YTC
2018-11-14,83578,89074,83578,89074,500,YTC
2018-11-15,83388,86231,83388,86231,800,YTC
2018-11-16,85284,85284,85284,85284,2000,YTC
2018-11-19,87179,87179,87179,87179,400,YTC
2018-11-20,74102,74102,74102,74102,1400,YTC
2018-11-21,74102,74102,74102,74102,0,YTC
2018-11-22,74102,74102,74102,74102,0,YTC
2018-11-23,63489,63489,63489,63489,200,YTC
2018-11-26,63489,63489,63489,63489,0,YTC
2018-11-27,63489,63489,63489,63489,0,YTC
2018-11-28,72017,72017,54013,54013,200,YTC
2018-11-29,72396,72396,72396,72396,100,YTC
2018-11-30,72396,72396,72396,72396,1100,YTC
2018-12-03,74860,74860,72396,72396,1800,YTC
2018-12-04,80546,83388,73249,83388,48100,YTC
2018-12-05,83388,85284,82535,85284,33900,YTC
2018-12-06,83388,85284,83388,83388,35800,YTC
2018-12-07,72017,86231,72017,86231,3100,YTC
2018-12-10,68606,80640,68606,80640,2100,YTC
2018-12-11,78650,78650,78650,78650,100,YTC
2018-12-12,85284,85284,66900,85284,57600,YTC
2018-12-13,84904,87179,84904,84904,8000,YTC
2018-12-14,73912,87179,73912,83388,7200,YTC
2018-12-17,84431,84431,84431,84431,0,YTC
2018-12-18,84431,84431,84431,84431,1210,YTC
2018-12-19,84431,87653,72017,84431,10410,YTC
2018-12-20,82441,82441,82441,82441,0,YTC
2018-12-21,82441,82441,82441,82441,0,YTC
2018-12-24,82441,82441,82441,82441,0,YTC
2018-12-25,82441,82441,82441,82441,0,YTC
2018-12-26,89074,89074,80546,89074,1900,YTC
2018-12-27,89074,90969,81398,81398,4600,YTC
2018-12-28,91917,91917,91917,91917,100,YTC
2019-01-02,78650,78650,78650,78650,600,YTC
2019-01-03,67279,67279,66900,66900,2500,YTC
2019-01-04,61594,61594,61594,61594,200,YTC
2019-01-07,54013,54013,54013,54013,600,YTC
2019-01-08,46432,46432,46432,46432,300,YTC
2019-01-09,46432,46432,46432,46432,0,YTC
2019-01-10,46432,46432,46432,46432,0,YTC
2019-01-11,46432,46432,46432,46432,0,YTC
2019-01-14,46432,46432,46432,46432,0,YTC
2019-01-15,46432,46432,46432,46432,0,YTC
2019-01-16,46432,46432,46432,46432,0,YTC
2019-01-17,46432,46432,46432,46432,0,YTC
2019-01-18,46432,46432,46432,47498,1,YTC
2019-01-21,46432,46432,46432,46432,0,YTC
2019-01-22,46432,46432,46432,46432,0,YTC
2019-01-23,46432,46432,46432,46432,0,YTC
2019-01-24,46432,46432,46432,46432,0,YTC
2019-01-25,46432,46432,46432,46432,0,YTC
2019-01-28,46432,46432,46432,46432,0,YTC
2019-01-29,46432,46432,46432,46432,0,YTC
2019-01-30,46432,46432,46432,46432,0,YTC
2019-01-31,53314,53314,40713,40713,2000,YTC
2019-02-01,47014,47014,47014,47014,0,YTC
2019-02-11,47014,47014,47014,47014,0,YTC
2019-02-12,47014,47014,47014,47014,0,YTC
2019-02-13,47014,47014,47014,47014,0,YTC
2019-02-14,47014,47014,47014,47014,0,YTC
2019-02-15,47014,47014,47014,47014,0,YTC
2019-02-18,47014,47014,47014,47014,1000,YTC
2019-02-19,47014,47014,47014,47014,0,YTC
2019-02-20,47014,47014,47014,47014,0,YTC
2019-02-21,47014,47014,47014,47014,0,YTC
2019-02-22,47014,47014,47014,47014,0,YTC
2019-02-25,47014,47014,47014,47014,0,YTC
2019-02-26,47014,47014,47014,47014,0,YTC
2019-02-27,47014,47014,47014,47014,0,YTC
2019-02-28,47014,47014,47014,47014,0,YTC
2019-03-01,47014,47014,47014,47014,0,YTC
2019-03-04,47014,47014,47014,47014,0,YTC
2019-03-05,41682,41682,41682,41682,100,YTC
2019-03-06,41876,41876,41876,41876,100,YTC
2019-03-07,41876,41876,41876,41876,0,YTC
2019-03-08,41876,41876,41876,41876,0,YTC
2019-03-11,41876,41876,41876,41876,0,YTC
2019-03-12,43621,43621,43621,43621,100,YTC
2019-03-13,43621,43621,43621,43621,0,YTC
2019-03-14,50115,50115,50115,50115,1500,YTC
2019-03-15,57580,57580,57580,57580,100,YTC
2019-03-18,66207,66207,66207,66207,800,YTC
2019-03-19,76094,76094,76094,76094,2300,YTC
2019-03-20,76094,77548,76094,76094,4600,YTC
2019-03-21,76094,76094,75997,76094,6000,YTC
2019-03-22,76094,76094,76094,76094,0,YTC
2019-03-25,76094,87436,76094,87436,1500,YTC
2019-03-26,67952,67952,67952,67952,200,YTC
2019-03-27,68824,68824,68824,68824,1500,YTC
2019-03-28,77548,77548,77548,77548,100,YTC
2019-03-29,77451,86273,77451,77451,1400,YTC
